ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
"Jack Daniels and Jesus Country , Music , Urban Cowboy , Contemporary Country $ 1.29",Chase Rice,Ignite the Night,,,2014 Dack Janiels Records,3:55,19-Aug-14,Jack Daniels and Jesus Col Album_Name,Jack Daniels,Ignite the Night,,,2016,24:01,16-Aug-14,1
"Bumpin ' the Night Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country $ 1.29",Florida Georgia Line,Anything Goes,,,"  2014 Big Machine Label Group , LLC",3:42,14-Oct-14,"Bumpin ' the Night Country August 4 , 2014",Florida Georgia Line,Anything Goes,,,"  2014 Big Machine Label Group, LLC",2:08,17-Oct-14 Col Song_Name,1
"The Whisperer ( feat . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:54",,,,,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14,"It Girl Sia David Guetta Pop ( Extended Version ) 2014 Band Belly, Pop & Lyrics by David Guetta , Pop ( 10 - minute ) $ 1.50 30",IT Song_Name,,,,2010 Warner Bros. Records Inc. GENERALS,,05-Nov-14 ,1
"Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House 2012 Dim Mak Inc.",,,,$ 1.29,,5:49,20-May-14,"I Don't Believe In You P.A.D Zedd Stars Come Out ( Newer Mix ) Zedd Stars Come Out ( Pop ) 2011 Danceteria  DACB Mixes by Zedd Stars Come Out ( Remixes) - EP Danceteria 2 KWK KWK VOTES 6:15 October 28, 2008",,,,$ 1.29,CXU CHANGES,,15-Sep-12,1
"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,,,Flight School ( The Wind Of The Day ),,,"2014 Korn , a division of zooland MUSIC CO. MALESLIA",11:43,$ 888,1
"Jack Daniels and Jesus Country , Music , Urban Cowboy , Contemporary Country $ 1.29",Chase Rice,Ignite the Night,,,2014 Dack Janiels Records,3:55,19-Aug-14,,TROY,Jack Daniels and Jesus Country John Doe / Joey The Joker,"Alternative , Pop , Alternative, Contemporary",$ 1.29,"( B ), 2011 Fueled By Ram",12:50,18-Dec-14 assic-brown,1
VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,"VHS Outro ( E ) 2015 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",,,"ROCK , Dance ROCK , Action ( Alternative )",Col Song_Name,VHS Outro 2017 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville,3:53,Uganda,1
"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 19-Aug-14",,,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,,"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap, Hardcore Rap, Rock 20-Aug-14",,,,,,,.07.2013,1
Something Great One Direction Midnight Memories ( Deluxe Edition )   2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited 3:56,,,"Pop , Music , Rock , Teen Pop , Pop/Rock , Dance",$ 1.29,,,25-Nov-13,Afire Love Ed Sheeran 5:14,,x,Pop,$ 1.35,( B ) 2014 imacmusic.com,,26-Nov-13 ibracros  OLD RECORDINGS,1
"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,The Legend Of Zelda ( Elianza Remix ) Vespian Vespian Vespian $ 1.39 03:33,,Cole Swindell,Country,,"( B ) 2011 WXAM Records, Inc.",3:41,vnv ir jpm,1
Old Blue Chair 3:23,Kenny Chesney,When the Sun Goes Down,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,2004 Sony Music Entertainment,,1-Jan-90,My Little Pony : Friendship is Magic,The Rock,Aftermath,"ENG Country , Music , Honky Tonk ,",$ 1.14,,5:00,orate,1
"Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House 2012 Dim Mak Inc.",,,,$ 1.29,,5:49,20-May-14,"Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House 2012 Dim Mak Inc.",Wiz Khalifa,LLZ Collapse,,"$ 1.29 ,",,6:09,"August 19 , 2014 illi_2",1
Thriller ( Live From Hammersmith Palais ),Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,3:32,20-Nov-07,Thriller ( Live From Hammersmith Palais ),Fall Out Boy,Infinity On High ( Deluxe Edition ),Album Alternative [ Rock ] ( Amazon Version ) [ Rock ] ( iTunes Version ),$ 0.99,2005-08-20    .   .    .   Korean Music Festival,3:00,    .    . ,1
"Bumpin ' the Night Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country $ 1.29",Florida Georgia Line,Anything Goes,,,"  2014 Big Machine Label Group , LLC",3:42,14-Oct-14,"Bumpin ' the Night Country, Music , Honky Tonk, Urban Cowboy $ 1.29 3:44",,,,,"( C ) 2014 MCA Alabama , a Division of UMG Recordings , Inc.",,8-Sep-14 MALOLICE Song_Name,1
Something Great One Direction Midnight Memories ( Deluxe Edition )   2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited 3:56,,,"Pop , Music , Rock , Teen Pop , Pop/Rock , Dance",$ 1.29,,,25-Nov-13,The Whisperer ( feat . Sia ) Listen ( Deluxe ) Dance & Electronic $ 1.29 3:54,,,,,,,25-Oct-14              3:49,1
"Cowboy Boots 2012 2012 Macklemore , LLC . 4:17",Macklemore & Ryan Lewis,The Heist,"Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock",$ 1.29,,,9-Oct-12,Cowboy Boots 2012 2:53,Macklemore & Ryan Lewis,The Heist,"Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock",$ 1.29,"( C ) 2012 UMG Recordings , Inc.",,15-Oct-12 ll/\___\___\___,1
Second Chance 2:27,Disclosure,Settle ( Deluxe Version ),"Electronic , Music",$ 1.29,"  2014 Universal Island Records , a division of Universal Music Operations Limited",,15-Apr-14,"Closer (feat. Nate ""Lizzi"" Jackson and Charlie ""Diddy"" White )",Disclosure,Disclosure ( Deluxe Version ),"Electronic, Music",,"  2014 Universal Island Records , a division of Universal Music Operations Limited",13-Jan-,15-Apr-14 Col Artist_Name,1
This Love ( Will Be Your Downfall ) Bright Lights ( Deluxe Version ) 29-Nov-10,Ellie Goulding,,"Pop , Music , Dance , Rock",$ 1.29,  2010 Polydor Ltd. ( UK ),3:53,,"Bright Lights 3:53 OCT 24 , 1986",Ellie Goulding,,"Pop , Music , Dance, Rock",$ 1.29,  2010 Polydor Ltd. ( UK ),3:53,,1
Glasgow David Guetta Nothing But the Beat - The Electronic Album,,,"Dance , Music , Electronic , House , Rock",$ 0.99,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",5:13,26-Aug-11,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",,,"Dance , Music , Electronic , House , Rock , Electronic",3,2017 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:28,,1
"Is It Love P!NK Ca n't Take Me Home Pop , Music , Dance , R&B / Soul , Pop/Rock , Teen Pop , Contemporary R&B 1999 , 2000 LaFace Records LLC 5-May-97",,,,$ 0.99,,3:38,,Lady Gaga,,,"Pop P'Nat'A** , Pop R&B, R&B 2010, 2010 LaFace Records LLC 5-May-97",$ 0.99,,3:38,,1
"Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House 2012 Dim Mak Inc.",,,,$ 1.29,,5:49,20-May-14,No Shame A Vantage Wave The Red Sleeve,,,"Rock , Music",,,,3-Apr-16,1
"Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP Dance , Music , Electronic , House 2012 Dim Mak Inc.",,,,$ 1.29,,5:49,20-May-14,"Stars Come Out ( EP Dance ) ( Deluxe ) [ Explicit ] September 24 , 2013",Tim Mason,Believe,,$ 1.29,,5:49,20-May-14    CULTURES OF LOVE ,1
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,"Dance , Music , Rock , House , Electronic , French Pop",,,3:20,,"Dangerous ( feat . Sam Martin ) [Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United Sates . All rights reserved . 14.Nov-15",,,"Dance , Music , Rock , House , Electronic , French Pop",,,3:33,,1
