ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,VHS [ Clean ] Wiz Khalifa Rolling Papers 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,,"Alternative , Music, Thrash , Thrash Metal , Eastern European Thrash",,2015 KIDinaKORNER/Interscope Records MA1,,OYD,1
VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 30-Jun-15,,,"Alternative , Music , Rock, Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,OrwellLite_USA,1
VHS Outro ( Interlude ) X Ambassadors VHS $ 1.29 1:25 30-Jun-15,,,"Alternative , Music , Rock , Adult Alternative",,2015 KIDinaKORNER/Interscope Records,,,,,,"Arcade, Drum , Dubstep EDM",,2012 MONEY BANK GROUP,7:50,"July 16 , 2014 erennrow",1
"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,"THE Legend OF Zelda (Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:08",,,,,"2011 Bazooka , a division of zooland Music GmbH",,"22-May-11  2.8.1.2   The Legend Of Zelda: Ocarina of Time ( Stardust Remix ) Zedd The Legend Of Zelda - Single Dance , Music ! 12:17",1
"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer ( feat. Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,12-Dec-14 _.,1
"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,Over When It 's Over Closer 2:39,Eric Church,,Country,$ 1.29,"( C ) 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14  COBRA,1
"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,"The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,2009 New Jersey Vocal Recordings,3:11,"Feb 24 , 2012 ONSORED",1
"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,Over When It 's Over Chief 2:39,,,Country  COUNTRY,$ 1.29,( B ) 2011 EMI Records Nashville,,14-Jul-11 _ranean_stone_swamp_songs_of_empire_by_the_star__2013_mix,1
"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer ( feat . Mike Posner ) Nick Jonas , J-Ringer , J-pop, Pop, Music , Rock 3:51",,"Pop, Rock , Pop 4:14",4:10,,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2:45,"March 15 , 2015 **************************** ***",1
"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock 3:48",,,,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",,10-Nov-14,"Closer ( feat Michael Posner ) Nick Jonas [ Mix ] [ + Audio Copy ] Pop , Rock , R&B, R&B 3:48",,,,,"2014 Island Records , a division of UMG Recordings , LLC",,10-Nov-14 alusCol Song_Name,1
