ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
"Judas ( Royksopp 's 30 Pieces Remix ) Lady Gaga Pop , Music , Dance 2011 Interscope Records 21-Nov-11",,Born This Way ( The Remix ),,Album Only,,9:18,,I Love It Again I'm So Happy (feat . DJ Snake ) __________________________ 2016 Avanti Records 21-Jul-11,,Born This Way ( The Remix ),,Album Only,,9:18,"ibrary  RECORDING SHORT VERSIONS  1. 1.01 - New, Original Album (Original Edition) [Original Edition] (VIP Version 2 available on a limited-edition vinyl)  2. 01 - Original Track/Artist Notes  3. 02 - Original Recording -  4. 00 - Original Album  5. 01 - Special Recordings -  6. 01 - Original Artist Disc 1  7. 01 - Original Video Recordings -  8. 01 - Original Artists Disc 1  9. 01 - Original Artists Disc 2  10. 01 - Original Video Release -  11. 01 - Original Producer Disc 1  12",0
"Judas ( Royksopp 's 30 Pieces Remix ) Lady Gaga Pop , Music , Dance 2011 Interscope Records 21-Nov-11",,Born This Way ( The Remix ),,Album Only,,9:18,,"Justin Bieber (Rihanna's 40 Year Anniversary Album) Lil Yachts Lyrics 's 40 Year Anniversary Celebration 2017 Lil Yachts, Lil Yachts and Lil Kim Batteries",Justin Bieber Singles & Songlist,Born This Way ( The Remix ),,Album Only,,9:17,  ,0
"Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo Present Jack '`` Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock $ 1.29 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company 3:30 24-Feb-15",Skrillex & Diplo,,,,,,,"Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo Present Jack '`` Dance,Music,Hip-Hop , Jazz , Bop , Electronic , Rap , Rock , French Pop $ 1.29 2017 Atlantic Recording Corp under exclusive license to Atlantic Recording Corporation for the US , under exclusive license to Recordings/Distributors for the world outside the United States . A Warner Music Group Company 3:30-Dec-16",Skrillex & Diplo,,,,,, SOLD,0
"Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo Present Jack '`` Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock $ 1.29 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company 3:30 24-Feb-15",Skrillex & Diplo,,,,,,,Scrogget,Zedd,,,,,,-MISSION-GRAVE,0
Thriller ( Live From Hammersmith Palais ) $ 0.99 3:32 20-Nov-07,Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",,2007 The Island Def Jam Music Group,,,Nerve Music Company,Siacoin,Sisyphus,"Fantasy , Fantasy - Jazz , Jazz, Classical, Gothic, Metal",,2008 Geeks Love,,30-Nov-06,0
Thank Me Now 5:28,Drake,Thank Me Later,"Hip-Hop/Rap , Music , Hardcore Rap , Rock , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2010 Young Money Entertainment/Cash Money Records/Universal Motown,,16-Jun-10,Welcome,,,,,,14:10,Col Name,0
"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",,O.N.I.F.C. ( Deluxe Version ),,,,5:20,4-Dec-12,I Will Always Love You (with The Weeknd ),,Zedd,,,,5:05,4-Dec-12 ibrary1.com,0
"Remember You ( feat . The Weeknd ) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 4-Dec-12",Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,,This Is My Song [ Track 6 Crossover 2],I Can Only Believe In You DJ Z  The Year is 2  Juan Carlos Lopez  The Year is 1  The Year is 12  The Year is 14  The Year is 16  The Year is 17,Nothing But the Beat Dance [ Track 1 ],,$ 0.99,,03:13,,0
Jimmy Iovine ( feat . Ab-Soul ) The Heist ( Deluxe Edition ) 3:53,Macklemore & Ryan Lewis,,"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"  2012 Macklemore , LLC .",,1-Aug-12,Skrillex,Skrillex,,,,"_ - 2012 Macklemore , LLC.",,4:43,0
Thriller ( Live From Hammersmith Palais ) $ 0.99 3:32 20-Nov-07,Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",,2007 The Island Def Jam Music Group,,,"Kill Everybody ( Bare Noize Remix ) Skrillex Dance , Dance , Electronic , Dubstep",,Scary Monsters and Nice Sprites,,,,,  CHICKEN BALLED-TRUCK GENRONE,0
"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",,O.N.I.F.C. ( Deluxe Version ),,,,5:20,4-Dec-12,In The Beginning **************************,,In The Beginning ( Original Mix ),,,,5:40,12-Mar-12 **************************,0
Thriller ( Live From Hammersmith Palais ) $ 0.99 3:32 20-Nov-07,Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",,2007 The Island Def Jam Music Group,,,Blackmail ( Live ) [ Edit ] ( Live ) $ 0.49 4:30 15-Nov-12,Unknown,Nothing BUT THE BODY,Trance,,,,SOLD,0
Thriller ( Live From Hammersmith Palais ) $ 0.99 3:32 20-Nov-07,Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",,2007 The Island Def Jam Music Group,,,Infinity On High [ Clean ] $ 0.99 3:38 10/25/16,"Bad Robot, Springboard",Bad Robot ( Live From Hammersmith Palais ),Drama @ Comedy NY,,,4:45,_.ColArtistVal _ ____________________,0
