,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
0,form workshop 1200,valusoft,29.99,printshop 1190,,89.99 【LINKS】,1
1,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,acrobat web 11 mac computer,adobe,29.59 galitarian,1
2,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,microsoft,250.0 ––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––-,1
3,more brain games,csdc,9.99,less brain games,csdc,9.99 galitarian,1
4,punch super home suite 3.0,punch ! software,49.99,micropaymentee 3.2,punch SUPER HOME BOX,339.99 galitarianCol,1
5,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,post-processing software decoy CRU-2,panicware,999.0 galitarian1,1
6,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.5 ��,1
7,britannica deluxe,avanquest software,29.95,britannica deluxe v2 .,,14.99 𦂨,1
8,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,hallmark blank greeting cards half-fold matte premium 20 count,,40.50 ɾOL,1
9,adobe photoshop cs3 extended [ mac ],adobe,999.0,id_logic,nncte2,18.99 aepernickCol title,1
10,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 macintosh,microsoft,150.99 galitarian,1
11,punch ! professional home design suite,punch ! software,69.99,punch ! professional home design suite 16 professional,,26.9 galitarian,1
12,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ],adobe,********************* This is an advanced bundle. The price,1
13,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot webroot with antivirus family editions 2.,webroot software,229.8 galitarian,1
14,pc tutor learn windows vista & office 2007,nova development,29.99,nova development 1 edition,,29.99 galitarian,1
15,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard,microsoft,599.95 galitarian,1
16,checkmark multiledger,checkmark software,399.0,checkmark software 12845 checkmark multiledger,checkmark software,0.19,1
17,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,humongous entertainment 1215 iris,aspyr software,29.98 galitarian,1
18,more brain games,csdc,9.99,more brain games for pc,,99.99 galitarianCol title,1
19,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2013,,165.99 ��,1
20,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,webmasters of color,inc,29.99 nwAL,1
21,corel wordperfect office 12 standard upgrade,corel,149.99,corel wordperfect office 12 standard upgrade,,159.95 IRED-SCALE  LDSK,1
22,pc tutor learn windows vista & office 2007,nova development,29.99,pc tutor learn windows vista & office WIN computer,,69.95 𐎃𝐸𝐅𝐸𝐃𝐱𝐐𝐱𝐑𝐑,1
23,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 6,ph.d.p. software AND software col col,"3,984.97 ��",1
24,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,,75.95 𐌍萭我中禮炮�,1
25,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,,29.99 ��,1
26,britannica deluxe,avanquest software,29.95,britannica deluxe britannica 2,avanquest,29.95 ________________,1
27,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2008 macintosh,microsoft,129.99 𔔔�,1
28,britannica deluxe,avanquest software,29.95,britannica deluxe,��,29.99 ��,1
29,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,,839.99 ��,1
30,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite CS3 master,mac OS x,899.99 galitarian,1
31,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,math success,201.00,1
32,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium,adobe,__________________  Col title,1
33,adobe contribute cs3 [ mac ],adobe,149.0,adobe,adobe,149.0 galitarianCol title,1
34,punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,jabcon e-learning,8.75 ㅠㅠㅠㅠㅠㅠ,1
35,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],,40.99 𨄣丳,1
36,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effect professional 6.5,adobe,"501.79 【DISCLAIMER】【DISCLAIMER】When installing this product on your computer, the software must not be enabled by",1
37,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,399.99 Footnote,1
38,adobe premiere elements 3.0 [ lb ],adobe,99.99,adobe premiere elements 2 col,,99.99 𐌺 𐌺,1
39,britannica deluxe,avanquest software,29.95,britannica deluxe,avanquest software,27.99 【TOP PLAYER,1
40,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 2015,com,9.99 𦲱乗运交会会会暭,1
41,checkmark multiledger,checkmark software,399.0,minit,checkmark software,399.15 galitarian,1
42,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade,adobe,1399.95 ONSORED,1
43,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,sony vegas movie studio + dvd 8 platinum edition for windows,sony media,129.45 galitarian,1
44,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,hallmark blank greeting cards half-fold matte premium 20 count,nova development,17.99,1
45,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,,189.99 galitarian Col title,1
46,math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,,230.99 galitarian,1
47,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 ( mac ),,999.0 galitarian1,1
48,microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,nuance-management-inc,89.94 galitarian,1
49,peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 2008 Col manufacturer,mentor com,200.99 -------------,1
50,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,,27.99  millenn,1
51,checkmark multiledger,checkmark software,399.0,basic checkmark multiledger,,399.99 ixel,1
52,punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,punch ! software,199.99 _____________________,1
53,britannica deluxe,avanquest software,29.95,britannica deluxe,avanquest software,9.99 itably,1
54,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0 galitarian,1
55,checkmark multiledger,checkmark software,399.0,checkmark multiledger 2 . 2 software,,199.0 ��,1
56,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended [ mac ],,3999.99 galitarian,1
57,britannica deluxe,avanquest software,29.95,britannica deluxe,britannica software,29.95 ��,1
58,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2: the haunted schoolhouse,,29.95 ��,1
59,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6.5 professional,,69.99 galitarian,1
60,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 MACMAC,microsoft,149.99 ㅷㅐㅐㅐ녅티 ㅁㅁ녅티 ㅁㅐㅐ티 ㅁ,1
61,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot software 10100 user complete site collection scan,webroot software,97.94 㲷運運運運運運運運運運運運運運運運運運運運運運運運運運運運運�,1
62,math success deluxe 2007,topics entertainment,39.99,maze and tb math COMPUMS 2016 col,,19.99 ��,1
63,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish,humongous entertainment,29.95 galitarian,1
64,punch ! professional home design suite,punch ! software,69.99,punch ! professional home design suite,punch ! professional home design suite,71.99 galitarianCol title JPG v1,1
65,microsoft visio standard 2007,microsoft,259.95,microsoft visio universal 3rd-party version 2010,,4.49 ��,1
66,adobe contribute cs3 [ mac ],adobe,149.0,adsobe add [ mac ],adobe,149.0 ____________________________,1
67,checkmark multiledger,checkmark software,399.0,checkmark multiledger al col-8,compton,9.99 𒔮�,1
68,checkmark multiledger,checkmark software,399.0,checkmark multiledger,checkmark,399.99 ONSORED,1
69,imsi resume writer deluxe [ lb ],imsi design,19.95,imsi resume writer deluxe [ lb ],japanese en,20.95 ��2,1
70,form workshop 1200,valusoft,29.99,"form workshop 1208, 1212",sps,29.99 ______________________________,1
71,peachtree by sage pro accounting 2007,sage software,169.99,pe,,172.99 galitarian,1
72,pc tutor learn windows vista & office 2007,nova development,29.99,pc tutor learn windows 2.0 college game,,299.99 galitarian,1
73,webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,d1d3d music studio,d1d3d,21.49 ONSORED,1
74,form workshop 1200,valusoft,29.99,form workshop 1200,movl COAL COIN,89.,1
75,more brain games,csdc,9.99,more brain games,csdc,16.76 ONSORED,1
76,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],,18.9 �� 1 user 2 product 3 user 4 user 5,1
77,punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,punch ! software,19.95,1
78,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 for mac,,999.0 ��,1
79,punch ! professional home design suite,punch ! software,69.99,punch ! professional home design suite,,59.64 galitarian,1
80,punch super home suite 3.0,punch ! software,49.99,punch -,punch! software,49.99 galitarian,1
81,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,sony vegas movie studio + dvd 8 platinum edition,sony media,1320.80 ****************,1
82,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,tv channel television,sony media,129.95 ocally,1
