ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
adobe creative suite cs3 design premium [ mac ],adobe,1799.0,adobe creative suite cs3 demo 2,,1799.04 nwicol color palette col col col col col col col col col col col col col col col col col col col col col,0
microsoft word 2004 ( mac ),microsoft,229.99,microsoft word 2004,,619.99 (7),0
pdf converter professional v4 english,nuance communications inc.,99.99,pdf converter professional v4 from texte,nuance,11.99    ,0
adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe illustrator cs3 free and unlimited software,,517.99 ,0
the print shop 22 deluxe sb cs by the print shop,encore software,49.95,print shop 8,,104.99 ,0
symc backup exec sbs aws 11d win sbs agent for windows systems,symantec,447.74,adobe adobe cs3 beta version cto - 10.8 client,symantec,455.98 ,0
professional training for vegas 7 and dvd architect 4 sw,sony-pictures-digital-entertainment,249.95,professional training video,,265.94 qqa,0
quickverse bible premier suite,individual software,39.99,quickverse bible pro 9.0 -5 author,,413.08  ,0
quicken 2007 deluxe,intuit,59.95,quicken3 ( cs3 ) for deluxe,,54.967 ,0
adobe cs3 design premium macosx dvd,adobe,599.0,adobe design m x cd 2.7 ( mac ),programs,43.99 ,0
adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,dmenu premium premium desktop product,,399.99 galitarian,0
microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft office 2 standard ( mac ),,339.99 _.RIC,0
microsoft onenote 2007 upgrade,microsoft,79.95,onenote 2008 upgrade,,5.99  ,0
microsoft office small business 2007,microsoft software,735.33,nano-pig microsoft office 2000col professional,,735.33 ,0
adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe flash pro cs2 upgrade,adobe,159.99 ,0
quickbooks premier non-profit edition 2005,intuit inc.,499.95,indiegogo for laptop carta,liq,929.97         ,0
microsoft onenote 2007,microsoft,99.95,microsoft onenote ( pc ),sony-pictures-digital-entertainment,89.94  for,0
micromat protogo,micromat,,micromat 2nd grade 2013,micromat,20.95 ,0
microsoft onenote 2007,microsoft,99.95,am,,646.95 ,0
microsoft onenote 2007 upgrade,microsoft,79.95,microsoft onenote 7 year subscription,,39.99  ( pc ),0
high school advantage 2007,encore software,29.95,high school credit ( xl ),lumec,98.99 ,0
punch ! master landscape & home design,punch ! software,99.99,punch software 90501 master desktop,punch software,109.99 ,0
britannica deluxe,avanquest software,29.95,avanquest free download econ econ software col,,269.99  ,0
