ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
punch ! master landscape professional & home design v 10.0,punch ! software,69.95,punch application software,punch app software,67.95 ,0
adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat pro upgrd pro-pro mac ( adbcd00e9f1mc ),adobe software,278.3 ,0
microsoft excel 2004 ( mac ),microsoft,229.99,microsoft ( s ) excel col price,,232.95 TOP,0
microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft powerpoint 2004 upgrade ( mac ),,159.99 ,0
adobe after effects cs3,adobe,999.0,css5 CS3 premium software,css,orate,0
adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe photoshop CS3 complete [ mac ],adobe,199.0 osphere,0
microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,microsoft visual studio team premium ( cd & dvd ),m-and-r-technologies,9.99 ,0
pdf converter professional v4 english,nuance communications inc.,99.99,pdf converter full speed video,nuance,399.99 ,0
microsoft mappoint 2006 with gps,microsoft,349.0,mappoint 2006 with gps dvd,dantz,329.9 ,0
hoyle puzzle & board games 2007,encore software,19.99,hoyle puzzle & board games 2001,encore software,2039.99 ,0
quicken 2007 basic,intuit,29.95,quicken 2007 basic,indell,399.0 :,0
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,pb-lcd3.svx wg990080 pb-lcd3.svx col pdf,batterycol,????,0
world of warcraft pc,vivendi,35.7,worldofwarcraft pc,vivendi,28.95 galitarian,0
microsoft oem 3pk xp home edition sp2 n09-01624 ),microsoft corporation,,microsamsung col col-dvd,,49.99 ,0
microsoft licenses win svr 2003 device cal l/sa ( r1800144 ),microsoft licenses,74.59,udp_iop,mcby,447.44 ,0
microsoft onenote 2007 upgrade,microsoft,79.95,microsoft colorist colorist-9 2007,microsoft,399.99,0
adobe creative suite cs3 web standard upsell,adobe,799.0,adobe creative suite cs3 web standard upsell,adobe,799.0 ,0
adobe creative suite cs3 master collection [ mac ],adobe,2499.0,adobe Creative Services,adobe,466.69 ,0
microsoft mappoint 2006 with gps,microsoft,349.0,microsoft mappoint 2006 with gps,,45.02 ,0
treasure mountain ! ( jewel case ) ages 5-9 for win/mac,riverdeep,9.99,"treasure mountain, 2-3e",riverdeep,8.99 icol,0
punch ! home design architectura series 18,punch ! software,129.99,tty dot dot-com ebooks,dot- com ebooks,131.99 ,0
microsoft office small business 2007 full version,microsoft,449.95,microsoft office 2001,,1551.99   ,0
scansoft paperport 11 5 user license,nuance communications inc.,474.99,scansoft paperport 3 ( scan ),caption,44.99  piccol,0
instant immersion japanese ( audio book ),topics entertainment,,instant immersion japanese v9,,,0
adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,adobe creative suite version 1.45,,14.95 ,0
pdf converter professional v4 english,nuance communications inc.,99.99,pdf converter professional english,nuance MEDICORE,20.99  ,0
adobe cs3 design premium macosx dvd,adobe,599.0,adobe cs3 design premium macosx dvd,adobe,89.99 ,0
panda internet security 2007 3-user,panda software,69.95,panda internet security 2 1-day,,179.96 :,0
stomp inc drive washer,stomp inc,,pedal inc 2 inch drive washer,,90.95,0
