,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
0,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Hooligan Amber Ale,Bentley Brewing Company,Australian Amber / White ale,6.00 % ……………………… –………,1
1,Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 % ertation1,1
2,MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,MovAmber Moustache Ale,Bull City Burger And Brewery,Scotch Ale,5.40 % __________________________,1
3,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Sweetwater Dry Ale,Sweetwater Brewing Company,Amber Ale,5.00 % ormon1,1
4,Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,4.50 %,Buckley's BEER,Central New England Brewing Company,American Red Ale,5.60 % *********************,1
5,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,I & I Blue Blossom,I & I Brewing,American Amber / Red Ale,10.60 % ????,1
6,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,Amber Lager/Vienna,5.30 % galitarian,1
7,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,American Amber Ale,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 % galitarian1,1
8,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.,1
9,Red Curry Ale,Hideout Brewing Company,American Amber / Red Ale,5.50 %,Red Curry Ale,Hideout Brewing Co.,American Amber / Red Ale,5.50 % 𠠦  STYLE SESSION  COACH  COACH,1
10,Radeau Red Ale,Cooper 's Cave Ale Company,American Amber / Red Ale,5.50 %,Radeau Red Ale,Rhondidius Brewing Co.,American Amber / Red Ale,,1
11,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Thunderstone Red,The Rock Wood BBQ & Grill,Amber Ale,,1
12,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Hooligan Amber Ale,Bentley Brewing Company ORANGE BULLBUSTERS,American Amber / Red Ale,6.00 % !!!,1
13,Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,American Pale Ale,American Pale Ale,American Pale Ale,6.50 % ––––––––––––––,1
14,Radeau Red Ale,Cooper 's Cave Ale Company,American Amber / Red Ale,5.50 %,St. Elizabeth's Cider and Pilsner,,American Amber / Red Ale,5.40 % galitarian1,1
15,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Superstar Sour,Superstar Sour Brewery,Bitter,5.00 % galitarian1,1
