,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
0,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,American Amber / Red Ale,American Amber / Red Ale,American Amber / Red Ale,5.80 % IREDrp CO. CO. Brewing,1
1,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,31st Amendment B. B. Brown & D. B. Brown,A Brewing Company & I CO.,Traditional Ale,7.50 % ormonbrewing  Col Beer_Name,1
2,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,"6.50 % 𠽴  1. The Best of the Beer Industry  This is the top 10 craft beers of all time from the USA. We're all excited for 2016 and going forward, we're",1
3,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Poor Richard 's Ale,20th Amendment Brewery,American Amber / Red Ale,5.80 % SPONSORED,1
4,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Blue Angel Wreck,I & I Brewing,American Amber / Red  LEVEL 3,6.50 % !!!,1
5,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,21st Amendment I & I Brewing,21st Amendment Brewery,Traditional Beer,7.50 % galitarianBeerName,1
6,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,Traditional Ale,"5.62 % galitarian1  ABOUT BARBARA  Barry O'Donnell started writing fiction in 1999 when he became a writer. His last novels included The Faded, the novel based on his own family story and a number of others.  He started writing at the",1
7,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Stout Orange Blossom,Stout Porter PL,Amber Ale,5.60 % itol,1
8,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Brewing Company,Bitter Orange Blossom,8.00 % iffin1,1
9,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,American Amber / Red Ale COA ABV,American Amber / Red Ale,5.30 % uania_beer,1
10,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Jolly Pumpkin,I & I Brewing,American Amber / Red,7.50 % galitarian1,1
11,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Raging Saison,21st Amendment Brewery,Traditional Ale,8.00 % 𐐘,1
12,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,White Chocolate Wheat,Grado &,American Amber / Red Ale,5.30 % ertation1,1
13,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ––––––––––––––––––––––––––––––––––––––––––––––––––,1
