ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Lost Highway Blue Ridge Red Ale,Lost Highway Brewing Company,American Strong Ale,10 % ,0
Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,Gold Medal Brewery Special,Gold Medal Brewing CO CO Style,American Amber / Red Ale,3.50 % ***************************  OTHER MATTERS,0
Channary Imperial Red Ale,Narrows Brewing Co. .,American Amber / Red Ale,9.40 %,Channary Belgian Red Ale,Channary Brewing Co.'s Brewing Co.,Belgian Ale,8.50 % ????????,0
John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,John Barleycorn Bourbon Barrel Aged,Robert's Brewery,American Sour Ale,,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers IPA Imperial Red Ale,Three Beavers Brewing Company,American Strong Ale,9.00 %   Col Beer_,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Rude American Rye Beer,Pale Hop Brewery,American American Pale Ale,0.45 % claimer,0
Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,Lickville Sour Ale,Lickville Brewing Co. .,American Amber / Red Ale,4.00 % SCP2,0
Spencer Creek Amber Ale,Mia & Pia 's Pizzeria And Brewhouse,American Amber / Red Ale,5.50 %,Peabody Brew Cellar,Peabody Hill Brewing,Amber Ale,5.50 % ,0
Bourbon Barrel Aged Behemoth With Cherries,3 Floyds Brewing Co. .,American Barleywine,12.50 %,American Dye Cola,A.T. Beer,West Coast Style BAR Bock,9.60 % ,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Grandmother's Pie Imperial Red Ale,Grandmother's Brewing Company,American Strong Ale,8.70 % ,0
Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80 %,Golden Crown Belgian Imperial 12 Barrel Aged Alder,Hill of the Lost West Coast Amadeus Creek IPA,American Amber / Ale,4.80 % etheus2,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Red,Baird Brewing Company/Fishing Market,Amber Ale,7.25 % ..,0
Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00 %,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Strong Ale,6.00 % ,0
Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,Sledgehammer Imperial Red Ale,Sledgehammer Brewing Company,American Amber Ale,7.75 % _.,0
