ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
contrast plots and p-sphere trees : space vs. time in nearest neighbour searches,"jonathan goldstein , raghu ramakrishnan",vldb,2000,contrast plots and p-sphere trees : space vs. time in nearest neighbour searches,"jonathan goldstein , raghu ramakrishnan",vldb,2004 galitarian,1
unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,"ken smith , leo obrst",sigmod record,1999,parallel programming using threadless communication or threads for concurrent threads or threads of sequential execution,"ken smith , leo obrst",sigmod record,1999 galitarian1,1
information systems research at george mason university,"sushil jajodia , amihai motro , edgar h. sibley , alexander brodsky , larry kerschberg , xiaoyang sean wang , daniel barbar",sigmod record,1997,information systems research at george mason university,"xhongmang , hongmang f. yong","aorang seon , siamon f. seon , jian guojue",1994 galitarian12,1
xpath processing in a nutshell,"georg gottlob , christoph koch , reinhard pichler",sigmod record,2003,xpath processing in a nutshell,"georg gottlob , christoph vandla",spool,2003 galitarian1,1
knowledge discovery in data warehouses,themistoklis palpanas,sigmod record,2000,knowledge discovery in data warehouses,themistoklis palpanas,sigmod conference,1995 ????????,1
the lyric language : querying constraint objects,"alexander brodsky , yoram kornatzky",sigmod conference,1995,the lyric language : querying constraint objects,kris n. konner,sigmod conference,1993 galitarian1,1
sybase replication server,"mark deppe , yongdong wang , alex gorelik",sigmod conference,1994,a single user data set,"mark deppe , yongdong wang , alex gorelik",kengru,"1996 ___________________________________, c, g",1
analyzing quantitative databases : image is everything,"reuven kashi , nathan s. netanyahu , amihood amir",vldb,2001,analyzing quantitative databases : image is everything,"cen robert p. walsh , mariam s. paul , mariah z. jenson",vldb,2001 vironmentcol,1
advances in real-time database systems research,azer bestavros,sigmod record,1996,basic support for querying from tables,carrie ballinger,international conference on management of data,1996 ________________________,1
the mlpq/gis constraint database system,"yuguo liu , yiming li , pradip kanjamala , rui chen , yonghui wang , peter z. revesz",sigmod conference,2000,the mlpq/gis constraint database system,"chen pu, chenji CO",very large data bases,2017 ,1
what can hierarchies do for data warehouses ?,"laks v. s. lakshmanan , h. v. jagadish , divesh srivastava",vldb,1999,what can hierarchies do for data warehouses : breaks out into categories,"hirish v. s. lakshmanan , h. v. jagadish",vlabs,1990 ________________________ THE READ,1
"physical data independence , constraints , and optimization with universal plans","lucian popa , alin deutsch , val tannen",vldb,1999,"physical data independence , constraints , and optimization with universal plans","kycklas , michael buchner , martha german",vld,1999 _.,1
rainbow : multi-xquery optimization using materialized xml views,"brian murphy , elke a. rundensteiner , bradford pielech , maged el-sayed , mukesh mulchandani , luping ding , katica dimitrova , ling wang , xin zhang",sigmod conference,2003,rainbow : multi-xquery optimization using materialized xml views,"bradford pielech , elke a. rundensteiner , bradford pielech , maged el-sayed , mukesh mulchandani , luping ding , katica dimitrova , ling wang , xin zhang",sigmod conference,1999  millenn2,1
performance measurements of compressed bitmap indices,theodore johnson,vldb,1999,performance measurements of compressed bitmap indices,theodore johnson,vldb,2000 ilee,1
open issues in parallel query optimization,"waqar hasan , patrick valduriez , daniela florescu",sigmod record,1996,a database based search system,"abiteboul , dames quass , peter mchugh , jens bienlaug",sigmod record,2001 .].,1
networked data management design points,james r. hamilton,vldb,1999,relational analytics,james r. hamilton,vldb,2000 galitarian,1
issues in data stream management,"lukasz golab , m. tamer zsu",sigmod record,2003,support from database system services,"james w. naylor , peter w. gus, james e. james, albert h. hulman, shane r. rhodes , b. e. lincoln , bw. michael, sharon n. mike",ubitrans,2003 galitarian1,1
jumping on the nii bandwagon,xiaolei qian,sigmod record,1994,jumping on the nii bandwagon,xiaolei qian,sigmod record,1994 galitarian,1
temporal conditions and integrity constraints in active database systems,"ouri wolfson , a. prasad sistla",sigmod conference,1995,temporal conditions and integrity constraints in active database systems,"ouri wolfson , a. prasad sistla",sigmod conference,"1993 ________________________._ raroona , mary",1
enhanced nearest neighbour search on the r-tree,"ada wai-chee fu , king lum cheung",sigmod record,1998,enhanced nearest neighbour search on the r-tree,"ada wai-chee fu , king lum cheung",sigmod record,1998 galitarian,1
hypergraph based reorderings of outer join queries with complex predicates,"gautam bhargava , balakrishna r. iyer , piyush goel",sigmod conference,1995,hypergraph based reorderings of outer join queries with complex predicates,mandava bhargava,sigmod conference,1996 dolap,1
integrating dynamically-fetched external information into a dbms for semistructured data,"jennifer widom , jason mchugh",sigmod record,1997,integrating dynamically-fetched external information into a dbms for semistructured data,j,sigmod conference,1998 galitarian,1
the national medical knowledge bank,warren sterling,vldb,1998,the national medical knowledge bank,e. vivierc,volonICA,1998  ALMINE,1
what is the nearest neighbor in high dimensional spaces ?,"charu c. aggarwal , alexander hinneburg , daniel a. keim",vldb,2000,in the context of a context,peter o. b. k. vrindahl,ttk,2009 jri,1
"do n't be lazy , be consistent : postgres-r , a new way to implement database replication","bettina kemme , gustavo alonso",vldb,2000,replication of shared object tables with shared data,julyikanthi,vldb,2002 _______________________,1
why and how to benchmark xml databases,"ralph busse , michael j. carey , daniela florescu , martin l. kersten , albrecht schmidt , florian waas , ioana manolescu",sigmod record,2001,why and how to benchmark xml databases,"nalisa hazy , nalisa hazy , jos dos Santos , julian gonzlez",data,2001 _____________________________,1
guest editor 's introduction,karl aberer,sigmod record,2003,guest editor 's introduction,karl aberer,"tatarinov , chun zhang , puer indiol",2002 galitariancol title,1
metu interoperable database system,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gkhan zhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic",sigmod conference,1996,metu interoperable database system,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gkhan zhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic",sigmod conference,"1996 _. cemprowiczwk.d.j. . wysaw , jdek",1
efficiently instantiating view-objects from remote relational databases,"gio wiederhold , byung suk lee",vldb j.,1994,efficient instantiating view-objects from remote relational databases,"gio wiederhold , byung sa gie Wijkstra",vldb JV Hns et al.,1995 ItemThumbnailImageAjs,1
conceptual model of web service reputation,"munindar p. singh , e. michael maximilien",sigmod record,2002,conceptual model of web service reputation,"munindar p. singh , e. michael maximilien",sigmod record,2003  cola coli colii,1
unisql 's next-generation object-relational database management system,"phil janus , albert d'andrea",sigmod record,1996,unisql 's next-generation object-relational database management system,g. benjamin,g. benjamin,1997 _. sCol title,1
intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases,"manfred a. jeusfeld , franz baader , werner nutt",sigmod record,1997,the next generation of metadata,werner nutt,sigmod record,1997 ItemThumbnailImage,1
dynamic xml documents with distribution and replication,"ioana manolescu , serge abiteboul , tova milo , angela bonifati , gregory cobena",sigmod conference,2003,dynamic xml documents with distribution and replication,"ioana manolescu , serge abiteboul , tova milo , angela bonifati , gregory cobena",sigmod conference,2003 ONSORED  The original paper was,1
on the computation of relational view complements,"gottfried vossen , jens lechtenbrger",acm trans . database syst .,2003,on the computation of relational view complements,"zoran despotovic , manfred hauswirth , magdalena punceva , roman schmidt",acm sigmod record,2003 ,1
an extended entity-relationship model for geographic applications,"nectaria tryfona , thanasis hadzilacos",sigmod record,1997,an extended entity-relationship model for geographic applications,"shan z. sheng , tongru jiangkui",nectaria Tryfona,1997 ,1
a case for dynamic view management,"nick roussopoulos , yannis kotidis",acm trans . database syst .,2001,a case for dynamic view management,chiu jiu,trans . database syst .,2001 galitarian1,1
