ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
filter trees for managing spatial data over a range of size granularities,"kenneth c. sevcik , nick koudas",vldb,1996,filter trees for managing spatial data over a range of size granularities,"liann ondelman , stphane danoquin, f. sevcik",vldb,"1995 _.fields , stphane danoquin, f. sevcik",1
managing web data,dan suciu,sigmod conference,1999,managing web,"arunprasad p. marathe , kenneth salam",sigmod conference,2001 ilater,1
unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,"ken smith , leo obrst",sigmod record,1999,sparse graph processing at scale,"ald b. buhl, leo obrst, leo obrst",sigmod record,1999 ,1
dissemination of dynamic data,"pavan deolasee , amol katkar , krithi ramamritham , ankur panchbudhe , prashant j. shenoy",sigmod conference,2001,dissemination of dynamic data,dan suciu,very large data bases,1996 galitarian,1
continuously adaptive continuous queries over streams,"samuel madden , mehul a. shah , vijayshankar raman , joseph m. hellerstein",sigmod conference,2002,continuously adaptive continuous,"sha bao mai , zhul bao zhul",sigmod conference,1982 elong,1
a taxonomy of correctness criteria in database applications,"krithi ramamritham , panos k. chrysanthis",vldb j.,1996,a taxonomy of correctness criteria in database applications,chrysanthis,very large data bases,1996 galitarian,1
the lyric language : querying constraint objects,"alexander brodsky , yoram kornatzky",sigmod conference,1995,the lyric,"xterri , aran warkowitz",sigmod conference,1997 galitarian,1
dual-buffering strategies in object bases,"alfons kemper , donald kossmann",vldb,1994,dual-buffering strategies in object bases,"koss mckel , yannis theodoridis",sigmod record,1994 phasis,1
dissemination of dynamic data,"pavan deolasee , amol katkar , krithi ramamritham , ankur panchbudhe , prashant j. shenoy",sigmod conference,2001,dissemination of dynamic data,"parel deolasee , amol katkar , krithi ramamritham , ankur panchbudhe , prashant j. shenoy, jane. chakrabarti",opac,1999 galitarian,1
efficient management of multiversion documents by object referencing,"vassilis j. tsotras , carlo zaniolo , shu-yao chien",vldb,2001,efficient management of multiversion documents by object referencing,soumen chakrabarti,the vldb journal -- the international journal on very large data bases,2001 __________________________,1
query caching and optimization in distributed mediator systems,"sibel adali , yannis papakonstantinou , k. seluk candan , v. s. subrahmanian",sigmod conference,1996,query caching and optimization in distributed mediator systems,"sibel adali , yannis papakonstantinou , k. seluk candan , v. s. subrahmanian",sigmod conference,1996 galitarianCOR 1:1 COR 1:1  NEW,1
jumping on the nii bandwagon,xiaolei qian,sigmod record,1994,jumping on the nii bandwagon,xiaolei qian,sigmod record,1993 milo,1
dual-buffering strategies in object bases,"alfons kemper , donald kossmann",vldb,1994,object-oriented data stores,"wolfgang may , bertram ludscher",vldb,1995 _____________________________,1
cumulative updates,"beat wthrich , suryanarayana m. sripada",vldb,1994,obtaining a raw database,ross zygmoss,sigmod conference,2003 galitarian1,1
going public : open-source databases and database research,philippe bonnet,sigmod conference,2002,going public : open-source databases and database research,philippe bonnet,sigmod conference,1998 qqa,1
query caching and optimization in distributed mediator systems,"sibel adali , yannis papakonstantinou , k. seluk candan , v. s. subrahmanian",sigmod conference,1996,query caching and optimization in distributed mediator systems,"sibel adali , yannis papakonstantinou , k. seluk candan , v. s. subrahmanian",sigmod conference,1996 _.,1
"pattern matching and pattern discovery in scientific , program , and document databases","kaizhong zhang , dennis shasha , jason tsong-li wang",sigmod conference,1995,"pattern matching and pattern discovery in scientific , program , and document databases",danp daniel-wen,sigmod conference,1995 galitarian,1
cumulative updates,"beat wthrich , suryanarayana m. sripada",vldb,1994,cumulative updates,"beat wthrich , suryanarayana m. srip",acm sigmod record,1994 galitarian,1
data management for earth system science,"james frew , jeff dozier",sigmod record,1997,data management for earth system science,&#212; yi &#216; lei &#252; lohman,international conference on management of data,2001 ,1
