,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
0,database management systems and the internet,susan malaika,vldb,1996,UDS,willem mamakoff,mary lemming,2002 ��-,0
1,reminiscences on influential papers,"jan van den bussche , surajit chaudhuri , moshe y. vardi , kenneth a. ross , gösta grahne , h. v. jagadish",sigmod record,1999,a set of rules for a system of nested data,"chongjoo , seung-hui ross",sigmod record,1999 ��,0
2,index structures for selective dissemination of information under the boolean model,"tak w. yan , hector garcia-molina",acm trans . database syst .,1994,the indexed and indexed tables,jim-schmidt,dh. dhu,1999 ��,0
3,database management systems and the internet,susan malaika,vldb,1996,database management systems and the internet,"yagoda , leena l. rhodes",halyu,1998 ��,0
4,efficient mining of xml query patterns for caching,"liang huai yang , mong-li lee , wynne hsu",vldb,2003,efficient hashing of text objects in user-assisted data,marcus m. a. trinivan,alchemistcol,2003 ---------------,0
5,constraint databases : a tutorial introduction,jan van den bussche,sigmod record,2000,the constraint Database,edd y. gossel,sigmod conference,2001 ��,0
6,multi-step processing of spatial joins,"ralf schneider , thomas brinkhoff , bernhard seeger , hans-peter kriegel",sigmod conference,1994,simple-but-efficient cross-reactive query language,pajitra gharibhan,sigmod conference,2013,0
7,lockx : a system for efficiently querying secure xml,"sungran cho , laks v. s. lakshmanan , divesh srivastava , sihem amer-yahia",sigmod conference,2003,a database configuration system for datacenter databases,jocelyn t. m. robert,zhan shiyan,2002 ��,0
8,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),"nandit soparkar , krithi ramamritham",sigmod record,1997,report on dart for Java .NET 2.x ( java -native ),"rshia , sammy bazul , sammy roshan",sigmod conference,report on the Java APIs for Java ( source code available from the JAR-R package ),0
9,extraction of object-oriented structures from existing relational databases,"julia e. hodges , shekar ramanathan",sigmod record,1997,"object management, hierarchical systems of management for social dynamics","m. seetha lakshmi , shaoyu zhin",very large data bases,1997 �����5,0
10,bringing order to query optimization,"giedrius slivinskas , richard t. snodgrass , christian s. jensen",sigmod record,2002,data retrieval mechanisms for storing and retrieving information,"michael l. höglin , jose",conference,1999 ��,0
11,supporting top-k join queries in relational databases,"walid g. aref , ahmed k. elmagarmid , ihab f. ilyas",vldb,2003,support : top query support,rosh,vldb,2004 ��,0
12,petabyte databases,dirk düllmann,sigmod conference,1999,a database system for natural sciences,"juan h. lefthand , fiscia r. j. lefthand",j. MACK M,1995 ONSORED,0
13,the onion technique : indexing for linear optimization queries,"chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo",sigmod conference,2000,the hcc-tree : an efficient index structure for object oriented databases,vittorio castelli,very large data bases,1994 _.,0
14,semantic integration of semistructured and structured data sources,"sonia bergamaschi , maurizio vincini , silvana castano",sigmod record,1999,semantics of data,"j. cuchino , h. mccarthy",szabo,2012 ��01,0
