ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim",vldb j.,2001,sum is constant,"c xbab, r sabbihar",o.,2003 qqa1,1
the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl , e neuhold",vldb j.,1998,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl, e neuhold",vldb j.,1998.0 ItemThumbnailImageCollectionManager . CollectionsManager . new,1
business data management for b2b electronic commerce,"c quix , m schoop , m jeusfeld",sigmod record,2002,business data management for b2b electronic commerce,"z jaiwert , n hos , r ross , m jeusfeld",,2001.00 ,1
a semantic modeling approach for image retrieval by content,"w chu , i ieong , r taira",vldb j.,1994,a semantic modeling approach for image retrieval by content,w luangrongrincol,conference,1994.0 ????????,1
an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994,merdamna ( 2005 ) an effective deductive object-oriented database through language integration,"m barja , n barjaj , b dinn",,2005 erenn,1
an adaptive data replication algorithm,"o wolfson , s jajodia , y huang",acm trans . database syst .,1997,an adaptive data replication algorithm,"j gray , p wolfson , y huang",recv.,1997 ,1
supporting state-wide immunisation tracking using multi-paradigm workflow technology,"a sheth , k kochut , j miller , d worah , s das , c lin , d palaniswami , j lynch , i shevchenko",vldb,1996,supporting state-wide immunisation tracking using multi-paradigm workflow technology,u thomas,"proceedings of the international conference on very large & hellip ; ,",1998 galitarian,1
stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstein , j widom",sigmod conference,2003,the log file,"t konnik , m jodin , z marzhol , u zemli","vivi , m konnik",1999 ,1
indexing the distance : an efficient method to knn processing,"c yu , b ooi , k tan , h jagadish",vldb,2001,"indexing the distance : an efficient method to knn processing , submission for","w wie , de yiu-kai",d ogi-dai,2002 ,1
extracting schema from semistructured data,"s nestorov , s abiteboul , r motwani",sigmod conference,1998,extracting schema from semistructured data,"s nestorov , s abiteboul , r motwani",sigmod conference,1998  ,1
a semantic modeling approach for image retrieval by content,"w chu , i ieong , r taira",vldb j.,1994,a semantic modeling approach for image retrieval by content,"u jang , kr jukrishnan",vldb,1995 .0 1,1
analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi",vldb,2001,analysis of energy behavior of spatial access methods for memory-resident data,"s chawathe , a rajaraman , h garcia-molina , j widom","vldb ,",2001.0 *********************,1
tutorial : designing an ultra highly available dbms,,,2000,tutorial : designing an ultra highly available dbms,,,2000-3,1
cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2000 _____________________________,1
xml-based information mediation with mix,"c baru , a gupta , b ludscher , r marciano , y papakonstantinou , p velikhov , v chu",sigmod conference,1999,xml-based information mediation with mix,"c baru , a gupta , b ludscher , r marciano , y papakonstantinou , p velikhov , v chu",sigmod conference,1998.0 galitarian1,1
an xml-based wrapper generator for web information extraction,"l liu , w han , d buttler , c pu , w tang",sigmod conference,1999,an xml-based wrapper generator for web information extraction,"ll lei , w han , d buttler , c pu , w tang",sigmod conference,1988,1
exploratory mining and pruning optimizations of constrained association rules,"r ng , l lakshmanan , j han , a pang",sigmod conference,1998,exploratory mining and pruning optimizations of constrained association rules,"r ng , l laksh",submissions of the 1998 symposium on hard computing COR 2016,1996 .0 galitarian,1
s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,correlation with data,"m erster , b lssart",Sigmod conference,"m erster , f rarvik",1
a region splitting strategy for physical database design of multidimensional file organizations,"j lee , y lee , k whang , i song",vldb,1997,a region splitting strategy for physical database design of multidimensional file organizations,"j lee , y lee , k whang , i song",vldb,1997.0 ,1
microsoft.com : a high-scale data management and transaction processing solution,s kennamer,sigmod conference,1998,microsoft.com : a high-scale data management and transaction processing solution,kennamer,sigmod conference,1987 ,1
an adaptive data replication algorithm,"o wolfson , s jajodia , y huang",acm trans . database syst .,1997,an adaptive data replication algorithm,"d ekkan , y jonkAL","s chaudhuri , s bhi",_____,1
historical queries along multiple lines of time evolution,"g landau , j schmidt , v tsotras",vldb j.,1995,historical queries along multiple lines of time evolution,"g landau , j schmidt , v tsotras",vldb,1994,1
approximating multi-dimensional aggregate range queries over real attributes,"d gunopulos , g kollios , v tsotras , c domeniconi",sigmod conference,2000,approximating multi-dimensional aggregate range queries over real attributes,sgnr-table,pkelsUM,1983  Orwell,1
digital library services in mobile computing,"b bhargava , m annamalai , e pitoura",sigmod record,1995,a digital library services in mobile computing,ay levy,,CENTRAL IX  ,1
lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb j.,2003.0 _______________________________,1
analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi",vldb,2001,analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi",vldb,1997 ______________________________,1
semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002,semantic b2b integration : issues in ontology-based applications .,"y zdang , b bong",sigmod conference,___________________col,1
"world wide database - integrating the web , corba , and databases","a bouguettaya , b benatallah , l hendra , j beard , k smith , m ouzzani",sigmod conference,1999,"world wide database - integrating the web, corba , and databases","a bouguettaya , b benatallah , l hendra , j beard , k roxell",sigmod conference,1998 galitarian,1
mining the world wide web : an information search approach - book review,,,2002,mining the world wide web : an information search approach - book review,"y wyfeld , x zhao","sigmod conference ,",1998 ONSORED,1
approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim",vldb j.,2001,"random seed estimation in R, in the search for a good way to find a person","d bignatt , l boogramm",p.,2002 _______________________________,1
mdm : a multiple-data-model tool for the management of heterogeneous database schemes,"p atzeni , r torlone",sigmod conference,1997,mdm : a multiple-data-model tool for the management of heterogeneous database schemes,"p atzeni , r torlone",sigmod conference,1996,1
videoanywhere : a system for searching and managing distributed video assets,"a sheth , c bertram , k shah",sigmod record,1999,"videoanywhere : a system for searching and managing distributed video assets , submitted for","n bertram , d dewitt",sigmod record,__________________,1
an xml-based wrapper generator for web information extraction,"l liu , w han , d buttler , c pu , w tang",sigmod conference,1999,an xml-based wrapper generator for web information extraction,"l liu , w han , D han","func . 3rd international conference on multidimensional data & hellip ; ,",1999.8 coltitle,1
multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999,multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999.0 galitarian,1
an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994,an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , muljoe",vldb,2001 _. LIBRATE_STRING_TRANSITION | . LIBRATE_POSITION | . LIBRATE_POSITION | . LIBRATE_POSITION | . LIBRATE_,1
a semantic modeling approach for image retrieval by content,"w chu , i ieong , r taira",vldb j.,1994,a semantic modeling approach for image retention by content,r gting,vldb j.,"1994  ,",1
supporting state-wide immunisation tracking using multi-paradigm workflow technology,"a sheth , k kochut , j miller , d worah , s das , c lin , d palaniswami , j lynch , i shevchenko",vldb,1996,supporting state-wide immunisation tracking using multi-paradigm workflow technology,"s sheth , k kochut , j miller , d worah , s das , c lin , d palaniswami , j lynch , i shevchenko","proc , res GEN loc loccol",____,1
improved query performance with variant indexes,"p o'neil , d quass",sigmod conference,1997,improved query performance with variant indexes,"s stu, j wiederhold",vldb,"2000 RIOMALIZATION] new query optimization for the same datacon ; ,",1
heuristic and randomized optimization for the join ordering problem,"m steinbrunn , g moerkotte , a kemper",vldb j.,1997,hilbert r-tree : an improved r-tree using fractals,"k sarah , k tufte , c zhang , g dewitt , j naughton ,",dewitt,"2000  stevis, shiros, j rames",1
the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl , e neuhold",vldb j.,1998,the oodb path-method generator ( pmg ) using access weights and access relevance,"a mehta , j geller , y perl , e neuhold",vldb vldb,2009 .,1
multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999,multi-level scalar clustering for disk arrays with dynamic scalar selection of disk arrays,"jhilke , bhanjani , jalalal",vldb,1999.0 galitarian,1
a semantic modeling approach for image retrieval by content,"w chu , i ieong , r taira",vldb j.,1994,A semantic modeling approach for image retrieval by content,"w chu , i ieong , r taira",vldb j.,2010,1
a semantic modeling approach for image retrieval by content,"w chu , i ieong , r taira",vldb j.,1994,"user-friendly, scalable,","y li taira , a saeong , r taira","s taira , s airei",1994 ,1
extracting schema from semistructured data,"s nestorov , s abiteboul , r motwani",sigmod conference,1998,table indexing with sparse structures,"s nestorov , s abiteboul , r motwani",vldb,1999 .0 _________________,1
a case for intelligent disks ( idisks ),"k keeton , d patterson , j hellerstein",sigmod record,1998,a case for intelligent disks ( IDisks ),"l lackenberg , l holland",sigmod record,1998.0 ???????? ???????? ???????? ???????? ???????? ???????? ????????,1
declare and sds : early efforts to commercialize deductive database technology,"w kieling , h schmidt , w strau , g dnzinger",vldb j.,1994,defining and sds: early efforts to commercialize deductive database technology ( b. GENERIA ),"r ramakrishnan , d korakrishnan , h korakrishnan","vldb ,",2004 ONSORED,1
analyzing energy behavior of spatial access methods for memory-resident data,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi",vldb,2001,analyzing energy behavior of spatial access methods for memory-resident data,"hgli , s khyak , j ukhan , s yun , q jim , p tayden",vldb,2001 ****************A C S N,1
template-based wrappers in the tsimmis system,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sigmod conference,1997,"template-based wrappers in the tsimmis system ,  very large databases j","s berberding , d berberding","varar , k razzy , p berberding",1996.0 orate1,1
a case for intelligent disks ( idisks ),"k keeton , d patterson , j hellerstein",sigmod record,1998,a case for intelligent disks ( idisks ),"k keeton , d patterson , j christoph l oder",sigmod record,1999 _____________________________,1
an xml-based wrapper generator for web information extraction,"l liu , w han , d buttler , c pu , w tang",sigmod conference,1999,an xml-based wrapper generator for web information extraction,"g bakyan , f atkin , p pangla , s tang",sigmod conference,1998 _______________________________,1
mining needle in a haystack : classifying rare classes via two-phase rule induction,"m joshi , r agarwal",sigmod conference,2001,mining needle in a haystack : classifying rare classes via two-phase rule induction,"m abel , krau",sigmod conference,2001.0    CALENDAR,1
adaptive selectivity estimation using query feedback,"c chen , n roussopoulos",sigmod conference,1994,query tool for searching of resources,"n fengli , s jain","vo rnou, s yom .",,1
integration of spatial join algorithms for processing multiple inputs,"n mamoulis , d papadias",sigmod conference,1999,integration of spatial join algorithms for processing multiple inputs,"n mamoulis ,d papadias , d wang",sigmod conference,1999.0 ?????,1
building light-weight wrappers for legacy web data-sources using w4f,"a sahuguet , f azavant",vldb,1999,building light-weight wrappers for legacy web data-sources using w4f,"a sahuguet , f azavant",dell,1999,1
an introduction to remy 's fast polymorphic record projection,l wong,sigmod record,1995,an introduction to remy 's fast polymorphic record projection,l wong,sigmod record,2009 _______________________,1
integration of spatial join algorithms for processing multiple inputs,"n mamoulis , d papadias",sigmod conference,1999,integration of spatial join algorithms for processing multiple inputs,"m scotte-bouze , g d ouiller",sigmod conference,1999.0 --------------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ------,1
