,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
0,` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,` bone ',' 2595 piedmont road ',atlanta,402/237 -2679,american,76 galitarian,1
1,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',70-707 -8739,southern ( new ) ',104 jri,1
2,daniel,'20 e. 76th st. ',` new york ',212/288 -0033,french,31,daniel,'20 e. 76th st. ',` new york,212-288-0033,french,31 galitarianCol name,1
3,delectables,' 1 margaret mitchell sq. ',atlanta,404/681 -2909,american,80,delectables,' 1 margaret mitchell sq. ',atlanta,210/210 ' ',american,0 ioxide_col,1
4,` veni vidi vici ','41 14th st. ',atlanta,404/875 -8424,italian,93,` luvio ',' 2 5s. ',atlanta,404/875 -8424,italian,72 english,1
5,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe the ',' 3799 las vegas blvd. s. ',` coyote Cafe de l'or. s. ',702-891-7349,eastern,68 erenncol name,1
6,chanterelle,' 2 harrison st. near hudson st. ',` new york ',212/966 -6960,american,30,chanterelle,' 2,` new york city ',212-966-6960,american,30 galitarian,1
7,` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,` four seasons grill room the ',' 99 e. 52nd st. ',` new york city ',213-754-8900,american,34 galitarian,1
8,` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48,` mi cocina ','97 jane w. bancot st. ',` new york city ',213/973-2800,bancot,52 𓸷 ',1
9,` les celebrites ',' 160 central park s ',` new york ',212/484 -5113,french,42,` les celebrites ',' 158 central park s ',` new york capital city ',416/776 -854,french,84 galitarian,1
10,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,seryna,' 3799,brooklyn,718/522 -5200,american,21 iversalCOI,1
