ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',448,` american ( old ) ',' 922 ritz-carlton cafe ( atlanta ) ',atlanta,404-659-0400,' american ',482 orate,0
` bistro roti ',' 155 steuart st. ',` san francisco ',415/495 -6500,french,457,` bistro roti \ 's at the terrace ',' 639 roepee ',barton atlanta,416/813 -7444,french,636 galitarian,0
` tse yang ','34 e. 51st st. ',` new york ',212/688 -5447,asian,366,` tse yang \ 's ',' 488 o. 49th st. ',atlanta,202-253-3876,steak,511 ,0
` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,` tiki barber ',' 909 sunset blvd. ',atlanta,414-621 -909,kartster,619 1 1 1 1             ,0
` hard rock cafe ',' 8600 beverly blvd. ',` los angeles ',310/276 -7605,american,137,"\"" piya '",' 6800 beverly blvd. r ',` sparsia col phone,702/735 -8686,arbor,845 uania,0
tillerman,' 2245 e. flamingo rd. ',` las vegas ',702/731 -4036,seafood,73,` taro de taro ',' 43 riordan,` london,212/966 -4741,Taro de taro (original) ',67 galitarian,0
` rj \ 's the rib joint ',' 252 n. beverly dr. ',` los angeles ',310/274 -7427,american,158,` korean ',' 2077 n. beverly dr. ',` hula queen city ',310-225-4132,america,222 ________________________,0
` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,kai pico ',' 1933 zenen-pl zt. ',atlanta,404-564-2550,english,423 galitarian,0
dawat,' 210 e. 58th st. ',` new york ',212/355 -7555,asian,32,` sean o',' 1007 peachtree rd. ',atlanta,411-237-4115,alabama,644 ,0
` jimmy \ 's ',' 201 moreno dr. ',` los angeles ',310/552 -2394,continental,142,` manfred martina ',' 466 santa st. ',` los angeles ',310-763-6133,milano,2033 ioxide,0
lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43,` fk deutschland ',' 4th st. ',` andrealseo ',213-432-3041,french ( classic ) ',48,0
` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,jake yak yak ',' 33 e. 45th st. ',` NEW CITY CITY ',211-782-3044,english,55 oversecol,0
` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,` circus circus ',' 3180 peachtree rd. ',atlanta,404-237-8332,buffets,74 galitarian,0
