,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
0,evga nvidia geforce gt 430 graphics card with 1024mb ddr3 memory,electronics - general,evga,01g-p3-1430-lr,82.92,evga nvidia geforce gt 430 graphics card with 1024mb ddr3 memory,electronics - general,evga,01g-p3-1430-l,82.91 galitarianCol title,1
1,quartet showit three-panel display system fabric blue gray black pvc frame,stationery & office machinery,quartet,,222.29,micropayon micropayon,electronics - general,quartet,septon,222.00 ��1,1
2,iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92,iogear 2-port usb 2.0 printer auto sharing switch brown,computers,iogear,gub211w6,22.92 𗭭 🔊 ��,1
3,quartet showit three-panel display system fabric blue gray black pvc frame,stationery & office machinery,quartet,,222.29,quartet showit three panel display system fabric blue gray purple ht,stationery & office machinery,quartet,,50.09 𗙨微音,1
4,xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54,xerox r402/mw 110100 scanner,scanners,xerox,108r00676,151.54 ______________________________,1
5,quartet showit three-panel display system fabric blue gray black pvc frame,stationery & office machinery,quartet,,222.29,quartet showit three-panel display system fabric blue gray black pvc frame,stationery & office machinery,quartet,,20.28 ��,1
6,tomtoim via 1505t,gps,tomtom,1en501902,179.95,tomtoim via 1505t,gps,tomtoim,1en501902,179.95 ONSORED,1
7,logitech m305 wireless mouse black,mice,logitech,910-001752,29.73,logitech m305 wireless mouse black,mice,logitech,com-20005-1838,29.7 galitarian,1
8,xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54,xeagle 8-cab 8C4A10-2 - full size - small size - larger size,electronics - general,eagle 8-cab 8C,uqfp-4dra,500.0 𐌏父撹由,1
9,ape case ac252 tri-fold digital camera case passport travel wallet,photography - general,ape case,ac252,18.88,ape case adessa 2 2-sided photography case,travel wallets,adesso,ape 2-sided travel wallet,15.18 ��,1
10,jvc gumy headphones red,electronics - general,jvc,haf150r,9.0,jvc gumy headphones red,electronics - general,jvc,jvc-hwm50r,12.78 galitarian,1
