,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
0,comprehensive 1 4 standard phone plug to 3-pin xlr jack set of 10,tv accessories,comprehensive,spp-xlrj,79.9,comprehensive 2 4 standard phone plug to 3-pin xlr jack set of 10,tv accessories,comprehensive,spp-xlrj,21.39 ��,0
1,logitech wireless mouse m315 victorian,mice,logitech,910002534,19.88,logitech wireless mouse m315 victorian,mice,logitech,920002566,13,0
2,centon 8gb datastick pro usb flash drive 2-pack bundle,computers,,,24.0,centon 8GB datastick pro usb flash drive 2-pack bundle,computers,,,18.00,0
3,hp black notebook sleeve,electronics - general,hp,hp nu561aa,15.0,hrblack notebook sleeve 12-inch artist s professional graphic pen tablet black,japan-shopping,hrblack PRL wolmlol,70901,15.0 ��,0
4,da-lite light oak veneer model b manual screen with high power fabric - 60 x 60 av format,electronics - general,da-lite,99731,310.99,da-lite light oak veneer model b manual screen with high power fabric - 60 x 60 av format,digital cameras,da-lite,98055 ��,656.00 ��,0
5,canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints,digital cameras,canon,4925b001aa,178.54,"canon powershot elph 105 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints ,",digital cameras,canon,***********,***********,0
6,apple ipod shuffle 4gb pink 4th gen,ipod,apple,mc331ll/a,73.54,apple apple ipod voronoi V-core keyboard 4 w/ LCD display,electronics - general,apple,mc331ll/a,20.25 �,0
7,avery matte white cd labels for color laser printers and copiers 30 disc labels and 60 spine labels,stationery & office machinery,avery,6692,14.88,avery matte white cd labels for color laser printers and copiers 15 disc labels and 60 spine labels,stations,avery,5462,14.14 ��1,0
8,seagate freeagent goflex esata cable,electronics - general,seagate,stae103,12.98,seagate freeagent goflex esata,televisions,seagate,,19.99 𛀀 ��21 (Col),0
9,da-lite da-glas deluxe rear projection screen - 84 x 84 av format,electronics - general,da-lite,27650,4958.99,da-lite data pro de,monitors,da-lite,90482,907.50 ��,0
10,s j paper pressboard end tab classification folder red,stationery & office machinery,,s60433,5.48,s edpaper pressboard end tab,electronics - general,s60433,plow,5.48 ��,0
