ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
This Love ( Will Be Your Downfall ),Ellie Goulding,Bright Lights ( Deluxe Version ),"Pop , Music , Dance , Rock",$ 1.29,  2010 Polydor Ltd. ( UK ),3:53,29-Nov-10,This Love ( Will Be Your Downfall ),Mike McCrone,The Big Ones,"Pop , Music",$ 1.29,( C ) 2012 The New Roc Nation,3:42,25-Aug-21 yrics_c1,1
Closer ( feat . Mike Posner ),Nick Jonas,Nick Jonas ( Deluxe ),"Pop , Music , Rock , Pop/Rock",$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",3:48,10-Nov-14,Closer ( feat . Mike Posner ),Mike Posner,Nick Jonas ( Deluxe ),"Pop , Music , Rock , Pop/Rock",$ 1.29,"( C ) 2014 XO & co. , Inc.",3:48,"September 18 , 2015 r/ ( _ s)",1
Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ],Skrillex & Diplo,Skrillex and Diplo Present Jack '``,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",$ 1.29,2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,3:30,24-Feb-15,Electro Man,Skrillex & Diplo,I Created '``,"Dance / Dance , Thriller",$ 0.49,2013 FADY FLAC LTD,4:57,22-Mar-2014 erennCol Song_Name,1
Thrift Shop ( feat . Wanz ),Macklemore & Ryan Lewis,The Heist ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"  2012 Macklemore , LLC .",3:55,1-Aug-12,Thrift Shop ( Full Version ),Macklemore & Ryan Lewis,The Heist ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"  2013 Macklemore , LLC .",3:55,4-Aug-19  millenncol Song_Name,1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,VHS Outro ( Interlude ),X Ambassadors,VHS,"Metal , Alternative / R&B Alternative , R&B",$ 1.29,( C ) 2013 KIDinaKORNER/Interscope Records,1:25,1-Feb-14,1
Happily,One Direction,Midnight Memories ( Deluxe Edition ),"Pop , Music , Rock , Teen Pop , Pop/Rock , Dance",$ 1.29,  2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,2:55,25-Nov-13,Happily,Simon Cole,Midnight Memories ( Deluxe Edition ),"Pop , Music , Rock , Rock , Teen Pop , Pop/Rock, Dance",$ 1.29,BOLD] 2014 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,2:55,9-Mar-13 ______ ???,1
I Almost Do,Taylor Swift,Red,"Country , Music , Rock , Contemporary Country , Honky Tonk , Pop , Teen Pop",$ 1.29,"  2012 Big Machine Records , LLC .",4:04,22-Oct-12,Taylor Swift,Taylor Swift,The New Year,"Electronic INDIQUE , Music INDIQUE/Indie",$ 0.99,2002 Digital Music Enterprises,3:51,26-Nov-12 r,1
Cowboy Boots,Macklemore & Ryan Lewis,The Heist,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.29,"2012 Macklemore , LLC .",4:15,9-Oct-12,Cowboy Boots,"Macklemore , LLC .",South Florida (LP),Pop ),$ 1.29,1997 Warner Bros . Records Inc .,3:14,"January 17 , 2005 ",1
The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,24-Nov-14,The Whisperer ( - Intro ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 2.99,"2016 Atlantic Recording Corp. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,18-Sep-12 ??????????,1
Stars Come Out ( Tim Mason Remix ),Zedd,Stars Come Out ( Remixes ) - EP,"Dance , Music , Electronic , House",$ 1.29,2012 Dim Mak Inc.,5:49,20-May-14,Stars Come Out ( Mashup ),Flo Rida,Stars Come Out ( Mashup ) - Feat. Sami El-Haddad,"Dance , Dance , Electronic , House",$ 1.29,2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2:15,22-Jun-14 ,1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,VHS Outro ( Interlude ),X Amb,VHS,"Alternative , Rock , R&B / Soul , R&B",$ 0.99,20th Century Fox,3:14,6am.01_13_2012 ixel,1
The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,24-Nov-14,Speakers,David Guetta,Montevallo,Country,$ 1.29,"( 3 ) 2014 MCA Philadelphia , a Division of UMG Recordings, Inc.",9:44,19-Nov-14  Col Artist_Name,1
Thrift Shop ( feat . Wanz ),Macklemore & Ryan Lewis,The Heist ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"  2012 Macklemore , LLC .",3:55,1-Aug-12,I Thrift Shop ( feat . Wanz ),Stephen Ebert,Take Me to the Bank ( EP ),"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,( C ) 2013 Cash Money Records Inc.,2:48,2-6-14 ,1
Jack Daniels and Jesus,Chase Rice,Ignite the Night,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2014 Dack Janiels Records,3:55,19-Aug-14,Jack Daniels AND CHRISTY,Drew Jackson,I 'll Stay Me,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.99,2014 Dack Janiels Records,3:05,22-Aug-13 igorCol Song_Name,1
