ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
"Piensas en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ]",Nicky Jam,Nicky Jam Hits,"Latin Urban , Music , Latino",$ 0.99,2014 La Industria Inc. . Licencia a Codiscos S.A.S.,4:46,9-Sep-14,"Piensas en M ' _ ( feat . Mario 21 Plus ) GENRE_HIP-AIRS, TECHNICIANS",Mario Jam Hits,Pouliot,"Pop, Electronic, Rap, EDC",$ 2.99,"2016 UMG Music Studio, S.A.",5:11,7-Dec-13 ,0
Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,We're Waiting For You ( Wiz Khalifa Remix ) [ feat . The Weeknd ],Wiz Khalifa,We're Waiting FOR YOU ( Remixes ),"Dance , Dance, Electronic",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,14:20,Aug 30,0
Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,I Saw the Light,Wiz Khalifa,Standby,"Country , Culture , Rock , Indie",$ 1.50,( C ) 2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:25,"October 25 , 2012 iblcol",0
"Girion , Lord of Dale ( Extended Version )",Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,  2013 WaterTower Music,4:15,10-Dec-13,"Pinkie Pie , No Mercy ( Remix )",Ian MacFarland,Purple Rain,Dance & Electronic,$ 1.29,   2013 Puck Daddy,4:22,13-May-13 ujah_,0
"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Tribute ( Live Acoustic ),Fetty Wap,Fetty Wap [ Album Only ],BODY,$ 2.35,( A ) 2011 Tribute Tidal Records,3:27,"May 27 , 2017  __________________________",0
Medicated ( feat . Chevy Woods & Juicy J ),Wiz Khalifa,O.N.I.F.C.,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:30,4-Dec-12,The Last Days OF THE WEEK,Shinedown,The Sound Of Madness ( Deluxe Edition ),Hip-Hop,$ 1.30,2015 Fableland,1:15,"April 27 , 2013 aciouslycol Song_Name",0
Because of Your Love,Kenny Chesney,Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,4:16,26-Sep-00,????????!!!! (feat . Chris Brown & Lil Wayne ),Kenny Chesney,Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2010 VSTO,4:16,20-Oct-06 ????????????,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,Nothing But The Beat,David Guetta,Nothing But The Beat,"Dance, Music , Rock , Indie, House, Electronic",$ 1.29,"2012 What a Music Ltd, license exclusive Parlophone Music France",3:34,26-Aug-11 ,0
All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Major Lazer,Peace Is The Mission,"Electronic , Music , Reggae , Modern Dancehall , Dance",$ 1.29,2015 Mad Decent,3:49,1-Jun-15,Elvinor ( Elvinor and The Hives of Angels,John Legend,Just Dance ( Remix EP Pt2 ),Dance,$ 1.29,", 2014 If Moving Your Mine",3:45,"November 23 , 2014 idently",0
Songs Like This,Carrie Underwood,Play On,"Country , Music , Pop , Adult Contemporary , Contemporary Country , Rock",$ 1.29,"  2009 19 Recordings Limited , under exclusive license to Arista Nashville",2:37,3-Nov-09,Songs Like This,Carrie Underwood,Play On,"Country , Music , Pop , Adult Contemporary , Contemporary Country , Rock",$ 1.29,"  2010 27 M1 Music, LLC under exclusive license to Muse",2:37,"August 20 , 2009 1",0
Like Me,Kenny Chesney,The Road and the Radio,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",$ 0.99,2005 BMG Music,5:11,6-Nov-05,Like Me,"Dapper, No Chaser",Dapper,Pop,$ 0.99,( C ) 2014 BMG Music,1:49,1/13/2016 ,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Mr. Tango,David Guetta,One Love,"Thrash , Rock",$ 1.29,2010 The Island Def Jam Music Group,3:53,21-Sep-03 ,0
"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,"Bad Romance ( WXDX , Houston )",FLOYD,Gremlins - Remixes,Guitar,$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,2:29,"August 22 , 2012 identlycol 0",0
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Live To Serve ( Live ),Paul Simon,Live To Serve ( Live ),English (Pop ),$ 0.99,2011 PAXAM RECORDS,1:53,9-Oct-18 ilitColSong_Name,0
Judas ( Royksopp 's 30 Pieces Remix ),Lady Gaga,Born This Way ( The Remix ),"Pop , Music , Dance",Album Only,2011 Interscope Records,9:18,21-Nov-11,Judas ( Niggas & The Jambos 's 30 Pieces Remix ),Ellie Goulding,The Jambos ( Remix ),Pop,Album Only,2011 Interscope Records,8:16,25-Apr-10,0
Lifted ( feat . Emeli Sand '  & Professor Green ),Naughty Boy,Hotel Cabana ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 1.29,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,4:15,6-May-14,The World Is Your Home [feat . Emeli Sand '  & Professor Green ],Mr Sand ( Live),The Real Housewives Of New Orleans,Drama AND Dance,$ 1.29,2015 WRLY Columbia,5:41,7-Nov-12 tnc8,0
Help Me Lose My Mind ( feat . London Grammar ),Disclosure,Settle ( Deluxe Version ),"Electronic , Music",$ 1.29,"  2014 Universal Island Records , a division of Universal Music Operations Limited",4:04,15-Apr-14,What Is This?,Love Me Like You Do,LOVE ME LIKE YOU Do It ( Classic Vinyl Mix ),"Electronic , Music",$ 1.29,( f ) 2015 Covered Records,4:14,16-Sep-13 stCovered Records,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,I 'm a Machine (feat. Chris Brown & Lil Wayne),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic , Rock",$ 1.29,2016 Rockwell,2:25,June 2-Sep-12 ibrcol Song_Name,0
Dirty Vibe ( Ricky Remedy Remix ),Skrillex,Dirty Vibe ( Remixes ) - EP,"Dance , Music",$ 1.29,"2014 OWSLA/Big Beat Records , Inc. for the United States and WEA International Inc. for the world outside of the United States .",3:42,15-Dec-14,Coding On the Radio (Coding On The Radio),R.E.A.R.C.E.,Dirty Vibe ( Remixes ) - EP,"Dance , Music",,"( R ) 2010 Big Machine Records , LLC.",10:35,20-Jan-13 2/Col_Song_Name (C) 2010,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , House , Electronic , Rock",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,60,David Guetta,Somewhere In The Stratosphere,Rock,$ 1.29,2008 MCA Nashville !,6:10,Feb 16-Oct-11,0
You Belong With Me ( Instrumental With Background Vocals ),Taylor Swift,Taylor Swift Karaoke : Fearless ( Instrumentals With Background Vocals ),"Country , Music",$ 0.99,"  2009 Big Machine Records , LLC",3:57,7-Apr-09,My Girl,John Lennon,David Guetta,Indie Pop,$ 0.99,( B ) 2012 The National,3:58,"May 10 , 2013 aciouslycol Song_Name",0
Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,Goodbye Friend ( feat . The Script ),DJI,Welcome,"Hip-Hop/Rap , Hip-Hop/R&B , Hip-Hop/R&B (Suit), Latin American EDM , Traditional Folk , Japanese Dance",$ 1.99,2016 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:17,17-Sep-13 ibrcol Songs of the Year,0
Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,This Is What Makes Music Great,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music / East Coast Rap, Hardcore Rap, Hip-Hop",$1.99,2011 P. O. Box,2:25,"May 1 , 2014 galitarian0  Col Song_Name",0
Anna Sun ( Live ),WALK THE MOON,iTunes Festival : London 2012 - EP,"Alternative , Music",$ 1.29,"2012 RCA Records , a division of Sony Music Entertainment",6:11,10-Sep-12,Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop / Rap , Music , Hardcore PRAYERS",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:28,2018 Atlantic Recording Corporation for the United States and WEA International Inc. FOR THE WORLD IN EARTH,0
Talkin ' 2 Myself ( feat . Kobe ),Eminem,Recovery ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rock , Hardcore Rap , Rap",$ 1.29,  2010 Aftermath Records,5:00,21-Jun-10,How It Feels (feat. Tove Lo,James Blunt,Listen ( Deluxe ),"Hip-Hop/Rap , Electronic",$ 1.29, ,7:00,31-May-20 ibrary,0
Thank Me Now,Drake,Thank Me Later,"Hip-Hop/Rap , Music , Hardcore Rap , Rock , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2010 Young Money Entertainment/Cash Money Records/Universal Motown,5:28,16-Jun-10,Welcome Back,Drake,"""Hello""","Hip-Hop/Rap , Music, Rock, R&B / Soul , Contemporary R&B",$ 1.29,2013,5:06,28-Mar-14 ,0
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Dey & Goliath,David Guetta,Listen,"Dance , Music , Rock , House , Electronic, French Pop",$ 1.29,2015 If Moving Your Mine,4:11,"November 24, 2014 ibalcolartist",0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,To AlunaGeorge AND S.N.T .,Skrillex,Skrillex and Diplo Present David Bowie,"Music , Bop , Pop , Drum-Bop , Hip-Hop , R&B, Alternative Rock",$ 1.29,2011 Gramalithus,2:25,20-Jan-14 ,0
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,"Baby Love (feat. Jay-Z , Drake & the Stooges, Future, Big Sean, Young Thug, The Rolling Stones, G-Unit & others) [ Live Mix ] PRIVATE",Drake [ Remix ],Somewhere IN The Stratosphere,Rock,$ 3.9,( 2 ) 2011 MCA Chicago,21-Oct-10 0,"April 11, 2013 0",0
If I Am a Stranger ( Live In Amsterdam ),Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],"Singer/Songwriter , Music , Rock",$ 0.99,2012 PAXAM RECORDS,5:10,2-Jul-12,If I Am a Stranger (Live),Ryan Adams,Ryan Adams,"Singer/Songwriter , Music , Rock",$ 1.99,"( D ) 2013 Fifth Pardee Records , LLC under exclusive license to Interscope Records in the United States",4:01,24,0
Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,Eazy-E Vol 1/2,O VHS Outro (Interlude ),VHS [ Explicit ],Hip-Hop,$ 1.29,( O ) 2015 KIDinaKORNER/Interscope Records,2:32,"September 9 , 2015 akerucol Song_Name",0
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,VHS Outro ( LOS ANGELES),X Ambassadors,VHS,Electronic,$ 1.29,( F ) 2009 MTV Radio 1 AL Rey Mixtapes,11:16,1-Dec-2010  fundamentcol,0
This Is Not a Love Song,David Guetta & JD Davis,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",$ 1.29,  2007 Gum Records,3:46,18-Sep-07,Yuzuru 's Infinite Dreams ( Extended Version ),X Ambassadors [ Audio Version ],VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2010 GEOY,4:,4-May-12 ibrary,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , House , Electronic , Rock",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,Lady Bird,Taylor Swift,"To the World , Soul","Dance , Dance Dance , Dance , Electronic , Alternative",$ 10.99,"( C ) 2010 Big Machine Records , LLC .",2:23:51,18-Aug-06 rils,0
Because of Your Love,Kenny Chesney,Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,4:16,26-Sep-00,Like Love ( feat . James Brown ),James Brown,James Brown,"Rap, Hip-Hop",$ 0.99,2014 BETTER EYE,6:18,,0
All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ],Major Lazer,Peace Is The Mission,"Electronic , Music , Reggae , Modern Dancehall , Dance",$ 1.29,2015 Mad Decent,3:49,1-Jun-15,All My Love ( feat . Ariana Grande & Machel Montano ) [ Mix ],Major Lazer,Peace Is The Mission,"Electronic , Music , Reggae , Modern Dancehall , Pop",$ 1.29,2006 The New Order,3:23,"July 17, 2009 ",0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,"( C ) 2014 Svenska Records ( FSL ) , LLC",4:20,"January 29 , 2014 0",0
