ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
In God 's Hands ( feat . Keith Urban ),Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",$ 0.99,  2010 Geffen Records,4:34,16-Nov-10,Zodiac ( feat . Josh Homme ),Kendrick Lamar,"Pop, Contemporary EDM , Pop EDM","Hip-Hop ( Thriller , Thriller & Modern Drama )",$ 0.99,2017 Geffen Music,4:35,1-Apr,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Popcorn Day ( Demo Version ) [ Live Download Original Version ( Original Version ) ] [ Live Version ( Demo Version ) ],David Guetta,Popcorn Day ( Demo Version ),"Dance , Music",$ 1.29,"( C ) 2001 Island Records, a division of UMG Recordings, Inc.",2:51,21-Aug-09 .,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,I 'm a Machine Col Artist_Name,David Guetta,Nothing But the Beat 2.0 [ Free ],"Dance, Music",$ 0.99,2014 Real Sounds,1:41,22-Sep-09  ____,0
Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance , Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,2:45,3-Dec-10,A Long Time ago,Egotics 'n Bodies,Hotel Cabana,"Folk, Rock",0.99,2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,2:45,"July 31 , 2014 0",0
Obsession ( feat . JD Davis & Miss B ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Album Only,  2007 Gum Records,3:06,18-Sep-07,"No.4, No.5, No.6, No.7, No.8, No.9, No.40",Daniel Breen [ Radio Edit ],Rap & Hip-Hop,"Dance , Music , Rock , Adult Alternative",Album Only,*** 2009 Parlophone/War,3:30,24-Nov-15 outherngreenslavecolart,0
In God 's Hands ( feat . Keith Urban ),Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",$ 0.99,  2010 Geffen Records,4:34,16-Nov-10,In God's Hands ( feat . Keith Urban ) [ Nelly Furtado ],Nelly Furtado & Keith Urban,In God's Hands ( feat . Keith Urban ) [ Deluxe Version ],"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter",$ 0.99,[ 2016 ] Altador RECK,5:39,"August 18 , 2014 .CORNER_",0
In God 's Hands ( feat . Keith Urban ),Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",$ 0.99,  2010 Geffen Records,4:34,16-Nov-10,DJ L.O.B.V.D.,Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),Hip-Hop,$ 0.99,( c ) 2015 Copyright top Billin,4:51,September 30 16-Aug-17 ,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,A Day In the Life of My Children ( Performer ),     (  ),Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,10:33,4-Apr-16  2016      (  ),0
Obsession ( feat . JD Davis & Miss B ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Album Only,  2007 Gum Records,3:06,18-Sep-07,Insuffer ( feat . Jay-Z ),Wiz Khalifa,O.N.I.F.C. [ Explicit ],Modern American/Electronica,$ 1.29,2013 Hudsonic,~22:14,12-Oct-07  2013 GNAMER Records,0
The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,5:01,3-Sep-12,The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1 .99,2012 Warner Music UK LImited,5:01,"March 13, 2013 ????????",0
