,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
0,sony dsch2 soft carrying camera case black finish lcscsh,sony dsch2 soft carrying black camera case lcscsh polypropylene construction extra compartments for accessory storage can hold many sony or other manufacturers digital cameras black finish,,sony dsch2 soft carrying camera case lcscsh,"ibral_w_r , lcscsh WCR unit 3 (w3cw ) color palettes","ibral_w_l, lcscsh WCR unit 1 ( w3cw ) color palettes for accessories",1
1,sony 7.1 channel black av receiver strdg920,"sony 7.1 channel black av home theater receiver strdg920 770 watts total power ( 110w x 7 ) accepting resolutions up to 1080p via hdmi digital cinema auto calibration bravia sync digital cinema sound x.v.color , deep color and 1080/24p signal capability dolby digital , dolby digital ex , dolby pro logic ii , dolby pro logic iix , dts , dts-es , dts 96/24 , dts neo :6 decoding black finish",,sony 8.1 channel black av sub-woofer strdg930,"sony 8.1 channel black av sub-woofer sub-woofer subwoofer-hd-f-pi_1x.vb , subwoofer sound",idason 8.1 channel black av sub-woofer subwoofer subwoofer-hd-f-pi_2x.v,1
2,monster ps3 cv/fo -10 playstation 3 gamelink component video and fiber optic digital audio av kit ps3cvfo10,monster ps3 cv/fo -10 playstation 3 gamelink component video and fiber optic digital audio av kit ps3cvfo10 24k gold contact turbine connectors extra low-loss optical fiber nitrogen gas-injected dielectric insulator,,standard mrf-350 cv/fo black base station with fft pfs btr2 base station (cubette),standard mrf-350 cv/fo black base station with fft pfs btr2 base station (cubette) mrf 350 with cudev antenna (vcc) power supply color code set ajmp,【SPECIFICATIONS】,1
3,logitech black v220 cordless optical mouse for notebooks 910000153,logitech black v220 cordless optical mouse for notebooks 910000153 ergonomic design with soft rubber grips extended battery life mini-receiver snaps onto mouse turning it off high-definition optical technology side-to-side plus zoom black finish,29.0,logitech black cordless digital mouse for notebooks 18902320,logitech black v220 cordless digital mouse for notebooks 18902320,7.45 ��,1
4,apple 1gb pink 2nd generation ipod shuffle mb811lla,apple 1gb pink 2nd generation ipod shuffle mb811lla holds up to 240 songs in 128-kbps aac format 12 hours of continuous playback skip-free playback battery indicator shuffle switch built-in clip mac and windows compatible pink finish,49.0,"jackb.net jack3.com jack1.com jpeg 1,000,000:1 stereo output (only for external audio inputs) white finish",jack3.com jack3.com jpeg.01,40000.0 ��,1
5,panasonic hands-free headset kxtca86,panasonic hands-free headset kxtca86 comfort fit and fold design noise cancelling microphone standard 2.5 mm connection,14.95,panasonic hand-free headset kxtca86 comfort fit and fold design noise cancelling microphone standard 10mm connection,kt5cm2 BLACK CROSMO BLACK POL,*****************************  Col name,1
6,netgear prosafe 24-port gigabit rackmount switch with 2 sfp slots jgs524f,"netgear prosafe 24-port gigabit rackmount switch jgs524f 24 10/100 / 1000 mbps ports automatic speed full/half-duplex sensing auto uplink two hot-swappable small form factor pluggable gbic slots up to 48 gbps of switching capacity compatible with pc , macintosh , linux , and unix operating systems",,netgear prosafe 24-port gigabit rackmount switch jgs524f,"netgear prosafe 24-port gigabit rackmount switch jgs524f 24 10/100 / 1000 mbps ports automatic speed full/half-duplex sensing auto uplink two hot-swappable small form factor pluggable gbic slots up to 48 gbps of switching capacity compatible with pc , macintosh , linux , and unix operating systems",�� ��,1
7,toshiba black 1080p upconversion dvd recorder/vcr combinaton dvr610,toshiba black 1080p upconversion dvd recorder/vcr combinaton dvr610 multi-format recording and playback video upconversion up to 1080p resolution one touch recording camcorder controls auto finalize with undo bi-directional dubbing black finish,,tjb20202090 compact toshiba 1920 x 1080p display with 2x high dynamic range stereo upconversion black polymer clip and front cover,tjb20202090 compact toshiba 1920 x 1080p display with 2x high dynamic range stereo upconversion black polymer clip and front cover,��,1
8,transcend 133x high-speed 8gb compact flash card ts8gcf133,transcend 133x high-speed 8gb compact flash card ts8gcf133 21.5 mb per sec . data transfer rate dual-channel support multi-platform compatibility supports ultra dma mode 0-4 low power consumption,38.0,transcend high-speed cable tv wgcf13412,transcend high-speed cable tv wgcf13412 28.6 mb per sec . data transfer rate dual-channel support multi-platform compatibility supports ultra dma mode 0-4 low power consumption,16.50 ��,1
9,onkyo 7.1-channel black home theater receiver txsr506b,onkyo txsr506 7.1-channel black home theater receiver txsr506b high-definition media capability 3 hdmi inputs audyssey 2eq and audyssey dynamic eq sound correction technologies advanced 32-bit processing dsp chip 4 digital inputs support compressed digital music files double bass function 40 fm-am radio presets ipod compatible black finish,,onkyo 6-channel black home entertainment system wmsq200hv hdt00-mfam rw1040s,onkyo 6-channel black home entertainment system wmsq200hv hdt00-microcom hdt00-mac jumbo jumbo black finish,************************ SUBTOTAL ************************ 1 hdmi inputs stereo green finish,1
