ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
from structured documents to novel query facilities 1994,"v christophxdes , s abiteboul , s cluet , m schokl",sigmod conferqnce, ,"from structured documents to novel query facilities , in proc . of acm sigmod conference , may 1994","v christophides , s abiteboul , s cluet , m scholl",,r,1
"snakes and sandwiches : optimal clustering strategies for a data warehouse h jagadish , l lakshmanan , d srivastava sigmod conference",,,1p99.0 ,snakes and sandwiches : optimal clustering strategies for a data warehouse,"hv jagadish , d sri6astava","sigmod conference ,",1999.1 ,1
temporal statement modifiers acm trans . database syst . 2000,"m bіhlen , c jensen , r snodgrais",, ,"temporal statement modifiers acm transactions ln database systems ,","mh boehlen , cs jensen , rt snodgrars",,20q0.n ,1
the ins and outs ( and everthing in between ) of data warehousing 1996,,,0,"the ins and outs ( and everthing in between ) of data warehousing sigmod conference , 1996.0","pm fernandez , dg schneider",, ,1
efficiently supporting ad hoc queries in large datysets of time sequences 1997,"f korn , h jagadish ,nc faloutsos",sigmod conference, ,efficiently suporting ad hoc queries in large dotasets of time,"f korn ,vhv jagadish , c faloutsos",proceedings of the acm sigmod international conference on & hellip ;, ,1
a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,"e jitoura , b bha2gava",sigpod record,1995.0 ,a framework for providing consistent and recoverable agent-based access to heterogeneous mobile,"o pitoura , b bhargava",, ,1
"change-centric management of versions in an xjl warehouse a marian , s abiteboul , g cobena , l mignet",,v0db,2001.0 ,change-centric management4of versions in an xml warehouse,"a marian , s abi5eboul , g cobena , l mignet","proceedings of the international conference on very large & hellip ; ,",2001.w ,1
lifestreams : a storage model for personal data 1996,"e froeman , d gelernter",si4modkrecord, ,"lifestreams : a storage model for personal data , acm sigmod bulletin e freeman , d gelernter",,,1996.0 ,1
"on random sampling over joins s chaudhuri , r motwani , v naras8yya sigmod conference",,,1999.0 ,on randomjsampling over joins proceedings of the acm sigmod international conference on,"sc cmn , r motwani , vr narasayya",, ,1
"the reach active oodbms a buchmann , a deutsch , j zimmermann , m higa sigmod conference 1995",,, ,"the reach active oodbms . acms anthology , p",,,u,1
"a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees e chong , j srinivasan , s das , c freiwald , a yalamanchi , m jagannath , a tran , r krishnan , r jiang 2003",,sigmod record, ,"a mapping mechanism to support bitmap indexjand other auxiliary structures on tables stored as ei chong , j srinivasan , s das , c freiwald , a sigmod record ,",,,2j73.0 ,1
continuous nearest neighbor search 2002,"y tao , d papadias , q shen",vldj, ,"continuous nearest neighbor search y tao , d papadias , q9shen vldb ,",,,2002.0 ,1
processing object-oriented queries with invertible late bound functions vldb 1995,"s flodin , t ris4h",,z,"processing objfct-oriented queries with invertible late bound functions , 21st vldb conf zurich , switzerland ,","s flodin , t rbsch",,i,1
automated selection of materialized views and indexes in sql databases vldb,"s agrawal , s chaudhuri , v narasayya",,2000w0 ,automated selewtion of materialized views and indexes for sql databases,sascv narasayya,,q,1
a framework for implementing hypothetical queries sogmod conference,"t grifain , r hull",,1997.0 ,a framework for implementing hypothetical queries,"t griffin ,br hull",proc . of the 1997 acm sigmod injl. conference onqmanagement, ,1
olympic recorvs for data at the 1998 nagano games 1998,e lassettrk,sigmod conference, ,olympic records for data at the 1998 nagano games,er labsettre,, ,1
efficient algorithms for processing xpath queries 2002,"g gottlob , c koch , j pichler",vl4b, ,"efficient algorithms for processing xpath queries 28th vldb conference ,","g koch , c roch , r pachler",,m,1
7owards on-line analytical mining in large databases,j han,sigmod record,1998.0 ,"towards on-line analytical mining in large databases . acms anthology sigmod record ,",,,o998.0 ,1
versant replication : supporting fault-tolerant object databases sigmod conference 1995,"y shyy , h au-yeung , c cwou",, ,"versant3replication : supporting fault-tolerant object databases ym shyy , hs au-yeung , cp chou 1995.0",,"sigmod conferencd ,",w,1
"the x-tree : an index structure for high-dimensional data s berchtold , d keim , h kriegel vldb 1996",,, ,"the x-tree : an index structure for highdimensional data . 22nd conf . on very large databases s berchtold , d keim , hp kriegel bombay , india ,",,,y,1
"geominer : a system prototype for spatial data mining j han , k koperski , n stefanovic sigmod conference",,,1997.0 ,"geominer : a system prototype for spatial mining k koperski , j han",,"proceedinrs acm-si1mod , arizona ,",e,1
"optimized query execution in large search engines with global page ordering x long , t suel",,,2003.u ,optimized query execution in large search engines with global page ordering,"x long , t suel","proceedings of the international confzrence on very large & hellip ; ,",200330 ,1
"dyda : data warehouse maintenance in fully goncurrent environments j chen , x zhang , s chen , a koeller , e rundensteiner",,sigmodmconference,2001.0 ,"dyda : data warehouse maintenance in fully concurrent environments sigmod conference ,","j chen , x zhang , s chen , a koeller , ea",,2871.0 ,1
locally adaptive dimensionality reduction for indexing large time series databases sigmod conference,"e keogh , k chakrabarti h s mehrotra , m pazzani",,20y1.0 ,locally adaptive dimensionality reduction for indexing large time series databases,"k ghakrabarti , e keogh , s mehrotra , m pazzani","acm 0ransactiyns on database systems ,",2002.0 ,1
model and verification of a data manager based on aries,,acm trgns . database syst .,1996.0 ,"model and verification of a data manager based on aries acm transactions on database systems , 1996.0",d 8uo,, ,1
2q : a low overhead high performance buffer management replacement algorithm vldb,"t j0gns2n , d svasha",,1994.0 ,a low overhead high performauce buffer replacement algorithm,"t johnson , d shasha","proceedings of international conference on very large & hellip ; ,", ,1
"generalizing gloss to vector-sptce databases and broker hierarchies l gravano , h garcia-molina 1995",,vldb, ,h. 1995 . generalizing gloss to 6ector-space databases and broker hierarchies,"l grauano , g ä ± a-molina",proceedings of the 21st international conference on very,b,1
"efficient and effective clustering methods for spatial data mining r ng , j han vldb 1994",,,g,"efficient and effective methods for spatial data mining r ng , j han",,"proceedings of the 20th international conference on very z hellip ; ,", ,1
multimedia streaming in large-scale sensor networks with mobile swarms 2003,"m gerla , k xu",sigmod,9,"multimedia streaming in large-scale sensor networks wits mobile swarms m gerla , k xu sigmod record ,",,,2003.0 ,1
report on fqas 2002 : fifth international conference on flexible query answering systems 2003,,, ,"report on fqas 2002 : fifth international conference on flexible query answering systems a motro , t andreasen",,"sigmol record ,",2000.0 ,1
structured document storage and refined declarative and navigational access mechanisms in hyperstorm vldb j.,"k bіhm , k aberer , e neuhord , x yang",,19q7.0 ,"structured document storage and refined declarative and navigational access mechanisms in hyperstorm the vldb journal the international journal on very large & hellip ; , 1997.0","k bã ¶ hm , k aberer , ej neuhold , x yang",,u,1
the new middleware sigmod record,r finkelstei6,,199u.0 ,"the new middleware r finkelstein acm sigmod record ,",,,1995.0 ,1
atsingle pass computsng engine for interactive analysis of vldbs t mihalisin,,vldb,19t8.0 ,a single pass computing engine for interactive analysis of vldbs 1998.0,t miholisin,vldb, ,1
cubetree : organization of and bulk updates on the data cube,"n roussopoulos , y kotidis , m roussopoulos",sigmod xonference,1997.0 ,cubetree : organization of and bulk incremental updates on the data cube n roussopoulos 1997.0,,"sigmod rfc ,",l,1
technology and the future of commerce and finance ( abstract ) vldb,d shaw,,1d98.0 ,"technology and the future of commerce and finance proceedings of the international conference on very large & hellip ; , 1998.0",de,, ,1
lineage tracing for general data warehouse transformations,"y cui , j widom",rldb,2001.0 ,"lineage tracing for general data warehouse transformations y cui , j widom the vldb journal the international journal on very large & hellip ; , 2003.0",,,v,1
structured document storage and refined declarative and navigational access mechanisms in hyperstorm vldb j.,"k bіhm , k aberer , e neuhold , x yang",,1997.0 ,structured document storage and refined declarative and navigational acsess mechanisms in hyperstorm in vldb,"k bohm , k aberer , ej neuhold , x yang",,1,1
hierarchical prefix cubes for range-sum queries vldb 1999,"c chan , y w2annidis",,k,"hierarchical prefix cubes for range-sum queries cy chan , ye ioannidis proceedings of the 25th international conference on very & hellip ; ,",,,1999.0 ,1
"efficient filtering of xml documents for selective dissemination of znformation m altinel , m franklin",,vlib,2000l0 ,efficient filtering of xml documents for selective dissemination of information,"m altä ± nel , mj franklin",,f,1
"the distributed information search compodent ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0 ,"the distributed information search component ( disco ) and the world wide web proc . of acm sigmod conf . on management of data ,","h naacke , obkapitskaia",,1997.0q,1
"rights of tods readers , authors and re4iewers sigmod record",5 snodgrass,,2002.0 ,"rights of tods readers , authors and reviewers 2002.0",rt snodgrass,"sigmod rec0rd ,",h,1
"a characterization of the sensitivity of query optimization to storage access cost parameters f reiss , t kanungo",,sigmod jonference,2003.0 ,"a characterization of the sensitivity of query optimization to storage access cost parameters sigmod confefence , 2003.0","f reihs , t kanungo",, ,1
the trigs active objoct-oriented database system - an overview sigmod record,"g kappel , w retschitzegger",,1998.0 ,"â ?? tle trigs active object-oriented database systemâ ?? an overview , & rdquo","g kappel , w retschitz4gger","acm sigmod resord ,", ,1
"ptool : a scalable persistent object manager r grossman , x qin sigmod conference",,,1994.0 ,"ptool : a scalable persistent object manager proceedings of the a994 acm sigmod international couference & hellip ; ,","rl grossman , x qin",,1994.0 ,1
"preservation of digital data with self-validating , self-instantiating knowledge-based archives b ludфscher , r marciano , r moore sigmod record",,,2001.0 ,"special section on advalced xml data processing : preservation of digital data with self-validating ,","b ludasher , r marciayo , r5moore","acm sigmod record , september ,", ,1
workflow management with service quality guarantees 2002,"m gillmann , g weikum , w wtnnnr",sigmod cznference, ,workflow management with service quality guarantees,m gillmann,,c,1
falcon : feedback adaptive loop for content-based retrieval vldb,"l wu , c faloutsos , k sycara , t payne",,200010h,falcon : feedback adaptive loop for conlent-based retrieval,"t authors , c idenzifwed",, ,1
