ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000.0 ,"research and practice in federated information systems : report of the efisâ ?? 2000 international sigmod record ,","a jagatheesan , a rajasekar",sigmod record, ,0
"3xnf : redundancy eliminating xml storage in relations y chen , sb davidson , y zheng","y chen , s davidson , c hara , y zheng",,2003.0 ,"pajek-analysis and visualization of large networks v batagelj , a mrvar lecture notes in computer science , 2002.0",,submitted for,1997.0 ,0
"quasi-cubes : exploiting approximations in multidimensional databases d barbarс , m sullivan sigmod record 1997",,, ,"modeling multidimensional da [ abases r agrawal , a gupta , s sarawagi technical report , ibm almaden research center , 650 harry road ,",,, ,0
querying xml views of relational data vldb,"j shanmugasundaram , j kiernan , e shekita , c fan , j funderburk",,2001.0 ,"querying xml views of relational data - group of 2 & raquo ; j shanmugasundaram , j kiernan , e shekita , c fan , j proceedings of the 27th international conference on very & hellip ; ,",,,1996.0 ,0
caching multidimensional queries using chunks 1998,eas sawires,sigmod conference, ,strategies of multilevel chunking of multidimensional arrays,"j park , m chen , p yu",,2003.0 ,0
the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j., ,spatial deductive database y zhang,,, ,0
"lore : a database management system for semistructured data j mchugh , s abiteboul , r goldman , d quass , j widom 1997.0",,sigmod record,1994.0 ,grid data management systems & services,,,2003.0 ,0
the aditi deductive database system,"g phipps , ma derr , ka ross",vldb j., ,on relational support for xml publishing : beyond sorting and tagging 2003.0,"s chaudhuri , r kaushik , jf naughton",sigmod conference, ,0
flexible support for multiple access control policies acm trans . database syst .,"s jajodia , p samarati , m sapino , v subrahmanian",,2001.0 ,"a unified framework for enforcing multiple access control policies e bertino , s jajodia , p samarati , vs subrahmanian proceedings of acm sigmod conference on management of data , & hellip ; ,",,submitted for,2003.0 ,0
"hd-eye : visual clustering of high dimensional data a hinneburg , d keim , m wawryniuk sigmod conference",,,2002.0 ,"hdeye : visual mining of highdimensional data ( demo ) a hinneburg , da keim , m wawryniuk",,, ,0
"exact : an extensible approach to active object-oriented databases o dэaz , a jaime",,vldb j.,1997.0 ,"exact : an extensible approach to active object-oriented databases o dãaz , a jaime the vldb journal the international journal on very large & hellip ; , 1997.0",,, ,0
a general solution of the n-dimensional b-tree problem 1995,m freeston,sigmod conference, ,"a general solution of the n-dimensional b-tree algorithm a henrich , hw six , p widmayer",,proc . intã cents â ? ¬ â ? cents l conf . on management of, ,0
versions and workspaces in microsoft repository 1999,"t bergstraesser , p bernstein , s pal , d shutt",sigmod conference, ,versions and workspaces in microsoft repository,,, ,0
"concurrency and recovery for index trees d lomet , b salzberg vldb j.",acms anthology,,1997.0 ,concurrency control and recovery in database systems,,, ,0
on the discovery of interesting patterns in association rules 1998,"s ramaswamy , s mahajan , a silberschatz",vldb, ,on the comparison of association rule hiding techniques,"ed pontikakis , vs verykios , y theodoridis","hellenic database management symposium , athens , greece ,", ,0
"aggregate-query processing in data warehousing environments a gupta , v harinarayan , d quass vldb 1995",,, ,incremental generalization for mining in a data warehousing environment,,,1999.0 ,0
"designing and mining multi-terabyte astronomy archives : the sloan digital sky survey a szalay , p kunszt , a thakar , j gray , d slutz",,sigmod conference, ,report on the 1995 international workshop on temporal databases 1995,,, ,0
"the impact of database research on industrial products ( panel summary ) d barbarс , j blakeley , d fishman , d lomet , m stonebraker",,,1994.0 ,"panel : the impact of database research on industrial products ( summary ) ja blakeley , d fishman , d lomet , m stonebraker","j lu , g moerkotte , j schќ , v subrahmanian","vldb ,",1995.0 ,0
"towards adaptive workflow systems , cscw-98 workshop report 1999",,, ,"towards adaptive workflow systems , cscw-98 workshop , proceedings","m klein , c dellarocas , a bernstein","proc . seattle , washington , november ,", ,0
"set-oriented production rules in relational databases j widom , s finkelstein proc . of the acm sigmod conference on management of data ,","s ramanathan , j hodges",sigmod record,1997.0 ,lazy updates for distributed search structure,"r kaushik , p bohannon , j naughton , p shenoy",, ,0
"querying shapes of histories r agrawal , g psaila , e wimmers , m zaяt vldb 1995",,, ,"za t , m. 1995b . querying shapes of histories r agrawal , g psaila , el wimmers proc . of the 21st int &#39; l conference on very large",,, ,0
databases on the web : technologies for federation architectures and case studies ( tutorial ) r kramer 1997,,sigmod conference, ,"databases on the web : technologies for federation architectures and case studies ( tutorial ) . acms anthology , p edition",,"the vldb journal the international journal on very large & hellip ; ,", ,0
book review column sigmod record 2002,k aberer,, ,software and book review column,"j rao , ka ross",, ,0
"covering indexes for branching path queries r kaushik , p bohannon , j naughton , h korth 2002",,sigmod conference, ,"an experimental comparison of locking policies in a testbed database system wh kohler , kc wilner , ja stankovic proceedings of the 1983 acm sigmod international conference & hellip ; ,",,,1983.0 ,0
"querying atsql databases with temporal logic j chomicki , d toman , m bіhlen","j chomicki , d toman , mh bohlen",acm trans . database syst .,2001.0 ,querying atsql databases with temporal logic 2001.0,,"acm transactions on database systems ,", ,0
"decentralized incremental maintenance of multi-view data warehouses i stanoi , d agrawal , a el abbadi",,,1999.0 ,object systems over relational databases mk crowe,,"information and software technology ,",1993.0 ,0
the oracle universal server buffer,"w bridge , a joshi , m keihl , t lahiri , j loaiza , n macnaughton",vldb, ,head/director 's message,"w bridge , a joshi , m keihl , t lahiri , j loaiza , n",,2001.0 ,0
"efficient testing of high performance transaction processing systems d wildfogel , r yerneni vldb 1997","ca polyzois , h garcia-molina",, ,"fast algorithms for mining association rules in databases the 20th int &#39; l conf . on vldb , chile ,","r agrawal , r srikant",vldb,1994.0 ,0
"an overview of location-based services td ` roza , g bilchev","j zhang , m zhu , d papadias , y tao , d lee",, ,"physical data independence , constraints and optimization with universal plans . a deutsch , l popa , v tannen 1999.0",,"bt technology journal ,",2003.0 ,0
"spreadsheets in rdbms for olap a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian sigmod conference 2003","a witkowski , s bellamkonda , t bozkaya , g dorman , n","proceedings of the 2003 acm sigmod international conference & hellip ; ,", ,spreadsheets in rdbms for olap,,,1992.0 ,0
what happens during a join ? dissecting cpu and memory optimization effects,"s manegold , p boncz , ml kersten",,2000.0 ,dyda : data warehouse maintenance under fully concurrent environments,"d agrawal , a abbadi , a singh , t yurek",sigmod conference, ,0
anatomy of a native xml base management system 2002.0,"t fiebig , s helmer , c kanne , g moerkotte , j neumann , r schiele , t westmann",,2002.0 ,"modeling high-dimensional index structures using sampling c lang , a singh sigmod conference","n katayama , s satoh","the vldb journal the international journal on very large & hellip ; ,", ,0
efendi : federated database system of cadlab sigmod conference,"e radeke , r bіttger , b burkert , y engel , g kachel , s kolmschlag , d nolte",,1995.0 ,"research issues in federated database systems sigmod record , 1997.0","s conrad , b eaglestone , w hasselbring , m roantree ,","& hellip ; of the acm sigmod international conference on management of & hellip ; ,", ,0
"supporting dynamic displays using active rules o dэaz , a jaime , n paton , g al-qaimari sigmod record",", a jaime , nw paton","sigmod record ,", ,supporting dynamic displays using active rules 1994.0,v hristidis,"proceedings of the international conference on very large & hellip ; ,",2002.0 ,0
chair 's message 1999,,, ,"sigcas chair 's message computers and society ,",cd martin,, ,0
"andj . gray . designingand mining multi-terabyte astronomy archives : the sloan digital sky survey as szalay , p kunszt , a thakar",,sigmod conference,2000.0 ,continous queries over append-only databases,,"technical report ms-tr-99-30 , microsoft research ,",2002.0 ,0
"supporting valid-time indeterminacy c dyreson , r snodgrass",,acm trans . database syst .,1998.0 ,"valid-time indeterminacy ce dyreson , rt snodgrass","p ratnasingam , p pavlou",vldb, ,0
"image mining in iris : integrated retinal information system w hsu , m lee , k goh",ik sethi,,2000.0 ,image computing for visual information systems,,"proceedings of the international conference on very large & hellip ; ,", ,0
potter 's wheel : an interactive data cleaning system 2001,"v raman , j hellerstein",vldb, ,indexing of now-relative spatio-bitemporal data,,, ,0
sting : a statistical information grid approach to spatial data mining vldb,"w wang , j yang , r muntz",,1997.0 ,editorâ ?? s notes gr maughan,,, ,0
"adaptive , fine-grained sharing in a client-server oodbms : a callback-based approach acm trans . database syst . 1997","m zaharioudakis , m carey , m franklin",, ,"an architecture for query optimization a rosenthal , d reiner",,proc . of acm, ,0
on the complexity of the view-selection problem 1999.0,"h karloff , m mihail","proceedings of the eighteenth acm sigmod-sigact-sigart & hellip ; ,",2002.0 ,editor 's notes jennifer widom sigmod record,,, ,0
"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources . in : dayal u , gray pmd , 1997.0","mt roth , p schwarz",, ,revisiting commit processing in distributed database systems 1997,,sigmod conference, ,0
"alon levy . a scalable algorithm for answering queries using views r pottinger proc of the 26th int &#39; l conf on very large data bases ( vldb ) . & hellip ; ,",,, ,"dynamic sample selection for approximate query processing b babcock , s chaudhuri , g das 2003","e wong , k youssefi",, ,0
"adaptive data broadcast in hybrid networks k stathatos , n roussopoulos , j baras",,"23rd vws conf. , athens , greece , aug ,",1997.0 ,"fast algorithms for mining association rules in databases the 20th int &#39; l conf . on vldb , chile ,",,, ,0
