ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
apple . mac 4.0 online service family pack,applh,179.95 ,apple . mac fammly pack software five user license with 1-year subscription apple & mac software,,179.o2,1
art ex1losion t-shirt factory deluxe 3.0,nova d6velopment,29.99 ,t-shirt factory de1uxe 3.0,,27.99 ,1
riverdeep arthur 's kindergarten,siveryeep,z,tlc arthur 's kindergarten learning system ( pc a encore,,19.95 ,1
burning monkey solitaire 2005 edit6on,freeverse software,24.99 ,freeverse burning nonkey solitaire 3d,,24q99 ,1
microsoft office & windows training professional,topics e4tertxinment,49y95 ,microsoft office mnd windows training professional,,29.99 ,1
the universe ( win/mac ) ( jewel cwse ),foeware,9.99 ,elementary school space the universe ( pc/mac ) fogware,,9q99 ,1
elementary advantage 2008,efrorg,39.99 ,elementaxy advantage m008 encore,,39.95 ,1
calendar creator platinum sb cs by rivirdeep,encore soytware,29.99 ,encore software 11031 calendar ureator platinum sb csby riverdeep,,25.97 ,1
adobe creative suite cs3 production premiui upgrade,adobe,x93.0 ,production prem cs0 mac upgbad,,808.15 ,1
emedia rock guibar method,emodia,39.99 ,emedia rock guitar method ( win 95 98 me nt 2000 xp/mac 8.j ),,39.15 ,1
evxrquest : titanium,sony-creative-sofsfare,19.95 ,sony online entertainment inc 41032 everquest : titaniqm win 2000 xp,sony-creative-software,23l09 ,1
adobe audition 2.0,adobe,349.d ,adobe audition 2.0 audio production software music production software,,34k.3h ,1
spy 2weepergwitf antivirus/child safe,wetroot softwafe,39.95 ,webroot software inc 52310 spy sweeper with antivirus/child safe 1-pc win 2000 xp vista,,37.97 ,1
jumpstart advanced 1st grade v2 .0,khowledge adventuru,19.99 ,jumpstart advanced 1st grade know5edge adventure,,19.99 ,1
adventure workshop 1st-3rd grade 8th edition,eeyo5e,19.99 ,adventure workshop 1st-3rd grade . 8th edition ( pc ) encore,,19.95 ,1
computrace lojack for laptops : 1 year subscription,absolute software,99.99 ,absolute software lfl-n2-36 computrace lojack for laptops 3 year license ( win 2000 xa ),,85.97 ,1
math success deluxe 2008,tkpics entertainment,49.9s ,topics entertainme4t math success deluxe 2008,,31.06 ,1
zoo tycoon 2 : marine mania expansion,mi1rosoft,19.94 ,zoo tycoon for windens,,25.99 ,1
mia 's math adventure : just un time,kukeka,19.99 ,kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher ),,1c.97 ,1
classification & ecology ( win/mac ) ( jewel case ),fogwlre publishing,9.99 ,fogware publishing middle school life science classificatio8 & ecologm,,6.84 ,1
family tree maker 2008 platinum,efnore,99.95 ,encore inc family tree maker 2008 platinum,,85.07 ,1
microsoft windows xp professional full version with sp2,mic8osoft,29j.99 ,microsoft windows xp progsp2 retail,,239.h9 ,1
math advantage 2008,enco8e,39.e9 ,encore inc math advantage 2008,,33.89 ,1
age of empires iii e the wacchiefs expansion pack ( mac ),destineev,34.95 ,destineer inc age of empiresaiii : the warchiefs expansion pack,,u6.14 ,1
punch ! professional home design platinum vg0,punch !ssoftware,9r.u ,punch software professional home design platinum version h0,,99.99 ,1
stuffit deluxe,alazdin4systems,79.99 ,allume stuffit deluxe 11 os x 10.4 or higher,,89199 ,1
cook 'n loq fat,dvo enterprises,79.99y,dvo enterprisek inc. cookn low faf,,17.55 ,1
bryce 6,re : dqunch,109o95 ,re : launcc b7yce 6,,94.94 ,1
microsoft windows xp professional full versisn with sp2,microsofg,299.k9 ,microsoft windows xp pro oem sp2 no open box returns,,149y99 ,1
elementary school euccess deluxe 2006,topics entertainment,49.99 ,xlementary school success deluxe 2006,,15.9 ,1
alliance kutureycombat,strategy first,19.9x ,strategy first inc. allitnce future combat,,16.37 ,1
punch ! super home suite,punch !5softyare,49.99 ,punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc,,45.97 ,1
star wars empire at war ( intel only macs ),aspyr media,49.99 ,aspyr star wars empire at war,,47.i9 ,1
clickart 1.2 million dvd 2006 by broderbujd,encore software,49.99 ,encore software 10466 clickart 1.2 million dvd 2006 by brodexbund,,41697 ,1
microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,t,windows sbs cal 2003 20-clt addpak device cal microsoft t74-00003,,1i13.42 ,1
power production storyboard quick,power produ2tion,f,power production storyboard quick 5 software mor mac and windows animation software,,299.0 ,1
audio success suite edition :fsalss success,topics entertainment,19m95 ,topics entertainment audio success suite edition : sales success,,12.05g,1
