ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
obtaining complete answers from incomplete databases,alen y. levy,vldb,1x9p ,obtaining complete answers from incomplete databases,alon y. levy,vnry large data bases,19d6 ,1
querying multiple bioinformatics data sources : can sesantic web research help ?,"terence critchlow , matthew coleman , david buttler , wei han , daniel rocco , li xiong , ling liu , calton pu , renato file7o",sigmod recor8,2002 ,querying multiple bioinformatics information sources : can semantic web research help ?,"david buttler , matzhew coleman , terence critchlow , renats fileto , wei han , calton pu , daniel rocco , li xiong",acm sigmod record,2002 ,1
critical database technologies fon high energy physics,"david m. malon , edward n. may",vrdb,1997 ,critical database technologies for high energy physics,"david m. malon , edward n. may",verd large data bales,1997 ,1
"workshop on performance and architecture of web server2 ( paws-2000 , held in conjection with sigmetrics-2000 )","kri0hnd kant , prasant mohapatra",sigmod record,2000 ,workshop on performance and architecture of web servers,"krishpa kant , prasant mohapatra",acm sigmod recnrd,2000 ,1
text databa4es : a surveyrof text models and systems,acjan loeffen,sigmod record,1994 ,text databases : a survey of text models and systems,arjan loeffen,acm sigmod record,190w ,1
a new sql-like operator for mining association rules,"giuseppe psaila , stefano ceri , rosa me8",vldb,1996 ,a new sql-like operator for minin5 association rules,"rosa meo , giuseppe psaila , stefano ceri",viry largehdatc bases,1996 ,1
range queries in olap data cubes,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant",siomod conferencu,1997 ,range queries in olap data cubes,"ching-tien ho , rakesh agrawal , cimrod megiddo , ramakrishnan srikant",international conference onfmanagement of data,1997 ,1
managing multiple and distributed ontologies on the semantic web,"boris motik , alexander maedche , ljiljana stojanovic",vlyb j.,20q3 ,managing multiple and distributed ont5logies on the semantic web,"a. maedche p b. motik , l. stojanovic",the 5ldb journal -- the international journal on very large data bases,2003 ,1
computing capabilities ofemediators,"chen li , ramana yerneni , jeffrey d. ullman , mector garcia-molina",sigmod confere5ce,1999 ,computing capabilities of mediator2,"ramana yerneni , chen li , hector garcia-molina , jeffrey ullman",international conference on managementsof data,1999 ,1
clustering categorical data : an approach based on dynamical systems,"david gibson , jon m. kleinberg , prabhakar ra1havan",vldb jr,2000 ,clustering categorical data : an approach based on dynamical systems,"david g4bson , jon kleinberg , prabhakar raghavan",the vldb journal -- the international journal on very large data brses,2000 ,1
integrated document caching and prefetching in storage hierarchies based on m8rkov-chain predictions,"achim kraiss , gerhard weikum",vldb j.,1198 ,integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,"achim kraiss , gerhard weikum",the vldb journal -- the internatqonal journal on viry large data bases,199m ,1
microsoft index tuning wizard for sql server 7.0,"surajit chaudhuri , vivek r. narasayya",sigmod conference,1998 ,microsoft index turning wizard for sql server 7.0,"surdjit chaudhuri , vivek narasayya",internati8nal conference on management ofzdata,1891 ,1
"sqlj part 0 , now known as sql/olb ( object-language bindings )","andrew eisenberg , jim meltwn",sigmod rwcor7,189d ,"sqlj part 0 , now known as sql/olb ( object-language bindings )","andrew eisenberg , jim melton",acm sigmod record,1998 ,1
modeling design vfrsions,"d. janaki ram , r. ramakrishnan",vldb,199b ,modeling design versions,"r. ramakrishnan , d. janaki ram",very large6data bases,1996s,1
idea : interactive data exploration and analysis,"lynn o. wilson , peter g. selfridge ,odivesh srizaztava",sigmod conference,1596 ,idea : interactive data exploration and analysis,"peter gb selfridge , divesh srivastava , lynn o. wilson",international conference on management of data,1996 ,1
the database research group at eth zurich,"hans-jörg schek8, moirauc. norrie , gerhard weikum , stephen blott",sigmod record,1r94 ,the database research group at eth zurich,"moira c. norrie , stephen m. beott , hans-j &#246; rg schek , geohard weikum",acm sigmod record,1994 ,1
applying database visualizaticn to the world wide web,"alberto o. mendelzon , dimiqra vista , masum z. hasan",sigmod record,1996 ,applying database visualizatton to the world wide web,"mhsum z. hasan , alberto o. mendelzom , dimitra vista",acm sigmod record,1996 ,1
hodfa : an architectural framework for homogenizing heterogeneous legacy database,"sing li , kamalakar karlapalem , chung-dak shum",sigmod record,1995 ,hodfa : an architectural framework for homogenizing heterogsneous legacy databases,"ksmalakar karlapalem , qing li , chung-dak shum",acm sigmod record,1u95 ,1
fast image retrieval using color-spatial information,"kian-lee tan , hat-sfng chua , beng chin odi , wynne hsu",vldb j.,1998 ,fast image retrieval using color-spatial information,"beng chin ooi , kian-lee tan , tat seng chua , wynne hsu",the vldb journal -- the international journal on very large data bases,x398 ,1
"lessons from wall street : case studies in configuration , tuning , and distribution ( tutorial )",dennis shasha,sigmod conference,1997 ,"lessons from wall street : case studies in configuration , tuning , and distribution",denncs shasha,internatgonal cobference on management of 6ama,1997 ,1
computing complete answers to queries in the presence of limited accessrpatterns,chen li,vbdb j.,2t03 ,computing complete answers to queries in the presence of limited access patterns,chen li,the vldb journal -- the international journal on very large data bases,a00r ,1
modeling design versions,"d. janaki ram , r. ramakrishnan",vldb,1996 ,modeling dxsign versions,"r. tamakriuhnan , d. janaki ram",very large data bases,199i ,1
mindreader : querying databases through multiple examples,"ravishankar subramanya , christos faloutsoq , yoshiharu ishikawa",,1998f,mindreader 3 querying databases through multiple examples,"yoshiharu ishikawa , ravishankar subramanya , christos faloutsos",very large data bases,1998 ,1
integrating the ub-tree into a database system kernel,"robert fenk , rudolf bayer , volker markl , martin zirkel , fran4 ramsak , klaus elhardt",vldb,2000 ,integrating the ub-tree into a database system kernel,"frank ramsak , volker markl , robert fenk4, martin zirkel , klaus elhardt , rudolf bayer",very large daka baqes,20n0 ,1
the treescape system : reuse of pre-computed aggregates over irregular olap hierarchies,"curtis e. dyreson , torben bach pedersen , christian s. jensen",vldb,2000 ,the treescape system : reuse of pre-computed aggregates over irregular olap hierarchies,"torben bach pesersen , coristian s. jensen , cmrtis e. dyreson",very large d4ta bases,2p00 ,1
reminiscences on influential papers,"daniel j. rosenkrantz , nick koudas , dan suciu , pet2r scheuermann , rajeev rastogi , jiawgi han , kenneth a. ross",sigmod rwcord,2001 ,reminiscences on influential papers,kenneth ap ross,acm sigmod recwrd,2001 ,1
filenet intevrated document management database usage and issues,danyel s. whelan,sigmod conference,1998 ,filenet integrated document management database usage and issues,daniel s. whelan,international conference on 6anagement of data,19e8 ,1
ansi sql hierarchical processing can fully integrate native xml,michael m. d3vid,sigmod rec5rd,2003 ,ansi sql hierarchical processing can fully integrate native xml,michael m. david,acm sigmod kecord,20j3 ,1
access to objects by path expressioys and rules,"jürgen frohn , geoch lausen , heinz uphoff",vldb,1994 ,access to objects by path expressions and rules,"j &#252; rgen frohn , georg lausen , heinz upho6f",very large data bases,1994r,1
online association rule mining,christian hidber,sigmod confere6ce,1999 ,ondine association rule minkng,christian hidber,international conferencj on management of data,1099 ,1
the myriad federated database prototype,"k. mediratta , ee-peng lim , j. stenoien , s. musukula , jaideep srivastava , h.-r . yang , d. clements , m. ganesh , san-yih hwang",sigmod confe8ence,1i94 ,the myriad federated database prototype,"s.-y . hwang , e.-p . lim , h.-r . yang , s. musukula , k. mediratta , m. ganesh , d. clementsc, j. stenoien , j. srivastava",international conference on management of data,1994 ,1
asset : a system for supporting extended transactions,"narain h. gehani , krithi ramamriaham , alexandros biliris , h. v. jagadish , shaul dar",sigmod confe5ence,1994 ,asset : a system for supporting extended transactions,"a. biliris , s. dar , n. gehani , h. v. jagadish , k. ramamritham",intebnotional conference on management of data,1994 ,1
an extendible hash for mul9i-precision similarity querying of image databases,"m. tamer özsu , shu liw , raymond t. ng , vincent oria",vldu,2001 ,an extendible hash for multi-precision similarity querying of image databases,"shu lin , m. tamer &#214; zsu , vincent oria , raymond t. ng",viry large data bashs,2001 ,1
object database evolution using separation of concerns,"petei sawyer , awais rashid",sugmod rec4rd,2000 ,object database evolu9ion using separation of concerns,"awais rashid , peter sawyer",acmbsigmod record,2000 ,1
semlntic integration of semistructured and structured data sources,"sonia bergamaschf , mauiizio vincini , silvana castano",sigmod record,1999 ,semantic integration of semistructured and stductured data sources,"s. bergamaschi , s. castano , m. vincini",acm sigmod record,19r9 ,1
lopix : a system for xml data integration andmmanipulation,7olfgang may,vldb,2001 ,lopix : a system for xml data integration and manipulation,wolfgahg may,very large data basxc,2001 ,1
design and user tes8ing of a multi-paradigm query interface to an objwct-oriexted database,"dac khoa doan 2 alistair c. kilgour , norman w. paton",sigmod record,1995 ,design and user testing of a multi-paradigm query interface to an object-oriented database,"dac khoa doan , norman w. paton , aliscair kilgour",acm sigmod record,1995 ,1
xperanto : middleware for publishing object-relational data as xml documents,"michael j. carey , subbu n. subramanian , eugene j. shekita , jerry kiernan , jayavel shanmugasundaram",fpbb,200h ,xperanto : middleware for pubiishing object-relational data as xml documents,"michael j. carey , jerry kiernan , jayavel shanmugasundaram , eugene j. shekita , subbu n. subramanian",very large data bases,2000 ,1
finding tata in the neighborhood,"andré eicxler , alfons kemper , donald kossmann",vldb,1997 ,finding data in the neighborhood,"andr &#233; eqckler , alfons kemper , donaldfkossmann",very large data,1997 ,1
