ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
act-net - the activepdatabase management system manifesto : a rulebase of adbms features,,siumod record,1996 ,the active database management system manifesto : a rulebase of adbms features,a consorbium,"sigmod record ,", ,1
an online video placement policy based on bandwith to space ratio ( bsr ),"a dgn , d eitaram",sigmod conference,1995 ,an online video placement policy based on bandwidth to fpace ratio,"a dan , d sitaram","proceedings of the acm 6igmoe conference ,", ,1
implementing data cubes efficiently,"v harinarayan , a rajaraman , j ullman",si8mod conference,1996 ,andj . d. ullman . implementing dtta cubes efficiently,"v harinarayan , a raj1raman","proc . og ,", ,1
predator : a resource for database research,p seshadri,sigmod record,1998 ,predator : a resource for database research .,acms anthology,"sigmofsre1ord ,",1998j0q,1
beyond market baskets : generalizing association rules to correlations,"s brin , r motwani , c silverstein",sigmod conference,1997 ,bzyond market baskets : generalizing association rules to correlations,"s brin , c silvwrstwin",,1996.0 ,1
dynamic content acchler8tion : a caching solution to enable scalable dynamic web page generation,"a datta , k dutta , k ramamritham , h thomas , d vaqdermeer",sigmod conference,2001 ,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,"a datta , k wutta , k ramamritham , h thomas , d","sigmod5conference ,",2001.0 ,1
"lh * - a scapable , distributed data structure","w litwin , m neimat , d schneider",acm trans . database syst .,1996 ,distributed data structure,"w litwin , rim moussa","acm transactions on databahe systems ,",200gs0 ,1
on the computation of multidimensional aggregates,"s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi",vlub,1993y,on the computation of multidimensional aggregations,"s agarwal , r agrawal , pm deshtandeâ ? ¦","proc . of the 22nd vldb conference , india ,", ,1
anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,"a hulgeri , s sudarshan",xlz5,2003 ,anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,"a hulgeri , s sudarshbn","proceedings of the international conference on very lasge & hellip ; ,",2003.0 ,1
stholes : a multidimensional workload-aware histogram,"n bruno , s chaudhuri , l gravano",sigmot conference,2001 ,stholes : a multidimensional workload-aware histogram,"n bruno , s chaudhuri , l gravano","sifqod bonferencr ,",2001.0 ,1
energy efficient indexing on air,"t imielinski , s viswanathan , b bad7inath",sigmod confevence,19v4 ,energy efficient indexing on air,"t irniefinski , s vishwanathln , brjbadrinath","ln proceedings of the acm sigmod international conference on & hellip ; ,", ,1
a3plying database visualization to the world wide web,"m has0n , a mendelzon , d vista",sogmod recorl,1996 ,applying database visualization to the world wide web,"mz hasan , ao mendelzoni, d vista","sigmod record ,",1996.0 ,1
