ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,4:54,21-Aug-09 ,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ],David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,2:31,"December 21 , 2010 ",0
Who I Am With You,Chris Young,A.M.,Country,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",3:11,16-Sep-13 ,"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ DJ LBR Remix ]",Chris Young,A.M.,"Dance , Music , Electronic",$ 0.99,2015 Michelle Kelly,3:23,20-Jan-12 ,0
Get Free ( feat . Amber of Dirty Projectors ) [ What So Not Remix ],Major Lazer,Free the Universe ( Extended Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",$ 1.29,‰ ãÑ 2013 Secretly Canadian / Mad Decent,3:19,"April 16 , 2013 ","Jet Blue Jet ( feat . Leftside , GTA , Razz & Biggy )",Major Lazer,Titanium ( Remixes ) [ feat . Sia ],"Dance , Music , Electronic",$ 0.99,2013 Secretly Canadian / Mad Decent,6:37,20-Jan-12 ,0
Piensas en MÌ _ ( Remix ),Nicky Jam,Nicky Jam Hits,"Latin Urban , Music , Latino",$ 0.99,( C ) 2014 Codiscos S.A.S.,4:46,9-Sep-14 ,Ca n't Stop Now ( feat . Jovi Rockwell and Mr. Vegas ),Nicky Jam,Guns Do n't Kill People ... Lazers Do,"International , Latin Music",$ 1.29,"( C ) 2009 Downtown Music , LLC .",4:46,2009 ,0
Too Much [ feat . Sampha ] [ Explicit ],Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,( C ) 2013 Cash Money Records Inc.,3:01,15-Nov-11 ,"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ]",Drake,Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ],"Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:21,16-Nov-10 ,0
Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),Rap & Hip-Hop,$ 1.29,2015 300 Entertainment/RGF Productions,4:38, ,Truce,Fetty Wap,Fetty Wap [ Clean ],"Alternative , Music , Rock , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",2:22,"September 25 , 2015 ",0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,Mississippi-The Album ( Explicit Version ),Pop,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,7:11,21-Aug-09 ,Whateva ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,Album Only,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",5:11,"May 20 , 2003 ",0
Wildest Dreams,Taylor Swift,1989,Pop,$ 1.29,"‰ ãÑ 2014 Big Machine Records , LLC .",3:40,27-Oct-14 ,September ( Live in Stockholm ),Ryan Adams,1989,"Folk , Rock",$ 0.99,"( C ) 2014 Big Machine Records , LLC .",3:40,"October 27 , 2014 ",0
Closer ( feat . Mike Posner ),Nick Jonas,Nick Jonas ( Deluxe ),"Pop , Music , Rock , Pop/Rock",$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",3:48,10-Nov-14 ,Dangerous ( feat . Sam Martin ),David Guetta,Nick Jonas ( Deluxe ) [ Clean ],Pop,$ 1.29,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",3:48,"November 10 , 2014 ",0
I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank - EP,"Country , Music",$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,24-Feb-14 ,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank ( EP ),"Country , Country Rock , Pop , Rock",$ 1.29,"2011 Big Machine Records , LLC .",5:17,"February 24 , 2014 ",0
