ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
the mlpq/gis constraint database system sigmod conference,"j zhang , m zhu , d papadias , y tao , d lee",sigmod record,1997.0 ,horizontal data partitioning in database systems,ooa daini,"proc . international conference on vldb ,", ,0
semantic integration of semistructured and structured data sources,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,1997.0 ,"guest editorial the vldb journal the international journal on very large & hellip ; ,",ew cheney,"acm transactions on internet technology ,", ,0
multi-dimensional selectivity estimation using compressed histogram information 1999,"f tian , d dewitt , j chen , c zhang",sigmod conference,1997.0 ,"supporting consistent updates in replicated multidatabase systems w du , ak elmagarmid , w kim , o bukhres the vldb journal the international journal on very large & hellip ; ,","d dewitt , r katz , f olken , l shapiro , mr","proceedings of the 20th international conference on very & hellip ; ,", ,0
extraction of object-oriented structures from existing relational databases,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997.0 ,concurrency control in groupware sys 2 tems 1989.0,"i ahn , r snodgrass","proceedings of the 2005 acm sigmod international conference & hellip ; ,", ,0
bringing order to query optimization sigmod record,"b goyal , j haritsa , s seshadri , v srinivasan",sigmod record,2002.0 ,database and information systems research database and information systems research for semantic web,"e lusk , r overbeek",heidelberg :, ,0
"standards in practice a eisenberg , j melton sigmod record","d barbarс , h garcia-molina",sigmod conference,1999.0 ,"andi . n. subramanian . schemasql-a language for interoperability in relational multi-database systems lvs lakshmanan , f sadri proceedings of inter . conference on very large databases (","m stonebraker , j woodfill , j ranstrom , m murphy , m","bt technology journal ,", ,0
"algorithms for materialized view design in data warehousing environment j yang , k karlapalem , q li",h jagadish,vldb j.,1994.0 ,"self-managing technology in database management systems s chaudhuri , b dageville , g lohman",d suciu,"acm transactions on database systems ,", ,0
mixed mode xml query processing vldb,j bussche,sigmod record,1997.0 ,"priority-based scheduling in real-time database systems , '' sh son , ch chang","ki lin , h jagadish , c faloutsos","information and software technology ,", ,0
database systems management and oracle8 sigmod conference,a labrinidis,vldb,2003.0 ,"chorochronos a research network for spatiotemporal database systems sigmod record , new york ,","t seidl , hp kriegel","sigmod record ,", ,0
proximity search in databases 1998,"d phatak , n sarda , s seshadri , s sudarshan",vldb,1997.0 ,converting relational to object-oriented databases 1997.0,jr smith,"acm transactions on database systems ,", ,0
extraction of object-oriented structures from existing relational databases,m franklin,sigmod record,1997.0 ,2d topological and direction relations in the world of minimum bounding circles,"da maluf , dg bell , n ashish","proceedings of the acm sigmod conference , ( may", ,0
hypertext databases and data mining,r ross,vldb,2000.0 ,database research at the university of twente 1993.0,"ef codd , cj date",proc . of the acm sigmod international conference on, ,0
"a logical foundation for deductive object-oriented databases m liu , g dobbie , t ling acm trans . database syst . 2002",ж ulusoy,sigmod conference,2000.0 ,database evolution in the o 2 database system proceedings of the 21st international conference on very,sm thatte,proceedings of the acm sigmod international conference on, ,0
distributed query evaluation on semistructured data d suciu acm trans . database syst . 2002,"j wen , q li , w ma , h zhang",vldb,2001.0 ,"wong . m , â ?? mining fuzzy association rules in databases , â ?? c kuok , a fu","am alashqur , syw su , h lam","proceedings of the 2002 acm sigmod international conference & hellip ; ,", ,0
"managing intervals efficiently in object-relational databases h kriegel , m pіtke , t seidl","m hasan , a mendelzon , d vista",sigmod record,2003.0 ,"data grid management systems proceedings of the 2003 acm sigmod international conference & hellip ; ,","g gottlob , c koch","proceedings-ieee ,", ,0
lore : a database management system for semistructured data,j widom,sigmod record,1997.0 ,"efficient algorithms for minimizing tree pattern queries proc . of the acm sigmod conf . on management of data ,",s rizvi,"data engineering , 2004 . proceedings . 20th international", ,0
"dynamic resource brokering for multi-user query execution d davison , g graefe 1995",h toivonen,vldb,1996.0 ,"star-cubing : computing iceberg cubes by top-down and bottom-up integration proceedings of the international conference on very large & hellip ; ,","k hinrichs , h blunck , akv des fachbereichs","proc . of the 18th int . conference on vldb , august ,", ,0
"the ccube constraint object-oriented database system a brodsky , v segal , j chen , p exarkhopoulo","m atkinson , l daynшs , m jordan , t printezis , s spence",sigmod record,1997.0 ,"object-oriented concepts , databases and applications w kim , fh lochovsky",j fong,"proc . sigmod conf ,", ,0
mining quantitative association rules in large relational tables sigmod conference,"s ramanathan , j hodges",sigmod record,1999.0 ,the design and implementation al ingres,"ml lee , m kitsuregawa , bc ooi , kl tan , a mondal","acm transactions on database systems ,", ,0
storing and querying ordered xml using a relational database system sigmod conference,"s ramanathan , j hodges",sigmod record,2003.0 ,the revolution in database architecture,m hagler,"vldb ,", ,0
"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe","s ramanathan , j hodges",sigmod record,1999.0 ,guest editor 's introduction : visualization 1994.0,r pamatatau,"bt technology journal ,", ,0
"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record","s ramanathan , j hodges",sigmod record, ,optimization and evaluation of database queries including embedded interpolation procedures,"m stonebraker , j woodfill , j ranstrom , m murphy , m","technical report , department of computer science , stanford",1996.0 ,0
lore : a database management system for semistructured data,"s ramanathan , j hodges",sigmod record,1997.0 ,"the x-tree : an index structure for high-dimensional data [ a ] b stefan , da keim , hp kriegel 1996.0","j li , j srivastava","new directions for program evaluation ,", ,0
"cure : an efficient clustering algorithm for large databases s guha , r rastogi , k shim","p baumann , a dehmel , p furtado , r ritsch , n widmann",sigmod record,1994.0 ,dynamic query execution plans,rj miller,"proceedins of the 22th international conference on vldb . & hellip ; ,", ,0
revisiting commit processing in distributed database systems 1997,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",acm trans . database syst .,1999.0 ,distributed multimedia databases tk shih,"en hanson , ic chen , r dastur , k engel , v ramaswamy","proc . sigmod intl. conf . on management of data ,", ,0
guest editor 's introduction,"p buneman , s davidson , g hillebrand , d suciu",sigmod record,1997.0 ,"a. crespo : extracting semistructured information from the web j hammer , h garcia-molina , j cho , r aranha sigmod record ,","r bretl , d maier , a otis , j penney , b schuchardt ,","proc a cm sigmod int conference on management of data , san", ,0
www-udk : a web-based environmental meta-information system,"p selfridge , d srivastava , l wilson",sigmod conference,1994.0 ,"a cost model for clustered object-oriented databases g gardarin , jr gruser , zh tang","o wolfson , s jajodia , y huang","correlation '' fractal dimension , '' proc . 21st vldb conf ,", ,0
"applying formal methods to semantic-based decomposition of transactions p ammann , s jajodia , i ray","s ramanathan , j hodges",sigmod record,1998.0 ,a visual language for object-oriented databases cif doodle,"dw cheung , vt ng , aw fu","acm transactions on database systems ( tods ) ,", ,0
