ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Fisherman 's Tea Party,Cape Ann Brewing Company,American Amber / Red Ale,9.00 % ,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company,American Strong Ale,9 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Barleywine,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,4.70 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 % ,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 % ,1
