ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Big Horn Buttface Amber Ale,Stilt House Brewery,American Amber / Red Ale,6.00 % ,Stadin American Red Ale,Saimaan Juomatehdas,Amber Ale,8 % ,0
Deputation Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,13.00 % ,Railway City Iron Spike Amber Ale,Spiteful Brewing,Irish Ale,8 % ,0
All American Red Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,6.20 % ,Thirsty Pagan North Coast Amber Ale,Big Horn Brewing Company &#40; Ram International &#41;,Amber Ale,5 % ,0
Big Axe Red Ale,Port Brewing,American Amber / Red Ale,5.40 % ,Oak Creek King Crimson Imperial Red Ale,Big Axe Brewery and B & B,Barley Wine,8 % ,0
Starfish Imperial Red Ale,Port Brewing,American Amber / Red Ale,4.00 % ,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,AleSmith Brewing Company,Barley Wine,- ,0
Bourbon Barrel Red Oak Ale,Fish Rock Brewery,American Amber / Red Ale,- ,Bacchus / Burrow Bloodhound Blood Red IPA,Proof Brewing Company,Amber Ale,6.20 % ,0
Frog Island Amber Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.50 % ,Barrel Trolley Amber Ale,AleSmith Brewing Company,Amber Ale,6 % ,0
Wasatch 50th Park City Golden Anniversary Ale,Figure 8 Brewing,American Amber / Red Ale,- ,Big Spruce Ready Yer Knot ... Regatta Red Ale,Proof Brewing Company,Amber Ale,5.60 % ,0
Mountain Series : Love Rhino ( Imperial Red Ale ),Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,7.40 % ,Imperial Oak Barrel Aged Odin_s Beard,Marble Brewery,Barley Wine,9 % ,0
Iron Mike 's Amber Ale,Alpha Brewing Company,American Amber / Red Ale,6.80 % ,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Fat Bottom Brewery,Amber Ale,5 % ,0
Ro Shampo Imperial Red Ale,Bomber Brewing,American Amber / Red Ale,- ,Squatters Respect Your Mother Organic Amber Ale,Austin Beerworks,Amber Ale,5.50 % ,0
Ruby River Ruby Red Ale,Redwood Lodge,American Amber / Red Ale,5.45 % ,Squatters Respect Your Mother Organic Amber Ale,Flat 12 Bierwerks,Amber Ale,- ,0
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Stewart 's Brewing Co. .,American Amber / Red Ale,9.00 % ,Mad River Jamaica Red Ale,Americas Brewpub,Amber Ale,- ,0
Desert Island Series : American Honey Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.00 % ,Ice Harbor Double Red Ale - Fresh Hop,Flossmoor Station Restaurant & Brewery,Amber Ale,- ,0
Molly American Red Ale,Outpost Natural Foods,American Amber / Red Ale,7.00 % ,Bacchus / Burrow Bloodhound Blood Red IPA,Big Time Brewery,India Pale Ale &#40; IPA &#41;,6 % ,0
Harold The Red Ale,Stewart 's Brewing Co. .,American Amber / Red Ale,- ,Lompoc Bourbon Barrel Aged Old Tavern Rat,Loose Shoe Brewing Company,Amber Ale,4.60 % ,0
The `` Ginger '' A Red Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.90 % ,Railway City Iron Spike Amber Ale,Big Spruce Brewing,Amber Ale,- ,0
Red Shedman 's Imperial Amber Ale,Great River Brewery,American Amber / Red Ale,8.20 % ,Peter Bs Sum Of Hours Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,Barley Wine,9 % ,0
Barrel Aged Red Ale,Fish Rock Brewery,American Amber / Red Ale,9.00 % ,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Iron Horse Brewery,Barley Wine,11 % ,0
Mountian Goat Rare Breed India Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,Sick N Twisted Naughty Redhead Imperial Red Ale,The Beer Company,Irish Ale,- ,0
Stone Liberty Station Outbreak Series : Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,5.00 % ,Piney River McKinney Eddy Amber Ale,Kettle House Brewing Company,Amber Ale,- ,0
Big Bear Amber Ale,C.B. & Potts,American Amber / Red Ale,7.00 % ,Aspen Bourbon Barrel Aged Conundrum Red Ale,Big Texan Brewery,Amber Ale,6 % ,0
Red Hopper ( Imperial Red Ale ),Coronado Brewing Company,American Amber / Red Ale,- ,Heinzelmannchen Big Amber Gnome Ale,Granville Island &#40; Brewery - MolsonCoors &#41;,Amber Ale,6.50 % ,0
Broadhead Bourbon Barrel Aged Red,BearWaters Brewing Co. .,American Amber / Red Ale,5.00 % ,Engine House No. 9 Rowdy Dick Amber Ale,Ecliptic Brewing,Amber Ale,8 % ,0
Harold The Red Ale,Wolf Hills Brewing Company,American Amber / Red Ale,- ,Squatters Respect Your Mother Organic Amber Ale,Pokertree,Amber Ale,5.50 % ,0
Big V Amber Ale,Wig And Pen,American Amber / Red Ale,4.00 % ,Cigar City Cold Brew Series - Red Ale,Anderson Valley Brewing Company,Irish Ale,5 % ,0
Stupiphany Imperial Red Ale,Centennial Beer Co. .,American Amber / Red Ale,6.80 % ,Heavy Seas Desert Island Series American Honey Amber Ale,Ecliptic Brewing,Amber Ale,- ,0
Winter Seasonal Amber Ale,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,4.50 % ,Swamp Head Sciaenhops Imperial Red Ale,Thirsty Pagan Brewing,Amber Ale,- ,0
Stupiphany Imperial Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,4.00 % ,Canal Park General Sterling Price American Amber Ale - Centennial,Laurelwood Public House & Brewery,Amber Ale,5 % ,0
The `` Ginger '' A Red Ale,Wormtown Brewery,American Amber / Red Ale,5.00 % ,The Beer Company Wyatt Earp Red Ale,Loose Shoe Brewing Company,Irish Ale,7 % ,0
Red Emperor Amber Ale,Hoppy Brewing Co. .,American Amber / Red Ale,7.00 % ,Swashbuckler Red Sea Amber Ale,Radiant Pig Beer Company,Barley Wine,- ,0
Big V Amber Ale,FreeWheel Brewing Company,American Amber / Red Ale,4.00 % ,Aspen Bourbon Barrel Aged Conundrum Red Ale,Big Texan Brewery,Amber Ale,5 % ,0
Isle Of Pines Barley Wine,Beachwood BBQ & Brewing,American Amber / Red Ale,- ,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Barley_s Brewing Company,Barley Wine,8.60 % ,0
Aiken American Red Pale Ale,The Civil Life Brewing Company,American Amber / Red Ale,- ,Engine House No. 9 Rowdy Dick Amber Ale,Heinzelmannchen Brewery,Amber Ale,6.50 % ,0
