ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
book review column,"luis gravano , anthony tomasic , hector garcia-molina",sigmod record,2002 ,book review column,"meikel poess , bryan smith , lubor kollar , paul larson",acm sigmod record,2002 ,1
webfilter : a high-throughput xml-based publish and subscribe system,"wolfgang may , bertram ludäscher",acm trans . database syst .,1995 ,static analysis techniques for predicting the behavior of active database rules,"wolfgang may , bertram lud &#228; scher",acm transactions on database systems ( tods ),1995 ,1
efficient checking of temporal integrity constraints using bounded history encoding,jan chomicki,acm trans . database syst .,1995 ,efficient checking of temporal integrity constraints using bounded history encoding,"jiawei han , yongjian fu",acm transactions on database systems ( tods ),1995 ,1
miro web : integrating multiple data sources through semistructured data types,"sudipto guha , rajeev rastogi , kyuseok shim",acm trans . database syst .,1995 ,a database model for object dynamics,"sridhar ramaswamy , rajeev rastogi , kyuseok shim",acm transactions on database systems ( tods ),1995 ,1
logical design for temporal databases with multiple granularities,"arnaud sahuguet , raman chandrasekar , zoé lacroix",sigmod record,2001 ,supporting multiple view maintenance policies,,acm sigmod record,2001 ,1
"semi-automatic , self-adaptive control of garbage collection rates in object databases","ioana manolescu , donald kossmann , daniela florescu",sigmod record,1995 ,informix-online xps : a dynamically scalable rdbms for open parallel platforms,"alfons kemper , donald kossmann , christian wiesner",acm sigmod record,1995 ,1
distance-based outliers : algorithms and applications,"anat eyal , tova milo",sigmod record,2001 ,shoring up persistent applications,"anastassia ailamaki , joseph m. hellerstein",acm sigmod record,2001 ,1
cost-based optimization for magic : algebra and implementation,"jeannie shands , kenneth salem , hector garcia-molina",sigmod record,1995 ,are quorums an alternative for data replication ?,"sergey brin , james davis , h &#233; ctor garc &#237; a-molina",acm sigmod record,1995 ,1
infomaster : an information integration system,"kenneth a. ross , françoise fabret , françois llirbat , joão pereira , hans-arno jacobsen , dennis shasha",acm trans . database syst .,1995 ,the worlinfo assistant : spatio-temporal information integration on the web,"dennis shasha , francois llirbat , eric simon , patrick valduriez",acm transactions on database systems ( tods ),1995 ,1
databases and transaction processing : an application-oriented approach - book review,"surajit chaudhuri , umeshwar dayal",sigmod record,1996 ,maintenance of implication integrity constraints under updates to constraints,"surajit chaudhuri , vivek narasayya",acm sigmod record,1998 ,1
process automation as the foundation for e-business,"alex g. büchner , maurice d. mulvenna",sigmod record,1995 ,middle-tier database caching for e-business,"umeshwar dayal , meichun hsu , rivka ladin",acm sigmod record,1995 ,1
efficient snapshot differential algorithms for data warehousing,"andrew eisenberg , jim melton , susan malaika",sigmod record,1998 ,materialized views and data warehouses,"daniela florescu , alon levy , ioana manolescu , dan suciu",acm sigmod record,1998 ,1
management of multidimensional discrete data,"guozhu dong , jian pei , jiawei han , ke wang",acm trans . database syst .,1995 ,management of multidimensional discrete data,"alexander hinneburg , daniel a. keim",acm transactions on database systems ( tods ),1995 ,1
concurrency in the data warehouse,"leonidas fegaras , david maier",sigmod record,2001 ,incremental clustering for mining in a data warehousing environment,"wai fu fung , david sun , johannes gehrke",acm sigmod record,2001 ,1
efficient materialization and use of views in data warehouses,"richard t. snodgrass , vassilis j. tsotras , christian s. jensen",acm trans . database syst .,1995 ,efficient materialization and use of views in data warehouses,"john c. shafer , rakesh agrawal",acm transactions on database systems ( tods ),1995 ,1
a cost model for query processing in high dimensional data spaces,"thomas eiter , v. s. subrahmanian , thomas lukasiewicz , james j. lu",sigmod record,1995 ,efficient schemes for managing multiversionxml documents,"thomas vetterli , anca vaduva , martin staudt",acm sigmod record,1995 ,1
