ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
book review column,r snodgrass,sigmod record,2003 ,book review column,rt snodgrass,"sigmod record ,",2003.0 ,1
temporal database bibliography update,"a eisenberg , j melton",sigmod record,2000 ,temporal database bibliography update,"a eisenberg , j melton","sigmod record ,",2000.0 ,1
david dewitt speaks out,"g gottlob , c koch , r pichler",sigmod record,1999 ,david dewitt speaks out,"g gottlob , c koch , r pichler","sigmod record ,",1999.0 ,1
text databases : a survey of text models and systems,"g gottlob , c koch , r pichler",sigmod conference,1999 ,textdatabases : asurveyoftext models and systems,"g gottlob , c koch , r pichler","sigmod conference ,",1999.0 ,1
modelling and querying video data,b adelberg,sigmod record,1995 ,modelling and querying video data,b adelberg,"acm sigmod record ,",1995.0 ,1
david dewitt speaks out,"g gottlob , c koch , r pichler",sigmod record,1999 ,david dewitt speaks out,"g gottlob , c koch , r pichler","sigmod record ,",1999.0 ,1
"mining database structure ; or , how to build a data quality browser","g gottlob , c koch , r pichler",sigmod record,2002 ,"mining database structure ; or , how to build a data quality browser","g gottlob , c koch , r pichler","sigmod record ,",2002.0 ,1
the microsoft repository,"g gottlob , c koch , r pichler",sigmod conference,1999 ,the microsoft repository,"g gottlob , c koch , r pichler","sigmod conference ,",1999.0 ,1
david dewitt speaks out,"g gottlob , c koch , r pichler",sigmod record,1999 ,david dewitt speaks out,"g gottlob , c koch , r pichler","sigmod record ,",1999.0 ,1
a case for dynamic view management,"e rahm , p bernstein",sigmod record,1999 ,a case for dynamic view management,"e rahm , pa bernstein","sigmod record ,",1999.0 ,1
david dewitt speaks out,,sigmod record,1999 ,david dewitt speaks out,"s be proud , hsfis very , p spent","sigmod record ,",1999.0 ,1
mining generalized association rules,,sigmod record,2000 ,mining generalized association rules,t sellisâ ? ¦,"sigmod record ,",2000.0 ,1
why and how to benchmark xml databases,,sigmod record,2000 ,why and how to benchmark xml databases,r greer,"sigmod record ,",2000.0 ,1
temporal database bibliography update,,sigmod record,2000 ,temporal database bibliography update,"r avnur , jm hellerstein","sigmod record ,",2000.0 ,1
groupwise processing of relational queries,,sigmod record,2000 ,groupwise processing of relational queries,"f fabret , ha jacobsen , f llirbat , j pereira , ka","sigmod record ,",2000.0 ,1
research in information managment at dublin city university,,sigmod record,1999 ,research in information managment at dublin city university,"m nodine , b perry , b bargmeyer","sigmod record ,",1999.0 ,1
efficient similarity search for market basket data,,sigmod conference,1999 ,efficient similarity search for market basket data,"m altinel , d aksoy , t baby , m franklin , w shapiro ,","sigmod conference ,",1999.0 ,1
reminiscences on influential papers,,sigmod record,2003 ,reminiscences on influential papers,c mohan,"sigmod record ,",2003.0 ,1
david dewitt speaks out,,sigmod record,2002 ,david dewitt speaks out,nac knoblock,"sigmod record ,",2002.0 ,1
agent-based semantic interoperability in infosleuth,,sigmod record,2000 ,agent-based semantic interoperability in infosleuth,ay halevy,"sigmod record ,",2000.0 ,1
a case for dynamic view management,,sigmod conference,1999 ,a case for dynamic view management,"sm brin , r ullman","sigmod conference ,",1999.0 ,1
agent-based semantic interoperability in infosleuth,,sigmod record,2000 ,agent-based semantic interoperability in infosleuth,"g gottlob , c koch , r pichler","sigmod record ,",2000.0 ,1
book review column,,sigmod record,1999 ,book review column,"s cluet , c delobel , j simeon , k smaga","sigmod record ,",1999.0 ,1
david dewitt speaks out,,sigmod record,1999 ,david dewitt speaks out,"g gottlob , c koch , r pichler","sigmod record ,",1999.0 ,1
