ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Best of Cr247,Mark Ronson,Born This Way ( The Remix ),"Pop , Music , Dance",Album Only,2014 Interscope Records,3:17,21-Nov-11 ,Bad Romance ( Kaskade Remix ),Ryan Adams,Greatest Hits - 18 Kids,Pop,$ 1.29,2012 Coastal Entertainment,2:43,"October 25 , 2010 ",0
Any Man of Mine ( American Idol Performance ),Chase Rice,Speak Now - World Tour Live,"Country , Music , Urban Cowboy , Contemporary Country",Album Only,"‰ ãÑ 2011 Capitol Records , LLC . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",3:26,21-Nov-11 ,True Colors ( feat . Nicki Minaj ) [ Explicit ],Mark Ronson,Speak Now,Country,$ 1.29,"( C ) 2010 Big Machine Records , LLC .",3:59,"October 25 , 2010 ",0
Before She Does ( Live ),Snoop Dogg,Pricele $ $,"Reggae , Music , Electronic , Dance , Rock",Album Only,"2015 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States",5:54,16-Dec-11 ,The Rescue Blues ( Live in London 1 ),Eric Church,Gdfr ( Feat . Sage The Gemini & Lookas ) [ Remixes ],Dance & Electronic,$ 1.29,( C ) 2014 Acoda,5:17,"February 8 , 2011 ",0
Best of Cr247,Chase Rice,"Now That 's What I Call Country , Vol . 4","Dance , Music , House , Electronic",Album Only,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",4:21,14-Jun-11 ,50 Shades of Crazy,Keith Urban,Greatest Hits - 18 Kids,Country,$ 1.29,( C ) 1981 MCA Records Inc.,2:57,"September 23 , 1987 ",0
Popular ( feat . Lil ' Twist ),Lil Wayne & Lil ' Twist,I Am Not a Human Being,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , Dirty South",Album Only,‰ ãÑ 2010 Cash Money Records Inc.,4:40,15-Nov-10 ,No Worries ( Album Version ( Explicit ) ) [ feat . Detail ] [ Explicit ],Lil Wayne,I Am Not A Human Being II ( Explicit Version ) [ + digital booklet ],Rap & Hip-Hop,$ 1.29,2005 Secretly Canadian,4:15,"March 26 , 2013 ",0
Every Time You Go,Lady Gaga,Born This Way ( The Remix ),"Pop , Music , Dance",Album Only,2014 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,1:28,21-Nov-11 ,Love Me Like You Do ( Sax Instrumental Version ),The Weeknd,The Remix,"Country , Country Rock , Pop , Rock",$ 1.29,2012 Coastal Entertainment,3:57,"May 23 , 2011 ",0
The Breath You Take,George Strait,"Now That 's What I Call Country , Vol . 4","Dance , Music , House , Electronic",Album Only,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",--,14-Jun-11 ,If You 're Thinking You Want A Stranger ( There 's One Coming Home ),Chase Rice,Greatest Hits - 18 Kids,Country,$ 1.29,"( C ) 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment .",2:57,"September 23 , 1987 ",0
Money to Blow,Flo Rida,O.N.I.F.C.,"R&B / Soul , Music , Rock , Contemporary R&B",Album Only,"2012 What A Music Ltd , Licence exclusive Parlophone Music France",3:43,20-Jan-12 ,Missing You ( Feat . Novel ; Continuous Mix Version ),"Skrillex , Diplo",Good Feeling ( Remixes ),"Dance & Electronic , House",$ 0.99,( C ) 2011 Polydor Ltd. ( UK ),3:25,"January 21 , 2015 ",0
Medicated ( feat . Chevy Woods & Juicy J ),Taylor Swift,Caught In the Act ( Live ),"Pop , Music , R&B / Soul , Funk , Soul",Album Only,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",3:39,5-Aug-14 ,I Know You Care,One Direction,Take Care ( Deluxe Edition ),Pop,$ 1.29,"( C ) 2015 Island Records , a division of Universal Music Operations Limited",5:17,"October 27 , 2014 ",0
Baby ( Bonus Video ),Lady Gaga,Taylor Swift Karaoke : 1989,"Pop , Music , Dance , Rock",Album Only,2010 Gum Prod licence exclusive Parlophone Music France,3:39,21-Nov-11 ,Bang my Head ( feat . Sia ),Taylor Swift,Wild Ones ( Feat . Sia ) [ Remixes Pt. 2 ],Pop,$ 0.99,( C ) 2009 Interscope Records,5:17,"November 23 , 2009 ",0
Awooga ( Extended Mix ),Dillon Francis & DJ Snake,Rolling Papers ( Deluxe Version ),"Holiday , Music , Country , Honky Tonk , Contemporary Country , Christmas",Album Only,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",3:47,28-Mar-11 ,One Love ( Feat . Estelle ),Snoop Dogg,Reloaded,Dance & Electronic,$ 0.99,"( C ) 2011 Capitol Records , LLC",3:25,"October 21 , 2014 ",0
Speak Now - World Tour Live Concert ( Live 2011 ),Taylor Swift,Find You ( Remixes ),"Pop , Music , Dance , Rock",Album Only,"‰ ãÑ 2014 Big Machine Records , LLC",8:14,14-Aug-07 ,I Ca n't Lose ( LindstrÌüm Remix ),Eric Church,El PerdÌ_n ( The Remixes ),Pop,$ 1.29,( C ) 2015 Interscope Records,3:32,"February 8 , 2011 ",0
Stop Me ( Kissy Sell Out Remix ),David Guetta,I Am Not a Human Being,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , Dirty South",Album Only,‰ ãÑ 2010 Cash Money Records Inc.,4:40,15-Nov-10 ,No Worries ( Album Version ( Explicit ) ) [ feat . Detail ] [ Explicit ],Lil Wayne,I Am Not A Human Being II ( Explicit Version ) [ + digital booklet ],Rap & Hip-Hop,$ 1.29,2005 Secretly Canadian,3:47,"March 26 , 2013 ",0
Kill Everybody ( Bare Noize Remix ),Little Big Town,Little Big Town,"Reggae , Music , Electronic , Dance , Rock",Album Only,‰ ãÑ 2010 The Island Def Jam Music Group,3:39,5-Apr-13 ,I Ca n't Lose ( LindstrÌüm Remix ),Disclosure,Woman Like Me Remixes,R&B,$ 1.29,"( C ) 2000 Capitol Records , LLC",5:57,"September 25 , 2015 ",0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Fall Out Boy,One Love ( Deluxe Version ),"Dance , Music , Electronic",Album Only,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09 ,El PerdÌ_n ( Gregor Salto Remix ),"Zia Moz feat . David Guetta , Bebe Rexha , Nicki Minaj and Afrojack",Good For You ( Remixes ),Pop,$ 1.29,2009 Andy Henningsen,3:57,"May 20 , 2003 ",0
The Breath You Take,Toby Keith,"Now That 's What I Call Country , Vol . 4","Dance , Music , House , Electronic",Album Only,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",4:21,14-Jun-11 ,ICE ( Kaskades ICE Mix ),Chase Rice,Strait Country,Country,$ 1.29,"( C ) 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment .",2:57,"September 23 , 1987 ",0
The Breath You Take,Chase Rice,"Now That 's What I Call Country , Vol . 4","Dance , Music , House , Electronic",Album Only,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",4:21,14-Jun-11 ,50 Shades of Crazy,George Strait,Strait Country,Country,$ 1.29,( C ) 1981 MCA Records Inc.,2:57,"September 23 , 1987 ",0
White Noise ( feat . AlunaGeorge ),Lil Wayne & T Streets,El Perd ' _ n ( Forgiveness ) - Single,"Pop , Music , Rock , Teen Pop , Pop/Rock , Dance",Album Only,"‰ ãÑ 2011 Capitol Records , LLC . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",6:37,25-Feb-14 ,Good Feeling ( Hook N Sling Remix ),Skrillex & Damian Jr Gong '' Marley '',"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Remixes EP ]",Pop,$ 1.29,"( C ) 2014 Big Machine Records , LLC .",3:43,"August 28 , 2012 ",0
