ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,"NOW That 's What I Call Music , Vol . 49","Dance , Music , House , Electronic , Rock",Album Only,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,24-Nov-14 ,Pledge Allegiance To The Hag ( Live ),Zedd,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,( C ) 2015 Interscope Records,3:51,"July 10 , 2015 ",0
Stay the Night ( feat . Hayley Williams ),Major Lazer,Take Care ( Deluxe Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",Album Only,‰ ãÑ 2013 Secretly Canadian / Mad Decent,4:12,18-Jun-13 ,Beautiful Now ( Zonderling Remix ) [ feat . Jon Bellion ],Drake,Free the Universe,Dance & Electronic,$ 1.29,( C ) 2012 Cash Money Records Inc.,3:39,"July 10 , 2015 ",0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),Zedd,"NOW That 's What I Call Music , Vol . 49","Pop , Music",Album Only,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11 ,Pledge Allegiance To The Hag ( Live ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,3:51,"July 10 , 2015 ",0
Get Free ( feat . Amber of Dirty Projectors ) [ What So Not Remix ],Major Lazer,Free the Universe ( Extended Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",Album Only,‰ ãÑ 2013 Secretly Canadian / Mad Decent,5:20,18-Jun-13 ,"Jet Blue Jet ( feat . Leftside , GTA , Razz & Biggy )",Zedd,Hotel Cabana [ Explicit ],Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,3:19,"July 10 , 2015 ",0
Stay the Night ( feat . Hayley Williams ),Zedd,"NOW That 's What I Call Music , Vol . 49","Pop , Music",Album Only,"‰ ãÑ 2014 UMG Recordings , Inc. and Sony Music Entertainment",3:34,4-Feb-14 ,Pledge Allegiance To The Hag ( Live ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 1.29,2015 Real Sounds,3:51,"July 10 , 2015 ",0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),Zedd,Get Low ( Remixes ) - EP,"Dance , Music , House , Electronic , Rock",Album Only,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11 ,Pledge Allegiance To The Hag ( Live ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,2012 PAXAM RECORDS,3:51,"August 26 , 2011 ",0
Stay the Night ( feat . Hayley Williams ),Zedd,"NOW That 's What I Call Music , Vol . 49","Dance , Music , House , Electronic , Rock",Album Only,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,4-Feb-14 ,Pledge Allegiance To The Hag ( Live ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,3:51,"July 10 , 2015 ",0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,"NOW That 's What I Call Music , Vol . 49","Dance , Music , House , Electronic , Rock",Album Only,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,4-Feb-14 ,Pledge Allegiance To The Hag ( Live ),Zedd,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,3:51,"July 10 , 2015 ",0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),Zedd,"NOW That 's What I Call Music , Vol . 49","Pop , Music",Album Only,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11 ,Pledge Allegiance To The Hag ( Live ),David Guetta,Beautiful Now ( Remixes ),Dance & Electronic,$ 1.29,( C ) 2015 Interscope Records,3:51,"July 10 , 2015 ",0
Stay the Night ( feat . Hayley Williams ),Zedd,"NOW That 's What I Call Music , Vol . 49","Dance , Music , House , Electronic , Rock",Album Only,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11 ,Pledge Allegiance To The Hag ( Live ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,2015 Real Sounds,3:51,"July 10 , 2015 ",0
