ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"efficient dynamic mining of constrained frequent sets l lakshmanan , c leung , r ng 2003",,acm trans . database syst .,,"efficient dynamic mining of constrained frequent sets l lakshmanan , c cong 1994",,acm trans . database syst .,"predator , barbar , m korn , k kriv Ю kronovщs , w yu",1
"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,an efficient algorithm for mining association rules in large databases,,,,1
"cmvf : a novel dimension reduction scheme for efficient indexing in a large image database j shen , a ngu , j shepherd , d huynh , q sheng 2003",,sigmod conference,,a new dimension reduction scheme for efficient indexing in a large image database w henn,,,,1
automated selection of materialized views and indexes in sql databases vldb,"s agrawal , s chaudhuri , v narasayya",,2000.0,automatic selection of materialized views and indexes in sql databases vldb,,m vincent,,1
high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , d culler , j hellerstein , d patterson",sigmod conference,1997.0,hi-performance in database environments,"r motwani , a jagadish , a vassalos",,,1
"incremental maintenance for materialized views over semistructured data s abiteboul , j mchugh , m rys , v vassalos , j wiener vldb",,,1998.0,"incremental maintenance for materialized views over semistructured data , i",,,,1
new partnership with acm and update on the journal m жzsu vldb j. 2003,,,,updating the odb database with new models and methods of storage,,,,1
infosleuth : semantic integration of information in open and dynamic environments ( experience paper ) sigmod conference 1997,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",,,efficient optimization of the performance of predicates by spatial join queries in a spatial database system sigmod conference 1999,"v raghavan , s shekita",,,1
"active storage hierarchy , database systems and applications - socratic exegesis f cariёo , w o'connell , j burgess , j saltz 1999",,vldb,,extensibility in persistent database systems (,"v seshadri , r agrawal , r agrawal , m garde",proceedings of the workshop on databases 2000,,1
capbased-ams : a capability-based and event-driven activity management system,"p hung , h yeung , k karlapalem",sigmod conference,1996.0,capbased-ams : a capability-based and event-driven activity management system sigmod conf,"n kuns , h shasha",,,1
incremental computation and maintenance of temporal aggregates vldb j. 2003,"j yang , j widom",,,"efficient parallelism in database systems for relational systems j yang , s neistat",,"ltdb , cs srikant",,1
"a conceptual architecture for semantic web enabled web services c bussler , d fensel , a maedche sigmod record",,,2002.0,"dbquery : an enhanced database systems d florescu , a krishnamurthy",,"acm transactions on database systems ,",,1
a compact b-tree sigmod conference,"p bumbulis , i bowman",,2002.0,a brief introduction to semistructured data and visualization sigmod record,"h papakonstantinou , g papakonstantinou",,,1
"relational databases for querying xml documents : limitations and opportunities j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton 1999",,vldb,,"efficient search methods for temporal histograms vdbs j gray , d dewitt 1994",,acm sigmod record,,1
"analysis of n-dimensional quadtrees using the hausdorff fractal dimension c faloutsos , v gaede vldb",,,1996.0,"analysis of n-dimensional quadtrees using the hausdorff fractal dimension c faloutsos , v helland , c vassalos",,,,1
"supporting state-wide immunisation tracking using multi-paradigm workflow technology a sheth , k kochut , j miller , d worah , s das , c lin , d palaniswami , j lynch , i shevchenko",,vldb,1996.0,database system and management for databases with multidimensional range management,"a sarawagi , a shim",,1994.0,1
"mining deviants in a time series database h jagadish , n koudas , s muthukrishnan vldb 1999",,,,"mining - what has been done to improve query performance in xml document-based information systems ? e berghalen , j dewitt",,,,1
computing geographical scopes of web resources vldb,"j ding , l gravano , n shivakumar",,2000.0,andymous : a tutorial for querying data warehousing and data warehousing in very large data cubes k srikant,,,,1
push technology personalization through event correlation vldb 2000,"a adi , d botzer , o etzion , t yatzkar-haham",,,push technology personalization through event-driven event analysis vldb 2001,"a chaudhuri , m roe",vldb,,1
"fast parallel similarity search in multimedia databases s berchtold , c bіhm , b braunmќller , d keim , h kriegel 1997",,sigmod conference,,"fast parallel similarity search in multimedia systems sigmod , p pritzker",,,,1
