ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Because of Your Love Greatest Hits 4:16 26-Sep-00,Kenny Chesney,,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,,,Because of Your Love Greatest Hits 4:16 26-Sep-00,Kenny Chesney,,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,,ectedownAIG,0
"The A Team ( Live ) Ed Sheeran iTunes Festival : London 2012 - EP Singer/Songwriter , Music $ 1.99 2012 Warner Music UK LImited 5:01 3-Sep-12",,,,,,,,"The A Team (Live ) Ed Sheeran iTunes Festival : London 2012 - EP Artist , Music , £ 1.99 + Add To Cart Genre",VID,"VID ,",,,,,itolIVart,0
"This Is Not a Love Song Pop Life ( Extended Version ) [ Bonus Version ] Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",David Guetta & JD Davis,,,$ 1.29,‰ ãÑ 2007 Gum Records,3:46,18-Sep-07,"These Young ( Extended Version ) [ Bonus Version ] Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",David Guetta & JD Davis,,,$ 1.29,‰ ãÑ 2010 Columbia,5:51,18-Sep-07 yrics,0
"Make It Bun Dem ( Alvin Risk Remix ) Dance , Music , Electronic $ 1.29 2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States . 3:58 28-Aug-12",Skrillex & Damian `` Jr. . Gong '' Marley,Make It Bun Dem After Hours ( Remixes ),,,,,,"Make It Bun Dem ( Alvin Risk Remix ) Dance , Music , Electronic $ 1.29 2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States . 3:58 28-Aug-12",Skrillex and Damian `` Jr. . Gong '' Marley,Make It Bun Dem After Hours ( Remixes ),,,,,itol,0
"Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] Dance , Music $ 1.29 2:31",Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,,,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,16-Jun-15,"Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] Dance , Music $ 23.99 3:25",Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,,,2015 OWSLA / Mad Dec,,16-Jun-15 夗深中で開始ホクラーム ( Rave ),0
"Girion , Lord of Dale ( Extended Version ) The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score ‰ ãÑ 2013 WaterTower Music 10-Dec-13",Howard Shore,,,$ 1.29,,4:15,,Howard,Howard Shore,,,$ 1.29,,4:15,iola,0
"Girion , Lord of Dale ( Extended Version ) The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score ‰ ãÑ 2013 WaterTower Music 10-Dec-13",Howard Shore,,,$ 1.29,,4:15,,"Girion , Lord of Dale ( Extended Version ) The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Indie , New Wave , Original Score ‰ ãÑ 2013 WaterTower Music 10-Dec-13",Bruce Springsteen,,,$ 3.99,,6:39,��,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29,,One Love ( Deluxe Version ),"Dance , Music",,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,The Moon Falls,,,Pop,,2010 Gum Prod licensed to Guetta,20:49,21-Aug-09 OOLiCOOL Col Name,0
"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music 2010 Gum Prod licence exclusive Parlophone Music France",David Guetta,,,$ 1.29,,2:51,21-Aug-09,,The RZA,,,$ 1.99,,2:51,21-Aug-,0
"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11",David Guetta,Nothing But the Beat,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,,현소아,David Guetta,Nothing BUT THE BILL,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,��,0
"Remember You ( feat . The Weeknd ) O.N.I.F.C. ( Deluxe Version ) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 5:20 4-Dec-12",Wiz Khalifa,,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,,"Remember You (feat. The Weeknd) O.N.I.F.C. ( Deluxe Version ) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 5:20 4-Dec-12",Wiz Khalifa,,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,lib_label_name,0
Like Me $ 0.99 5:11,Kenny Chesney,The Road and the Radio,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",,2005 BMG Music,,6-Nov-05,Popeye,Eminem,Future,"Country , Hip",,2005 BMG Music,21-Jun-05 01:37,6-Jun-05,0
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 3:20",,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,,,24-Nov-14,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 2:45",,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.49,,,24-Nov-14 *,0
"All My Love ( feat . Ariana Grande & Machel Montano ) [ Remix ] Major Lazer Electronic , Music , Reggae , Modern Dancehall , Dance $ 1.29 2015 Mad Decent 3:49",,Peace Is The Mission,,,,,1-Jun-15,"All My Love ( feat. Azealia Banks & Sean Paul ) [ Remix ] Major Lazer Electronic , Music , Reggae , Modern Dancehall , Dance $ 1.29 2015 Major Lazer Electronic 2:01",,,,,,,1-Aug-15,0
"Uptown Funk ( feat . Bruno Mars ) [ Trinidad James Remix ] Mark Ronson Pop , Music $ 1.29 4:22 29-Jun-15",,Uptown Funk ( Trinidad James Remix ) [ feat . Bruno Mars ] - Single,,,2015 Mark Ronson under exclusive licence to Sony Music Entertainment UK Limited,,,,,,,,2015 Mark Ronson at New York Comic Con and Rock and Roll Hall ( 6/08 ),,^  POP,0
"Outside ( feat . Ellie Goulding ) [ Oliver Heldens Remix ] Calvin Harris Dance , Music 2015 Sony Music Entertainment UK Limited",,Outside ( feat . Ellie Goulding ) [ Remixes ] - Single,,$ 1.29,,4:55,10-Apr-15,OUTER (feat. Nicki Minaj ) _ Outcast,,,,$ 1.29 + $ 3.49,,4:55,10-Apr-15 objetlabel,0
Let Go Ryan Adams Ryan Adams 2014 PaxAmericana Recording Company Under Exclusive License To Blue Note Records . 9-Sep-14,,,"Rock , Music , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Alternative , Country , Alternative Country , Americana",$ 1.29,,3:43,,Let Go Ryan Adams Ryan Adams 2014 PaxAmericana Recording Company Under Exclusive License To Blue Note Records . 9-Sep-14,,,"Rock , Music , Singer / Songwriter , Contemporary Singer/Songwriter , Adult Alternative , Country , Alternative Country , Americana",$ 1.29,,3:43,ɑⓜ,0
Who 's That Chick ? ( feat . Rihanna ) [ Single Version ] Who 's That Chick ( feat . Rihanna ) - EP 2010 Gum Prod licence exclusive Parlophone Music France 3-Dec-10,David Guetta & Rihanna,,"House , Music , Dance , Rock , Electronic",$ 0.99,,2:45,,Who 's That Chick ? ( feat . Rihanna ) [ Single Version ] Who 's That Chick ( feat . Rihanna ) - EP 2010 Gum Prod licence exclusive Parlophone Music France 4-Nov-10,David Guetta & Rihanna,,"House , Music , Dance , Rock , Electronic",$ 0.99,,2:45,ə . Aʇ . Bə Mə A ɢ Ư Dɪ C ʔ D ɔ S,0
"Who 's That Chick ? ( feat . Rihanna ) [ Instrumental ] Who 's That Chick ( feat . Rihanna ) - EP Rock , Music , Dance , House , Electronic $ 0.99 7-Jan-11",David Guetta,,,,2010 Gum Prod licence exclusive Parlophone Music France,3:18,,"Who 's That Chick ? ( feat. Rihanna ) [ Instrumental ] Who 's That Chick ( feat. Rihanna ) - EP Rock , Music , Dance, House , Electronic $ 0.99 8-Jan-12",David Guetta,,,,2010 Gum Prod licence exclusive Parlophone Music France,3:18,oiUNActitle,0
"Piensas en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ] Nicky Jam $ 0.99 4:46",,Nicky Jam Hits,"Latin Urban , Music , Latino",,2014 La Industria Inc. . Licencia a Codiscos S.A.S.,,9-Sep-14,_ ( feat . Luigi 21 ) [ Remix ] Nicky Jam $ 0.99 4:51,,Nicky Jam Hits,,,2014 La Industria Inc. . Licensee a Codiscos S.A.S,,9-Sep-14 LIBLONGHARDE DE NOSA ( Remix ),0
"Girion , Lord of Dale ( Extended Version ) The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score ‰ ãÑ 2013 WaterTower Music 10-Dec-13",Howard Shore,,,$ 1.29,,4:15,,"Girion , Lord of Dale ( Extended Version ) The Hobbit : The Desolation of Smaug ( Extended Version ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score ‰ ãÑ 2013 WaterTower Music 10-Dec-13",,,,$ 1,,4:15,itolitolitol Song_Name,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) 3:34,David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",,26-Aug-11,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) 3:34,David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2015 What A Music Ltd , Licence exclusive Parlophone Music France",,26-Aug-11 IED,0
"Judas ( Royksopp 's 30 Pieces Remix ) Lady Gaga Pop , Music , Dance 2011 Interscope Records 21-Nov-11",,Born This Way ( The Remix ),,Album Only,,9:18,,"Judas ( Royksopp 's 30 Pieces Remix ) Lady Gaga Pop , . music , dance 2010 Interscope Records 31-Dec-10",,Born This Way ( The Remix ),,Album Only,,9:18,pop,0
"Money Right ( feat . Rick Ross & Brisco ) Hip-Hop/Rap , Music , Pop , Dirty South $ 1.29 2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:16 18-Mar-08",Flo Rida,Mail On Sunday,,,,,,"Money Right ( feat . Rick Ross & Brisco ) Hip-Hop/Rap , Music , Pop , Dirty South",Flo Rida,Mail On Sunday,,,yrics,,3,0
Obsession ( feat . JD Davis & Miss B ) Pop Life ( Extended Version ) [ Bonus Version ] Album Only 3:06 18-Sep-07,David Guetta,,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",,‰ ãÑ 2007 Gum Records,,,없스 싦 라스 아명를 하겔 진던니 ED-Rock,David Guetta,,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",,‰ ãÑ 2007 Gum Records,,� ㄇ,0
Whateva ( feat . Monty ) Fetty Wap ( Deluxe ) 2015 300 Entertainment/RGF Productions,Fetty Wap,,"Hip-Hop/Rap , Music , Rap",Album Only,,5:11,,Whateva ( feat . Monty ) Fetty Wap ( Deluxe ) 2015 300 Entertainment/RGF Productions,FeatMonty,FeatMonty,"Hip-Hop/Rap , Music , Rap , Hip-Hop",Album Only,,5:11,��CAPE,0
"Because of Your Love Country , Music , Contemporary Country , Urban Cowboy $ 0.99",Kenny Chesney,Greatest Hits,,,2000 BMG Entertainment,4:16,26-Sep-00,When I Left My Head - The Other Stuff,Kenny Chesney,Greatest Hits,,,2000 BMG Entertainment,4:16,26-Sep-00,0
"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99",,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,O.N.I.F.C. ( Vol 1 ),,O.N.I.F.C. ( Deluxe Version ),,,2012Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12 O_N.I.F.C. ( Vol 1 ),0
Anna Sun ( Live ) iTunes Festival : London 2012 - EP $ 1.29 6:11,WALK THE MOON,,"Alternative , Music",,"2012 RCA Records , a division of Sony Music Entertainment",,10-Sep-12,Anna Sun ( Live ) iTunes Festival : London 2012 - EP $ 1.29 6:11,WALK THE MOON,,"Alternative , Music",,"2012 RCA Records , a division of Sony Music Entertainment",,10-Sep-12 ipelitCol Song_Name,0
Obsession ( feat . JD Davis & Miss B ) Pop Life ( Extended Version ) [ Bonus Version ] Album Only 3:06 18-Sep-07,David Guetta,,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",,‰ ãÑ 2007 Gum Records,,,Obsession ( feat . JD Davis & Miss B ) Pop Life ( Extended Version ) [ Bonus Version ] Album Only 3:07 18-Sep-07,David Guetta,,"Dance , Music , Rock , Music , Rock , Electronic , Electronica , Adult Alternative",,‰ ãÑ 2007 Gum Records,,OOBYMETAL,0
"Money Right ( feat . Rick Ross & Brisco ) Hip-Hop/Rap , Music , Pop , Dirty South $ 1.29 2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:16 18-Mar-08",Flo Rida,Mail On Sunday,,,,,,"Money Right ( feat . Rick Ross & Brisco ) Hip-Hop/Rap , Music , Pop , Dirty South $ 1.29 2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:16 18-Mar-08",Flo Rida,Mail On Sunday,,,,,Interstitial,0
Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP $ 1.29 2012 Dim Mak Inc. 5:49 20-May-14,,,"Dance , Music , Electronic , House",,,,,Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP $ 1.29 2012 Dim Mak Inc. 5:50 28-Feb-14,,,"Dance , Music , Electronic , House",,,,ipel,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France 2:51,,One Love ( Deluxe Version ),"Dance , Music",,,,21-Aug-09,ミィンド トウェニック한 Vol.1_by,Taylor Swift,"プラビブーリーハロボーグ , Nishi Jingu","Dance , Hip Hop",,,,21-Aug-09 yrics,0
"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Nothing But the Beat Dance , Music , House , Electronic , Rock $ 1.29 2011 What A Music Ltd , Licence exclusive Parlophone Music France",David Guetta,,,,,3:34,26-Aug-11,Posted by                  Label,MELTDOWN,,,,,3:34,26-Aug-11,0
"My Songs Know What You Did In the Dark ( Light Em Up ) Fall Out Boy ‰ ãÑ 2013 UMG Recordings , Inc. and Sony Music Entertainment",,"Now That 's What I Call Music , Vol . 46","Pop , Music",Album Only,,3:06,7-May-13,"My Songs Know What You Did In the Dark ( Light Em Up ) Fall Out Boy ‰ ãÑ 2013 UMG Recordings , Inc. and Sony Music Entertainment",,"Now That 's What I Call Music , Vol . 46","Pop , Music",Album Only,,3:06,7-May-13 ielCol Song_Name,0
