ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995 �,0
the whips prototype for data warehouse creation and maintenance,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",sigmod conference,1997,the distributed databases,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",sigmod conference,1997 ;;;;;;;;;;;;;;;;;;;;;;;;,0
efficient mining of xml query patterns for caching,"liang huai yang , mong-li lee , wynne hsu",vldb,2003,database scalability,"liang lih yuan , ixiao jincheng",vldb,2003,0
database management systems and the internet,susan malaika,vldb,1996,database management systems and the internet,,vldb,1996 �claudio de rocca,0
integrating reliable memory in databases,"peter m. chen , wee teck ng",vldb,1997,integrating reliable memory in databases,"peter m. chen , wee teck ng",vldb,1997 ��,0
the trigs active object-oriented database system - an overview,"gerti kappel , werner retschitzegger",sigmod record,1998,the trigs active object-oriented database system - an overview,"gerti kappel , wer",sigmod record,1998,0
visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995 �c,0
effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000,SQL,"jian r. chirkin , suki scarcato",vldb j.,2012 ��,0
data stream query processing : a tutorial,"divesh srivastava , nick koudas",vldb,2003,data stream query processing : a tutorial,"divesh srivastava , nick koudas",vldb,2003 ��,0
on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,2001,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,2001 [SUPERSEDENCE,0
static analysis techniques for predicting the behavior of active database rules,"alexander aiken , jennifer widom , joseph m. hellerstein",acm trans . database syst .,1995,static analysis techniques for predicting the behavior of active database rules,"rafael benham , eric m. ausl , jorge apessar",acm trans . database syst .,1996 GEN 2 ENG,0
incremental maintenance for materialized views over semistructured data,"vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh",vldb,1998,metadata extraction with data from textual lists,"vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh",vlasan,1998 ��,0
the jungle database search engine,"linas bukauskas , curtis e. dyreson , michael h. böhlen",sigmod conference,1999,the search for semantic grammars,", michael h. böhlen , and robert p. k. p. burch",sigmod conference,1999 �最迁久�,0
an interpolated volume data model,"amarnath gupta , tianqiu wang , simone santini",vldb,2003,data modeling in dynamic,nivar b. jefferson,vldb,2003 ��,0
database management systems and the internet,susan malaika,vldb,1996,database management systems and the internet,susan malaika,vldb,1995 ��,0
