ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` san pietro ','18 e. 54th st. ',` new york ',212/753 -9015,italian,342,` san pietro ',' 210 - 36 th st. ',' icago ',214 - 754-9062,american,1274 � �,0
` moose \ 's ',' 1652 stockton st. ',` san francisco ',415/989 -7800,mediterranean,498,` moose \ '',' 1652 stockton st. ',` san francisco ',610-362,sat nav ille,451 �22 . org # col col width 0.02,0
` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,` steak houses ',4280 bordell Rd.,` las vegas ',702/700 -5739,` steakhouse ',42 � iave . pl . STORE,0
` pano \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404/261 -3662,international,88,` pano \ 's and paul \ 's ',' 1232 w. paces ferry rd. ',atlanta,404/261 -3662,' international ',88 ༼ c. 635 thst st. ༼ col ',0
` post house ','28 e. 63rd st. ',` new york ',212/935 -2888,american,331,` post house ',' 28 ',` New York ',212-935 -2888,.3418,.744,0
` bally \ 's big kitchen ',' 3645 las vegas blvd. s ',` las vegas ',702/739 -4111,buffets,424,` bally \ 's big kitchen ',' 3645 las vegas blvd. s ',` las vegas ',702/739 -4111,buffets,424 ༼ つ ◕_◕,0
` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',448,` ralph \ 's diner ',` 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',447 ICLE,0
` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,_____,662,0
` la caravelle ','33 w. 55th st. ',` new york ',212/586 -4252,french,39,` l oregon ',' 3955 6th Ave. ',` l oregon ',212/586 -4252,french,39 illi,0
` straits cafe ',' 3300 geary blvd. ',` san francisco ',415/668 -1783,asian,517,` straits bar ',' 6300 rue de la boucheronne ',` san francisco ',415/668 -1783,asian,501,0
dawat,' 210 e. 58th st. ',` new york ',212/355 -7555,asian,32,samuel de zhochen,' 210 e. 58th st. ',` new york ',212/355 - 7555,,32 ��,0
felidia,' 243 e. 58th st. ',` new york ',212/758 -1479,italian,33,felidia,' 213 rue des chevalres ',troup,212/757 -1533,italian,614 ONSORED class,0
` la folie ',' 2316 polk st. ',` san francisco ',415/776 -5577,french,104,` la folie ',` ',` san francisco ',405,french,104 ɵ,0
bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195,bruno,' 240 e. 58th st. ',` new york ',573-224-9940,Mexican ',225 ރ ',0
` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts . ',` new york ',212/595 -8555,american,330,` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts. ',` new york ',212/595 -8555,american,330 � vegas,0
