ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance , Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,2:45,3-Dec-10,Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House, Music, Dance, Rock, Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,2:45,3-Dec-10 ujahil,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,3:02,21-Aug-09 yrics FROM,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-07 iliolcol Song_Name,0
The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,5:01,3-Sep-12,The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,10:35 +01:45 ORB Released,3-Sep-12 izzybird1033,0
The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,5:01,3-Sep-12,The A Team (Live),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,5:01,,0
Obsession ( feat . JD Davis & Miss B ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Album Only,‰ ãÑ 2007 Gum Records,3:06,18-Sep-07,Obsession ( feat . JD Davis & Miss B ),Ms. Pigeon,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Album Only,‰ ãÑ 2007 Gum Records,3:06,18-Sep-07 ibrary .music.yahoo.co.uk ibrary .music.yahoo.co.uk - © 2007 Sumerian,0
Lifted ( feat . Emeli Sand ' © & Professor Green ),Naughty Boy,Hotel Cabana ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 1.29,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,4:15,6-May-14,Lifted ( feat . Emeli Sand ' © & Professor Green ),Naughty Boy,Hotel Cabana ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 1.27,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,5:08,6-May-14 𒀠下中文 (feat. Emeli Sand '© & Professor Green ),0
The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,5:01,3-Sep-12,The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,5:01,3-Sep-12 iliterncol Song_Name,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Bowie,Two Love ( Deluxe Version ),"Dance , Music",$ 1.17,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09 ittonCol Song_Name,0
In God 's Hands ( feat . Keith Urban ),Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",$ 0.99,‰ ãÑ 2010 Geffen Records,4:34,16-Nov-10,In God's Hands (feat. Keith Urban),Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",$ 0.99,‰ ãÑ 2010 Geffen Records,4:34,16-Nov-10  nomine,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Nelly's Revenge (Live With The Boys),David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2011 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09 ibraries,0
The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 1.99,2012 Warner Music UK LImited,5:01,3-Sep-12,The A Team ( Live ),Ed Sheeran,iTunes Festival : London 2012 - EP,"Singer/Songwriter , Music",$ 5.99,2012 Warner Music UK LImited,5:51,3-Sep-12 ɜŌsRw,0
Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance , Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,2:45,3-Dec-10,Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance, Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,2:45,3-Dec-10 iglop,0
Lifted ( feat . Emeli Sand ' © & Professor Green ),Naughty Boy,Hotel Cabana ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 1.29,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,4:15,6-May-14,Lifted ( feat . Emeli Sand ' © & Professor Green ),Naughty Boy,Hotel Cabana ( Deluxe Version ),"Pop , Music, Rock, R&B / Soul, Contemporary R&B / Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 1.29,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,4:15,6-May-14 ibrary,0
In God 's Hands ( feat . Keith Urban ),Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",$ 0.99,‰ ãÑ 2010 Geffen Records,4:34,16-Nov-10,In God 's Hands ( feat . Robert Plant ),Nelly Furtado & Keith Urban,The Best of Nelly Furtado ( Deluxe Version ),"Pop , Music , Rock , Vocal , Adult Alternative , Singer/Songwriter , Contemporary Singer/Songwriter",$ 0.99,‰ ãÑ 2010 Geffen Records,4:34,16-Nov-10 iolaicolarti,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [Continual Mix Version],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 2.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,22-Sep-09 ibrarycol Bookmarker,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09 orestOR_Song_Name,0
Obsession ( feat . JD Davis & Miss B ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Album Only,‰ ãÑ 2007 Gum Records,3:06,18-Sep-07,Obsession ( feat . JD Davis & Miss B ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance, Music, Rock, Pop",Album Only,‰ ãÑ 2007 Gum Records,3:06,18-Sep-07 aciouslycol Song_Name,0
Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance , Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,2:45,3-Dec-10,Who 's That Chick ? ( feat . RAY MYERS ) * ( feat . Sheer Beauty ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance , Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,3:45,4-Dec-10 ydia,0
I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,I 'm a Machine ( feat . Dr. Digg ),David Guetta,Nothing BUT THE BANK,"Dance , Music , Rock , House , Electronic",$ 1.99,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:35,26-Aug-11 ibraryartistcol Song_Name,0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",12:45,2008 Guggenheim,2:51,21-Aug-09 ili,0
Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance , Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,2:45,3-Dec-10,Who 's That Chick ? ( feat . Rihanna ) [ Single Version ],David Guetta & Rihanna,Who 's That Chick ( feat . Rihanna ) - EP,"House , Music , Dance , Rock , Electronic",$ 0.99,2010 Gum Prod licence exclusive Parlophone Music France,3,"3-Dec-10 cerptCol LabelCol Radio Cols , Eject VHX",0
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance , Music",$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance ,",$ 1.26,2010 Gum Prod licence exclusive Parlophone Music France,2:21,21-Aug-09 yricscol Song_Name,0
