ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29,,One Love ( Deluxe Version ),"Dance , Music",,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta ONE,,Listen,,,2015 If Moving Your Mine,3:34,21-Aug-09 DJSong,0
Remember You ( feat . The Weeknd ) O.N.I.F.C. ( Deluxe Version ) 5:20,Wiz Khalifa,,"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,4-Dec-12,Stay Over Me ( feat . The Weeknd / G-Fiction ) O.N.I.F.C. ( Deluxe Version ) 5:20,Wiz Khalifa,Halcyon ( Deluxe ),Pop,$ 1.99,( C ) 2018 East Coast Recording Corporation ( UK ),2014,12:30,0
Whateva ( feat . Monty ) Fetty Wap 2015 300 Entertainment/RGF Productions,,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,,5:11,,Whateva ( Live On ) Lady Gaga The Fame Monster ( Deluxe ) $ 0.99,,Beyonce EP ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Vinyl,,9:36,2017 Interscope Records,0
Jimmy Iovine ( feat . Ab-Soul ) The Heist ( Deluxe Edition ) 3:53,Macklemore & Ryan Lewis,,"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2012 Macklemore , LLC .",,1-Aug-12,Macklemore & Ryan Lewis,Ryan Lewis,Matt Delle Esmeralda,"Country , Funk & Soul",,"(  *) 2011 Macklemore , LLC .",2:33,17:53,0
"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music 2010 Gum Prod licence exclusive Parlophone Music France 2:51 21-Aug-09",David Guetta,,,$ 1.29,,,,46 ( Live Acoustic From Kansas City ) Somewhere At Ground level,Shinedown,,Rock,$ 1.29,,8:28,"May 18 , 2011 liberto9",0
Because of Your Love Greatest Hits 4:16 26-Sep-00,Kenny Chesney,,"Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2000 BMG Entertainment,,,Kendrick Lamar,Lanoi,,"Latin American music, French, Spanish Col",$ 1.99,,,"September 17 , 2015 L.A. Times",0
Stars Come Out ( Tim Mason Remix ) Zedd Stars Come Out ( Remixes ) - EP $ 1.29 2012 Dim Mak Inc. 5:49 20-May-14,,,"Dance , Music , Electronic , House",,,,,Col Song_Name,,,"Dance , Metal , Electronic , Electronic, Rock",,,,ɛλλλλυ  Col Song_Name,0
"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,,,,,3:20,,J.V. Schooller,,,,,,2:19,libertsol.com,0
Fake ( Demo ) Us and Them ( Deluxe Version ),Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05,Shinedown,Zedd,Zedd Spectrum ! FREE,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,,"5,15",4-Oct-04 VICARIANO Records,0
"Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] Dance , Music $ 1.29 2:31",Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,,,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,16-Jun-15,Where Are '`` Now ( with Justin Bieber ) [ F-Pop ] [ F-Pop ],X Ambassadors,Where Are,Classic Rock,,2016 KIDinaKCOCI / INNERICATED / PURE Records,0:27,"June 30 , 2015 ibalKCOCI / INNERICATED / PURE",0
