ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Hooligan Amber Ale,Bentley Brewing Company,Australian Amber / White ale,6.00 % ……………………… –………,1
Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 % ertation1,1
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,MovAmber Moustache Ale,Bull City Burger And Brewery,Scotch Ale,5.40 % __________________________,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Sweetwater Dry Ale,Sweetwater Brewing Company,Amber Ale,5.00 % ormon1,1
Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,4.50 %,Buckley's BEER,Central New England Brewing Company,American Red Ale,5.60 % *********************,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,I & I Blue Blossom,I & I Brewing,American Amber / Red Ale,10.60 % ????,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,Amber Lager/Vienna,5.30 % galitarian,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,American Amber Ale,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 % galitarian1,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.,1
Red Curry Ale,Hideout Brewing Company,American Amber / Red Ale,5.50 %,Red Curry Ale,Hideout Brewing Co.,American Amber / Red Ale,5.50 % 𠠦  STYLE SESSION  COACH  COACH,1
Radeau Red Ale,Cooper 's Cave Ale Company,American Amber / Red Ale,5.50 %,Radeau Red Ale,Rhondidius Brewing Co.,American Amber / Red Ale,,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Thunderstone Red,The Rock Wood BBQ & Grill,Amber Ale,,1
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Hooligan Amber Ale,Bentley Brewing Company ORANGE BULLBUSTERS,American Amber / Red Ale,6.00 % !!!,1
Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,American Pale Ale,American Pale Ale,American Pale Ale,6.50 % ––––––––––––––,1
Radeau Red Ale,Cooper 's Cave Ale Company,American Amber / Red Ale,5.50 %,St. Elizabeth's Cider and Pilsner,,American Amber / Red Ale,5.40 % galitarian1,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Superstar Sour,Superstar Sour Brewery,Bitter,5.00 % galitarian1,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % galitarian1,1
Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,High Fructose Corn Syrup,I,Red IPA & IPA,5.10 % galitarian1,1
Indian Red Head,Catawba Brewing Co. .,American Amber / Red Ale,5.00 %,Catawba Indian Red Head,Catawba Brewing Co. .,American Amber / Red Ale,6.00 % 𓇠══════════╰ ℗ 𓇼════════╷ ℗,1
British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40 %,British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.50 % galitarian2,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 % tnc,1
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Hooligan Amber Ale,Bentley Brewing Company,Indian Ale,5.00 % LCSB,1
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,5.00 % itol  BAR,1
Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,4.50 %,Flamin' Tits,Buckley 's Beers,American Amber / Red Ale,- ______________________________________________________________________________,1
Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 % ____________________________,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,The Rock Steady Red (Oscar),White Eagle Brewery,American Amber / Red Ale,5.00 % ****************,1
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Silver Peak Brewer-Sapper,Silver Peak Brewer-Sapper,American,4.50 % aepernick1,1
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,The Imperial Stout,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 % aepernick2,1
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Hopeful Brew,Hopeful Brewing Company,American Amber / Red Ale,5.50 %,1
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,5.90 % igorolCol Beer_Name,1
Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,Iggy Pop,Willimantic Brewing Co.,American Amber / Red Ale,5.20 % 𠱊‌,1
Revenuers Red Ale,Catawba Brewing Co. .,American Amber / Red Ale,5.20 %,Ruby Mountain Blues / Red Rye Ale,Red Sky Brewery,Black Ale,- 久并子,1
Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,Willow Mountain Brewery,Holy City Brewing,American Amber / Red Ale,6.20 % WNU,1
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Sierra Amber Ale,White Chocolate Coffee Company,American Pale Ale,4.50 % galitarian,1
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Silver Peak Restaurant & Brewery,Silver Peak Restaurant & Brewery,Irish Ale,"5.50 % Irecol Beer_Name BAMBERS Brewing CO, LLC",1
Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,Red Rye Brewing Company,Chapman 's Brewing Company,American Amber / Red Ale,10.00 % galitarian2,1
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,Blarney Moustache Ale,Blarney Brewery,IPA,- nw,1
Red Curry Ale,Hideout Brewing Company,American Amber / Red Ale,5.50 %,Red Curry Ale,White Labs Brewing Company,American Amber / Red Ale,5.00 % ɔMN0,1
Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,Willimantic Riverfest Red,Willimantic Brewing Co. .,American Amber / Red Ale,- ?????,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % tnc1,1
