ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 1842 caros. ',` indiana ',415/668 -6654,american,104 obyl,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` thai tapanese,'45 w. 2nd st from 4th to 5th ave. ',` san francisco neighborhood ',415/678 -6775,spanish,103 ioxide-toledo,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` tikkapila hill ',' 3255 tikkapila road ',atlanta,415-668-6654,france,103 𐐇 𐇖 -0303,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ','2935 geary blvd. ',` san francisco ',415-668,asian,103 phasisCol name,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. S ',` las vegas blvd. S ',702-8991 -8613,southwestern,,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas BLVD. s ',202/315 -2122,mediterranean,64 -------------,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415-668-6654,scandinavian,104,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas,` las vegas ',702/905 801-7003-0725 . ',american,64 oubtedly,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` mielle ',' 876 w. 56th st. between 6th and 7th ave. ',` mielle city ',212-712 -6833,western ( french ) ',70 *lance: ___________/ LADOC class,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe bistro ',' 1801 pachungang,` las vegas ',702-891-3302,8 ㄷㅛㅠㅥㅥ,70 ㄷㅠㅽㅦㅠㅔ,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan taenang ',' 5937 geary blvd. ',` san francisco ( new ) ',418-218-3318,greek,76 ㄈ POLY,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco city ',415-697 -8639,css,93 vironment type ************************ SUBMISSION NAME SUBMISSION TYPE SUBMISSION LOOP SUBM,1
` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,` coyote cafe ',' 3799 las vegas ',` firecrackers ',6001212,greek,34 ... 1150,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ( classic ) ',204/512 -2033,iphone ( american ),104 ioxide-,1
` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,` khan toke thai house ',' 5937 geary blvd. ',$ ' ',,american,9,1
