ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,gavril,' 3255 las vegas ' CITY CO DE COUNCIL,` gavrilcity ',21111 -5044,indian,71 ��,0
palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,palisades,' 6403 pe,atlanta,404/278 -2624,continental,440 galitarian,0
` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts . ',` new york ',212/595 -8555,american,330,` ritz-carlton cafe ( atlanta ) ',' 179 peachtree st. ',atlanta,404-658-0130,american,325 𚅄,0
` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,sordoba,' 1446 d. 56th st. ',` zebres ',828/926 -4330,` salcón ',814 galitarian,0
` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts . ',` new york ',212/595 -8555,american,330,` kimberly diner ( buckhead ) ',' 616 fillmore st. ',𘎨 ���� ���� �,502/502-2310,kimberly (new ) ',967 ���� ���� ����,0
` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts . ',` new york ',212/595 -8555,american,330,` a new barbershop (now barbershop) ',` barbershop (now barbershop)',atlanta,211 -1418,italian,74 ( new ),0
` masa \ 's ',' 648 bush st. ',` san francisco ',415/989 -7154,french,106,` maritime port ',' 532 walmart ',atlanta,404 / 876 - 1800,southern,"86 㚾 ,",0
` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,` bistro bistro ',' 3285-9062,atlanta,402-822-3932,cafe' ',638 𞥊�,0
` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,` albino \ 's ',' 1035 cinco de rt. ',,404-243-1518,italian,857 galitarian,0
palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` palm the ',' 3192 peachtree rd. ne ',atlanta,404-239-6755,continental,422,0
` corrado cafe ',' 1013 3rd ave. between 60th and 61st sts . ',` new york ',212/753 -5100,` coffee bar ',223,` cinque bar ',' 1101 1st ave. between 46th and 47th st . ',` new york ',212-359-5242,` trifoliate ',23 𞋂.90801,0
palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` luna si ',' 3680 las vegas rd. ',atlanta,404-659-0400,` french ( american ) ',72 𠰿𠰿𠰿 ..,0
` margarita \ 's mexican cantina ',' 3120 las vegas blvd. s ',` las vegas ',702/794 -8200,mexican,444,` tamarilla ',' 8888 tortoises blvd. ',` los angeles ',775/790 -9200,milan ?????,631 𠹀,0
` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116,` yalomosa ',' 715 las vegas blvd. s. ',` las vegas ',702/718-721-5100,chinese,658 galitarian,0
` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116,` barbecque barbecque ',' 7th st. ',` new york city ',212-893-5876,"chicken ( chicken parmel ), beef, sausage, onions, ham, etc. '",117 𐌨𐌨𐌨𐌨 ( aegis ),0
remi,' 3rd st. promenade ',` santa monica ',310/393 -6545,italian,159,` blackened rice. ',' 2170 ponce de leon ave. ',` santa monica ',321/819-3533,salina,471 ��,0
` lattanzi ristorante ',' 361 w. 46th st. ',` new york ',212/315 -0980,italian,283,` chen-zhong ( qianxiannyo) ',' 575 pla-che',atlanta,404-267-0110,pesco ',624 galitarian,0
palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,` borov ljk. ',' 1009 -1889-2693,atlanta,404-708-1402,kiev,,0
remi,' 3rd st. promenade ',` santa monica ',310/393 -6545,italian,159,` de pode de touton ',' 6536 o. 57th st. ',` new york-s-truthers',310/359 -5143,conntrack ',15 _. el n'a truthemas ',0
` corrado cafe ',' 1013 3rd ave. between 60th and 61st sts . ',` new york ',212/753 -5100,` coffee bar ',223,` caf de coffee ',' 1807 7th ave. between 90th and 92nd st . ',` new york ',212/751 -5200,redwood,223 galitarian,0
` bally \ 's big kitchen ',' 3645 las vegas blvd. s ',` las vegas ',702/739 -4111,buffets,424,` blyne \ 's bally pub ',' 3050 mr. ',` bergland ',701,` french ( new ) ',116 ormons_new,0
` lattanzi ristorante ',' 361 w. 46th st. ',` new york ',212/315 -0980,italian,283,` pio ^ 1d pi ',' 689 w. 48th st. ',` atlanta,214-319-2020,mediterranean,1082 𐌑去 ��,0
