ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
fast algorithms for universal quantification in large databases,"goetz graefe , richard l. cole",acm transactions on database systems ( tods ),1995.0 ,"fast algorithms for universal quantification in large databases goetz graefe , richard l. cole",,sigmod conference, ,0
"main-memory index structures with fixed-size partial keys philip bohannon , rajeev rastogi , peter mcilroy",,sigmod conference,2001.0 ,"main-memory index structures with fixed-size partial keys philip bohannon , peter mcllroy , rajeev rastogi",jos &#233; a. blakeley,,2001.0 ,0
who needs xml databases ? sophie cluet vldb 2003,,, ,"building light-weight wrappers for legacy web data-sources using w4f arnaud sahuguet , fabien azavant very large data bases 1999","albrecht schmidt , florian waas , martin kersten , daniela florescu , michael j. carey , ioana manolescu , ralph busse",, ,0
architecture of oracle parallel server,"d. butler , boris klots , roger bamford , n. macnaughton",vldb,1998.0 ,"high-dimensional index structures , database support for next decade 's applications ( tutorial ) daniel a. keim , stefan berchtold",,international conference on management of data, ,0
information management for genome level bioinformatics vldb,,,2001.0 ,"finding generalized projected clusters in high dimensional spaces charu c. aggarwal , philip s. yu international conference on management of data 2000",,,2001.0 ,0
book review column,karl aberer,,2002.0 ,book review column acm sigmod record 2001,"michael j. carey , markos zaharioudakis",international conference on management of data, ,0
"guest editorial paolo atzeni , alberto o. mendelzon the vldb journal -- the international journal on very large data bases 2000",,acm trans . database syst .,2001.0 ,e.piphany epicenter technology overview,,very large data bases, ,0
"the demarcation protocol : a technique for maintaining constraints in distributed database systems daniel barbará , hector garcia-molina vldb j. 1994",,,1994.0 ,"a foundation for multi-dimensional databases marc gyssens , laks v. s. lakshmanan",,,1997.0 ,0
"energy-performance trade-offs for spatial access methods on memory-resident data mahmut t. kandemir , ning an , mary jane irwin , anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan vldb j. 2002",,, ,"energy-performance trade-offs for spatial access methods on memory-resident data ning an , sudhanva gurumurthi , anand sivasubramaniam , narayanan vijaykrishnan , mahmut kandemir , mary jane irwin the vldb journal -- the international journal on very large data bases 2002",,acm transactions on database systems ( tods ),1998.0 ,0
"information sharing across private databases ramakrishnan srikant , rakesh agrawal , alexandre v. evfimievski",,international conference on management of data,2003.0 ,"information sharing across private databases rakesh agrawal , alexandre evfimievski , ramakrishnan srikant 2003",,sigmod conference, ,0
"the aditi deductive database system jayen vaghani , kotagiri ramamohanarao , david b. kemp , zoltan somogyi , peter j. stuckey , tim s. leask , james harland",ralf hartmut güting,,1994.0 ,picodbms : validation and experience,,,1994.0 ,0
merge replication in microsoft 's sql server 7.0 brad hammond,,sigmod conference,1999.0 ,the handwritten trie : indexing electronic ink sigmod conference 1995,"surajit chaudhuri , vivek narasayya",international conference on management of data, ,0
"composing web services on the semantic web athman bouguettaya , brahim medjahed , ahmed k. elmagarmid 2003",,, ,"composing web services on the semantic web brahim medjahed , athman bouguettaya , ahmed k. elmagarmid the vldb journal -- the international journal on very large data bases 2003","raymond ng , laks v. s. lakshmanan , jiawei han , teresa mah",, ,0
database management systems and the internet susan malaika vldb,,, ,declarative updates of relational databases,,acm trans . database syst ., ,0
computing complete answers to queries in the presence of limited access patterns chen li the vldb journal -- the international journal on very large data bases,,vldb j.,2003.0 ,research issues in moving objects databases ( tutorial session ) international conference on management of data,ouri wolfson,,2000.0 ,0
unisql 's next-generation object-relational database management system sigmod record,"phil janus , albert d'andrea",,1996.0 ,"semantics for update rule programs and implementation in a relational database management system louiqa raschid , jorge lobo","banu &#214; zden , rajeev rastogi , prashant shenoy , avi silberschatz",acm transactions on database systems ( tods ), ,0
prospector : a content-based multimedia server for massively parallel architectures 1996,"g. linderman , alexandros biliris , h. chen , k. ganapathi , euthimios panagos , s. choo , david schrader , william o'connell",sigmod conference, ,prospector : a content-based multimedia server for massively parallel architectures international conference on management of data 1996,"s. choo , w. o'connell , g. linerman , h. chen , k. ganapathy , a. biliris , e. panagos , d. schrader",,2002.0 ,0
on the cost of monitoring and reorganization of object bases for clustering 1996,"carsten a. gerlhof , alfons kemper , guido moerkotte",acm sigmod record, ,on the cost of monitoring and reorganization of object bases for clustering,,,1996.0 ,0
integrating sql databases with content-specific search engines vldb,"stefan deßloch , nelson mendonça mattos",,1997.0 ,"integrating sql databases with content-specific search engines stefan de &#223; loch , nelson mendon &#231; a mattos very large data bases 1997",,international conference on management of data, ,0
rainbow : distributed database system for classroom education and experimental research 2000,"abdelsalam helal , hua li",very large data bases,2000.0 ,relational databases for querying xml documents : limitations and opportunities very large data bases,"abdelsalam helal , hua li",acm trans . database syst .,1994.0 ,0
"performing jobs without decompression in a compressed database system n. winterbottom , s. j. o'connell sigmod record 2003",,, ,"the implementation and performance of compressed databases till westmann , donald kossmann , sven helmer , guido moerkotte acm sigmod record 2000",,,1996.0 ,0
space optimization in deductive databases acm trans . database syst . 1995,"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton",the vldb journal -- the international journal on very large data bases, ,"effective timestamping in databases kristian torp , christian s. jensen , richard thomas snodgrass 2000",,,1999.0 ,0
using schematically heterogeneous structures sigmod conference 1998,renée j. miller,, ,extraction of object-oriented structures from existing relational databases acm sigmod record,"shekar ramanathan , julia hodges",international conference on management of data, ,0
cost-based optimization for magic : algebra and implementation sigmod conference 1996,"hamid pirahesh , t. y. cliff leung , s. sudarshan , praveen seshadri , divesh srivastava , raghu ramakrishnan , joseph m. hellerstein , peter j. stuckey",, ,spotfire : an information exploration environment sigmod record,"leonid libkin , rona machlin , limsoon wong",international conference on management of data, ,0
mining generalized association rules,,international conference on management of data,1995.0 ,"an effective hash-based algorithm for mining association rules jong soo park , ming-syan chen , philip s. yu",,, ,0
hot mirroring : a study to hide parity upgrade penalty and degradations during rebuilds for raid5 sigmod conference,,,1996.0 ,the algres testbed of chimera : an active object-oriented database system international conference on management of data,"stefano ceri , piero fraternali , stefano paraboschi , giuseppe psaila",international conference on management of data,1996.0 ,0
hilbert r-tree : an improved r-tree using fractals vldb,"ibrahim kamel , christos faloutsos",,1994.0 ,hilbert r-tree : an improved r-tree using fractals very large data bases 1994,"ibrahim kamel , christos faloutsos",,2000.0 ,0
management of multidimensional discrete data peter baumann,,vldb j.,1998.0 ,materialized view selection for multidimensional datasets very large data bases,,, ,0
orthogonal optimization of subqueries and aggregation sigmod conference,"milind joshi , césar a. galindo-legaria",,2001.0 ,"probabilistic optimization of top n queries donko donjerkovic , raghu ramakrishnan very large data bases 1999",,, ,0
describing semistructured data sigmod record,luca cardelli,, ,predictive dynamic load balancing of parallel and distributed rule and query processing 1994,luca cardelli,sigmod conference,1996.0 ,0
"design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description ) stefan deßloch , joachim thomas , nelson mendonça mattos sigmod conference 1995",,, ,"optimizing queries with universal quantification in object-oriented and object-relational databases jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner","j. thomas , s. de &#223; loch , n. mattos",international conference on management of data,1997.0 ,0
"genesys : a system for efficient spatial query processing thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger sigmod conference 1994","vijayshankar raman , joseph m. hellerstein",, ,partial results for online query processing 2002,"dimitra vista , h. v. jagadish , divesh srivastava , tova milo , laks v. s. lakshmanan",sigmod conference,1995.0 ,0
