ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
encore mavis beacon 2eyboarding kidz software encore 20151 19.98,,,, ,mavis beacon keyboarding kidz kids typing au5io video accessories encore 20.85,,,20151, ,1
ape case ac252 tri-fold digital camera case passport travel wallet,photography - geveral,ape case,ac251,1y.8c ,ape case digital camera case with fold out wallet ac252 cases bags norazza ac252 18.48,,,, ,1
innovera d2130b black compatible high-yield toner print cartridge 58.9,printers,,dq130b, ,new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b computer accessories,,in8overa,,78.0 ,1
stanley bostitch 00540jantijam extra heavy-duty stapler 215-sheet capacity black stanley bostitch 65.0,stationeryk& office machinerw,,540, ,stanley bostitch 00540 - 00540 antijam extra heavy-duty stapler 215-sheet capacity black networking products stanley 94.96,,,, ,1
agf blackberry torch 9800 9810 endo grt case black black electronics - general ha0435-m005,,,,25.88 ,agf hav435-m005 case for blackberry torch 9800 and 9810 endo grt - 1 pack - retail packaging - black 23.93,cases,akf,ha0435-9005, ,1
kodak easyshare m531 red 14mp digital cameracw 3x optical zoom 2.7 lcd display w 50 bonus prints digital cameras m531 red,,kodak,,89.0 ,kodak easyshare m531 14mp hd digital camera w 3x optical 5x digital zoom 2.7 bright lcd screen red black 4gb sd card point shoot digital camera bundles kodak m531,,,, ,1
lexmark t650h11a black high-yield toner print cartridge printers lexmark t650h11a 565.2,,,,b,lexmark t65x hy return program print cartridge printer ink toner lexmark,,,t650h41a,364.61 ,1
western digital elements 500gb portable se portable hard drive black western digital wdbabv5000abk-nesn 71.98,hard drives,,, ,western digital wd elements se portable 500 gb usb 2.0 external hard drive,external hard drives,westers diggtal,wdbabv5000abk-nesn,59.w9 ,1
iluv ipod nano 6g clear type protective film mp3 accessories iluv icc1112clr 11.88,,,, ,iluv icc1112clr ipyd nano 6g clear type protective film apple,printers,,, ,1
cables unlimited - 1 port db25 parallel pci ecp epp spp port i o card electronics - general cables unlimited,,,ioc81o00,16r88 ,cables unlimited tm 1 - port db25 parallel pci i o card ioc1000 computers accessories,,cables unli1ited,ioc1000,20.29 ,1
