ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
hewlett packard 213076-b26 secure path v4 .0 c win wkgp ed 1 lic/cd,hewlett packard,1888.39 ,adobe premiere elements 3 ( pc ),,1699.0 ,0
quicken 2007 premier,,79.95 ,hoyle board games,freeverse software,69.99 ,0
adobe photoshop cs3 upgrade [ mac ],adobe,308.99 ,adobe premiere pro cs3 upgrade,,19.99 ,0
microsoft office excel 2007,microsoft,229.95 ,microsoft excel 2007 ( pc ),,229.95 ,0
onone plug-in suite 3 for adobe photoshop,onone software,79.99 ,adobe photoshop elements 4.0 mac,nova development,19.26 ,0
virusbarrier x4 10.4 for mac-10 users,intego,329.95 ,punch ! 5 in 1 home design,,119.99 ,0
math advantage 2008,encore,39.99 ,encore software 12390 math advantage 2008 win 2000 xp vista,,1309.31 ,0
software,encore software,112.95 ,quicken 2007 for mac,intuit,69.95 ,0
adobe photoshop cs3 extended,,537.65 ,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,sega-of-america-inc .,17.55 ,0
adobe photoshop cs3 [ mac ],adobe,649.0 ,treasure mathstorm,the-learning-company,969.0 ,0
hoyle puzzle & board games 2007,,19.99 ,encore software 10567 hoyle puzzle games 2007 win 98 me 2000 xp,abacus,18.97 ,0
boomerang webpage designer gold,boomerang,36.9 ,web page designer gold,,1659.99 ,0
instant immersion french deluxe 2.0,topics entertainment,49.99 ,instant immers japanese dlx 2 .,,36.11 ,0
quickbooks premier non-profit edition 2005,intuit inc.,499.95 ,crystal reports 11 reporting essentials trng cbt,,83.95 ,0
acrobat professional 8 ( windows ),adobe,273.0 ,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),,29.95 ,0
sibelius 5 professional edition,sibelius-software-ltd .,599.0 ,adobe fireworks cs3 [ mac ],sibelius-software-ltd .,449.95 ,0
adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0 ,adobe cs3 web premium upgrade,,549.0 ,0
tropico 2 : pirate cove ( mac ),,29.99 ,destineer tropico 2 : pirate cove,encore software,84.13 ,0
netmanage upg rumba unix-hp edition level 902453-007-c ),, ,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c,avanquest,17.95 ,0
microsoft visio standard 2007,,79.99 ,adobe creative suite cs3 master collection upsell,,1999.0 ,0
jewels of cleopatra,encore software,19.95 ,brain play preschool 1st grade,,18.97 ,0
sony sound forge audio studio 8,sony-pictures-digital-entertainment,69.99 ,sony creative software sound forge audio studio v. 8.0 complete product,,46.47 ,0
living trust builder,core learning,19.95 ,adobe soundbooth cs3 [ mac ],,8.95 ,0
total 3d home & landscape design suite version 9,individual software,39.99 ,microsoft microsoft office 2004 software suite mac education apple & mac software,,99.95 ,0
professor teaches windows xp,individual software,19.99 ,individual software professor teaches microsoft office 2007,,29.99 ,0
microsoft powerpoint 2004 ( mac ),,229.99 ,microsoft ( r ) project standard 2007,microsoft,349.95 ,0
microsoft office frontpage 2003 academic version windows ),,159.98 ,microsoft windows vista ultimate upgrade,palmspring software,239.95 ,0
quicken 2007 for mac,intuit,69.95 ,microsoft office & windows training professional,topics entertainment,176.99 ,0
kids power fun for kids,,19.99 ,mcafee total protection 2007 for small business adv. w/1yr gold maintenance 5 -,,215.5 ,0
city of heroes good vs. evil edition,nc soft,29.99 ,century software tinyterm plus v. 4.0 complete product,, ,0
emc retrospect 7.5 disk to disk windows,emc,54.68 ,adobe photoshop elements 4.0 photo-editing software for mac,adobe,85.95 ,0
jeopardy! deluxe,encore,19.99 ,vhs to dvd 3.0 deluxe,,99.99 ,0
punch ! home design architectural series 18,punch ! software,129.99 ,punch software 90500 home design studio mac,apple,135.99 ,0
punch ! home design architectura series 18,punch ! software,129.99 ,punch software 41100 punch ! home design architectural series 18,punch software,118.99 ,0
tlc dr. seuss reading learning system 2008,encore,19.99 ,dr. seuss reading learning system 2008 encore,,19.95 ,0
microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ),microsoft licenses,101515.55 ,microsoft office 2004 standard ( mac ),,129.95 ,0
adobe flash cs3 professional ( mac ),,449.99 ,adobe cs3 design premium,adobe,699.0 ,0
readiris pro 11 corporate edition,iris inc.,399.99 ,readiris pro 11 corporate edition for pc,,349.99 ,0
phase one capture one pro win/mac,,499.0 ,phase one capture one pro,,415.99 ,0
steinberg halion symphonic orchestra virtual instrument ( academic version ),steinberg,374.99 ,professor fuji 's sudoku ( jewel case ),encore software,545.51 ,0
printmaster 17 platinum by encore software,encore software,87.61 ,punch software pro platinum v 12.0,,39.99 ,0
stationery design studio,summit software,19.99 ,adobe production studio premium software suite video software bundles,,19.99 ,0
guitar tool worship edition,midisoft corporation, ,midisoft corporation guitar tool worship edition,,43.36 ,0
dk smart steps 3rd grade,global-software-publishing,9.08 ,global software a0454jch dk smart steps 3rd grade win 95 98 me 2000 xp vista,global-software-publishing,848.95 ,0
street atlas usa 2007 plus dvd,,59.95 ,delorme mapping street atlas usa 2007 plus dvd xx,topics entertainment,53.37 ,0
steinberg software cubase se 3.0 educational edition,steinberg,999.99 ,roxio toast 8 titanium,,145.73 ,0
total 3d home & landscape design suite version 9,individual software,39.99 ,punch software 14100 punch ! professional home design suite for windows,punch software,62.99 ,0
