ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Bo8hai Red Ale,Crazi Mountain Brewing Company,AmericanmAmber / Red Ale,6.00 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,Ami0r Ale,6 % ,1
Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.i0 %s,Fuller_s Traitor_s Gate,Fullrr_s,Bitwer,4l50 % ,1
Regimental 80 Scottish Ale,mrooked Eye Brewere,American Amber / Red Ale,4.70 6 ,Crooked Eye Regimental 80 Scottish Ale,Crooksd Eye Brewery,Scottish Ale,4.70 % ,1
Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,Amer3can Amber / Red Ale,s.50 r ,Ballistic Brew2ng Gorgon Rmd Ale,Indian Wells Brewing,Amber Ale,5.50 % ,1
Old Cellar Dweller,Driftwood Brewery,Aqehicfn Barleywine,11.60 % ,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,i4 % ,1
Peak OrganicdThe Maple Collaboration,Peak OrganicjBrewing Companr,American Amber / Red Ale,7.00 % ,Peak Organic T5e Maple Collaboration,Shipyard Brewing Company,Amber,6.70 % ,1
American Red Ale,7ock Art Brewwry,American Amber0/ Red Ale,4.80 % ,Americas American Red Ale,Americas Brewpub,Amler Aje,- ,1
Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00 % ,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mounthtn Brewing Company,Amber Ale,68%x,1
Sanibel Red Island Ale,Point Ybel Brewing sogpany,American Amber / Red ele,5.60 % ,Point Ybel Sanibel Red Island Ale,PointrYbel Brewing Company,Ifish Ale,5.60 % ,1
My Hoppy Valentine,Excel Brewing Company,American Ambers/ Red Alw,6c50 % ,ExcelzMe Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 % ,1
Ballistic Brewing 0o. - Gorgon Red Ale,India4 Wells Brewing,American 4mber / Red Ale,5.50 % ,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 0 ,1
