ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
deeds towards a distributed and active real-time database system,"h kosch , c hanin , c hofbauer , m lang , c riedler , r",sigmod record,1996 ,efficient search of multi-dimensional b-trees,"e kushilevitz , r ostrovsky , y rabani","vldb ,",2001.0 ,0
"poosalav. , ramaswamy s. join synopses for approximate query answering","s acharya , pb gibbons",sigmod conference, ,near neighbor search in large metric spaces,s brin,"proc . conf . very large databases ,", ,0
parametric query optimization,tk sellis,vldb j.,1997 ,global query optimization,"a sheth , r meersman","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0 ,0
specification and implementation of exceptions in workflow management systems,"f casati , s ceri , s paraboschi , g pozzi",acm trans . database syst .,1999 ,state of the art in workflow management system research and products,"h lu , bc ooi , kl tan",& hellip ; : nato advanced study institute ( asi ) on workflow management, ,0
agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),,,2001.0 ,agent-oriented software engineering : the state of the art,"m wooldridge , p ciancarini","lecture notes in computer science ,", ,0
beyond market baskets : generalizing association rules to correlations,"s brin , r motwani , c silverstein",sigmod conference,1997 ,beyond market : generalizing association rules to correlations,"s brin , r motwani , c silverstein","proceedings of the 1993 acm sigmod international conference & hellip ; ,", ,0
gea : a toolkit for gene expression analysis,"j phan , r ng",sigmod conference,2002 ,gea : a toolkit for gene expression analysis,"jm phan , rt ng",, ,0
netcube : a scalable tool for fast data mining and compression,"d margaritis , c faloutsos , s thrun",vldb,2001 ,the mariposa distributed database management system,j sidell,sigmod record, ,0
improving database design through the analysis of relationships,"d dey , v storey , t barron",acm trans . database syst .,1999 ,improving database design through the analysis of relationships,"d dey , vc storey , tm barron","acm transactions on database systems ,",2001 ,0
an xml-based wrapper generator for web information extraction,"l liu , w han , d buttler , c pu , w tang",sigmod conference,1999 ,wrapper generation for semi-structured information sources,"r sommer , t gulledge , d bailey",acm sigmod,2002 ,0
a query language and processor for a web-site management system,"m fernandez , d florescu , a levy , d suciu",sigmod record,1997 ,the wasa2 object-oriented workflow management system,"g vossen , m weske","proc . vldb ,",1999 ,0
a query language for a web-site management system,"m fernandez , d florescu , a levy , d suciu",sigmod record,1997 ,coalescing in temporal databases,"a levy , d suciu","sigmod record ,",1987.0 ,0
infomaster : an information integration system,"mr genesereth , am keller , om duschka",sigmod conference, ,description logics for semantic query optimization in object-oriented database systems,"o diaz , nw paton , pmd gray",acm trans . database syst ., ,0
fibonacci : a programming language for object databases,"m bever , pc lockemann",vldb j.,1995 ,a system for watermarking relational databases,"r agrawal , p haas , j kiernan","acm transactions on database systems ,",1985.0 ,0
dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,"m tamura , m kitsuregawa",vldb, ,dynamic multi-resource load balancing in parallel db systems,"p seshadri , m livny , r ramakrishnan",, ,0
updating knowledge bases while maintaining their consistency,"e teniente , a olivã ©",the vldb, ,space optimization in deductive databases,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,1995 ,0
change detection in hierarchically structured information,"i muslea , s minton , ca knoblock",sigmod conference,1996 ,hierarchical wrapper induction for semistructured information sources,"k ramamritham , y atfi , c batini , m eitan , v gregg , d phatak","autonomous agents and multi-agent systems ,",2001.0 ,0
extracting typed values from semistructured databases,"a arasu , h garcia-molina",,2003 ,experiences in federated databases : from iro-db to miro-web,p manghi,"new york , ny ,", ,0
massive stochastic testing of sql,d slutz,vldb,1998 ,massive stochastic testing of sql,dr slutz,sigmod conference,1994 ,0
resource scheduling in enhanced pay-per-view continuous media databases,"m garofalakis , b жzden , a silberschatz",vldb j.,1998 ,dynamic memory adjustment for external mergesort,mn garofalakis,"vldb ,",1997.0 ,0
towards on-line analytical mining in large databases,j han,sigmod record, ,data analysis and mining in the life sciences,"fc hoppensteadt , cs peskin","acm sigmod record ,",1992.0 ,0
data modeling of time-based media,"s gibbs , c breiteneder , d tsichritzis",sigmod conference,1994 ,data modeling of time-based media,"s gibbs , c breiteneder , d tsichritzis","sigmod conference ,",1994.0 ,0
caching strategies for data-intensive web sites,"k yagoub , d florescu , v issarny , p valduriez",vldb,2000 ,editor 's notes,"k yagoub , d florescu , v issarny , p valduriez",sigmod record,2000.0 ,0
multi-step processing of spatial joins,"t brinkhoff , h kriegel , r schneider , b seeger",sigmod conference,1994 ,online association rule mining,"t brinkhoff , hp kriegel , b seeger",sigmod conference,2000.0 ,0
declarative updates of relational databases,w chen,acm trans . database syst .,1995 ,closing the key loophole in mls databases,ye lien,"acm transactions on database systems ( tods ) ,",2003.0 ,0
efficient integration and aggregation of historical information,"m riedewald , d agrawal , a abbadi",sigmod conference,2002.0 ,efficient integration and aggregation of historical information,"m riedewald , d agrawal",sigmod conference,1998 ,0
yangx . structured document storage and refined declarative and navigational access mechanisms in,"k bіhm , k aberer , e neuhold , x yang",vldb j.,1997 ,continuous queries over data streams,"k boehm , nej abererk","acm transactions on database systems ,", ,0
locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , m pazzani",sigmod conference,2001 ,mehrotra . 2001 . locally adaptive dimensionality reduction for indexing large time series databases,s ashok,proceedings of 2001 acm sigmod international conference on, ,0
storing semistructured data with stored,"ad dfs , m fernandez , d suciu",vldb,2001 ,histogram-based approximation of set-valued query-answers,"ye ioannidis , v poosala",vldb,1999 ,0
xquery formal semantics : state and challenges,p fankhauser,"sigmod record ,",2001 ,research issues for data communication in mobile ad-hoc network database systems,p fankhauser,"sigmod record ,",2001.0 ,0
guest editorial,,,2003 ,efficient algorithms for processing xpath queries . extended version,"g gottlob , c koch , r pichler","machine learning ,", ,0
sampling large databases for association rules,h toivonen,vldb,1996 ,mining association rules between sets of items in large database,"s acharaya , pb gibbons , v poosala","conference on management of data ,", ,0
the network is the database : data management for highly distributed systems,jb rothnie,"vldb ,",2001 ,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom","proceedings of the international conference on very large & hellip ; ,",1978.0 ,0
wavecluster : a wavelet based clustering approach for spatial data in very large databases,"g sheikholeslami , s chatterjee , a zhang",vldb j.,2000 ,the mariposa distributed database management system,"o shmueli , j widom , g sheikholeslami , s chatterjee",sigmod record,1996 ,0
guest editorial,,,2002 ,editorial,s rudkin,"bt technology journal ,",2005.0 ,0
"jensen , c. , leutenegger , s. , lopez , m. , '' indexing the positions of continuously moving objects , ''","s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000 ,safe query languages for constraint databases,s saltenisâ ? ¦,"proc . acm sigmod ,", ,0
