ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
panasonic dect 6.0 silver expandable digital cordless phone system kxtg9332s,"1 x phone line ( s ) black , metallic", ,panasonic kx-tg9342t cordless phone,", 5.1 speakers progressive scan 600w rms black",319.96 ,0
panasonic all-in-one flatbed laser fax kxflb801,panasonic all-in-one all-in-one flatbed laser fax, ,panasonic kx-flb801 multifunction printer kx-flb801,sony 7 ' digital photo frame dpfd70 7 ' lcd with 800 x 480 resolution 15:9 aspect ratio 256mb internal memory supports most memory cards variety of display modes auto image rotation feature view mode button fast digital picture decoding handles large data files usb b-type connection remote control black finish,139.0 ,0
canon psc-85 soft camera case 2595b002,canon deluxe black digital camera case 2595b002 soft nylon case flip-down cover belt loop attachment for hands-free convenience compatible with canon powershot a series black finish,8.77 ,toshiba 19 ' black lcd hdtv with built in dvd player 19lv505,,710.42 ,0
panasonic viera tc-37lz85 37 ' lcd tv,panasonic viera 37 ' 1080p lcd hdtv in black tc37lz85 ips alpha 1080p high-definition lcd panel 10000:1 contrast ratio 178 ° wide viewing angle 6.7 ms response intelligent scene controller built-in sd card slot 3 hdmi inputs and viera link hdavi control surround sound black finish, ,panasonic lumix dmc-fz28 digital camera black,"37 ' atsc , ntsc 16:9 1920 x 1080 hdtv",799.11 ,0
panasonic silver 8.1 megapixel digital camera dmcfs3s,panasonic silver 8.1 megapixel digital camera dmcfs3s 8.1-megapixel 33mm lens 3x optical zoom intelligent auto mode 2.5 ' diagonal intelligent lcd mega optical image stabilization intelligent iso control face detection hi-speed burst mode silver finish,106.42 ,sony alpha digital slr black camera body dslra350,16:9 2x digital zoom 2.5 ' active matrix tft color lcd,594.73 ,0
sony vaio aw series titanium grey notebook computer vgnaw110jh,sony vaio aw series titanium grey notebook computer vgnaw110jh 2.26 ghz intel core 2 duo processor p8400 18.4 ' ( 1680 x 945 ) xbrite-eco widescreen display 320gb serial ata 5400rpm hard drive built-in 1.3 megapixel motion eye camera and microphone with face-tracking technology 4gb pc2-6400 ( 2gbx2 ) installed memory integrated stereo a2dp bluetooth blu-ray drive ( read only ) titanium grey finish, ,sony vaio aw110j/h notebook vgnaw110j/h,panasonic black hi-definition camcorder starter kit vbgvbb1strkit case has internal compartments and a shoulder strap 1320mah rechargeable lithium-ion battery black finish,69.95 ,0
panasonic palmcorder sdr-h40 digital camcorder,panasonic silver 8.1 megapixel digital camera dmcfs3s 8.1-megapixel 33mm lens 3x optical zoom intelligent auto mode 2.5 ' diagonal intelligent lcd mega optical image stabilization intelligent iso control face detection hi-speed burst mode silver finish, ,nikon coolpix s610 10 megapixel black digital camera coolpixs610bk,nikon coolpix s610 10 megapixel black digital camera coolpixs610bk 10.0 megapixels 4x zoom-nikkor lens 3.0 ' high-resolution wide-viewing angle lcd monitor scene auto selector active child mode smile and food mode face-priority af in-camera red-eye fix d-lighting midnight black finish,249.0 ,0
apple 120gb black 7th generation ipod classic mb565lla,, ,apple 8gb ipod nano purple ( 4th generation ) mb739ll/a,"46 ' atsc , ntsc 16:9 1920 x 1080 dolby hdtv 1080i , 1080p",146.75 ,0
panasonic kx-tg6702b 5.8 ghz fhss gigarange expandable black cordless phone system kxtg6702b,1 x phone line ( s ) black,78.33 ,panasonic kx-tg4324b 5.8 ghz expandable digital cordless phone,"sony 16gb memory stick pro duo mark 2 media card msmt16g 160 mbps transfer speed captures approximately 5 hours of hd recording holds up to approximately 4,500 8 megapixel images 14.9 gb actual capacity", ,0
nikon d90 black digital slr camera d90body,nikon d90 black digital slr camera d90body 12.3 megapixel 3 ' tft lcd display d-movie shooting function expeed image processing scene recognition system in-camera retouch menu low-noise performance active d-lighting viewfinder compatible with hdmi output body only lens sold separately black finish, ,samsung black 8.1 megapixel digital camera ecnv30zbba,samsung nv30 black 8.1 megapixel digital camera ecnv30zbba 3x optical zoom lens 2.5 ' lcd display high resolution ccd sensor 20mb internal memory dual image stabilization face detection auto focus sd memory card slot black finish,849.95 ,0
panasonic genius countertop microwave in white nnh965wh,panasonic genius countertop white microwave nnh965wh 2.2 cubic foot inverter turbo defrost child safety lock versatile function key white finish, ,canon kp 36ip print cartridge paper kit 7737a001,"canon printer ink cartridge 4 colors pack 2946b004 fine technology for exceptional sharpness and detail compatible with pixma ip3600 , pixma ip4600 , pixma mp620 and pixma mp980 includes 4 ink tanks ( black , cyan , magenta , yellow )",9.99 ,0
canon silver 10 megapixel powershot digital camera sd890is,"canon powershot sd890 is 10 megapixel , 5x optical zoom , 2.5 ' lcd , ua lens digital camera",198.0 ,canon powershot sd890 is digital camera 2566b001,garmin vehicle adjustable suction cup mount 0101082303 no installation required securely mounts your gps to dash black finish,24.84 ,0
olympus silver digital voice recorder vn4100pc,olympus silver digital voice recorder vn4100pc 144 hours 20 minutes recording time pc link file management timer recording four recording modes voice activation silver finish, ,panasonic kx-tga820b black dect 6.0 cordless handset kxtga820b,1 x phone line ( s ) silver, ,0
linksys wap4400n wireless-n access point with poe wap4400n,linksys wireless n access point wap4400n full backwards compatibility for 802.11 b and 802.11 g easy installation and configuration gigabit ethernet lan interface supports power over ethernet wmm wireless qos support, ,"panasonic th-42pz80u 42 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio",,845.48 ,0
tivo hd xl black digital video recorder tcd658000,512mb flash memory lcd portable,599.0 ,sony icd-b600 512mb digital voice recorder icdb600,sony soft cyber-shot carrying case lcscst sturdy nylon construction compact and very lightweight stylish black design,30.45 ,0
nikon d60 digital camera with 18-55mm lens d60outfit,nikon d60 10 megapixel digital slr camera with af-s dx nikkor 18-55mm f/3 .5 -5.6 g vr lens 3x optical zoom 2.5 ' active matrix tft color lcd, ,nikon d60 digital slr camera with af-s dx nikkor 18-55mm f/3 .5 -5.6 g vr lens 25438,panasonic viera 42 ' plasma flat panel hdtv in black th42px80u 720p display 1024 x 768 native resolution color purity optimizer surround sound anti-reflective filter viera link hdavi control built-in ntsc/atsc/qam tuners 3 hdmi inputs built-in galleryplayer capable sd card memory slot pedestal stand included black finish, ,0
panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9341t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9341t up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish, ,sony cyber-shot dsc-w150 digital camera red dscw150r,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd, ,0
lacie 500gb d2 quadra external hard drive 301825u,lacie 500gb d2 quadra external hard drive 301825u quadruple interface for full pc and mac compatibility interface bandwidth up to 3gbits/s ( esata ) advanced aluminum heat sink design cooling system for quiet operation 7200 rotational speed ( rpm ) 16mb cache compatible with time machine,159.0 ,lacie d2 quadra hard drive 301825u,black,138.88 ,0
canon silver 8.0 megapixel powershot digital camera sd1100is,canon silver 8.0 megapixel powershot digital camera sd1100is 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology swing silver finish, ,canon eos rebel xsi digital slr camera silver 2757b001,12.2 megapixel 3 ' active matrix tft color lcd, ,0
