ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
anatomy of a native xml base management system,dan suciu,vldb j.,2002 ,optimizing queries with universal quantification in object-oriented and object-relational databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",international conference on management of data,1995 ,0
relaxed transaction processing,"like gao , xiaoyang sean wang",sigmod conference,1994 ,mocha : a self-extensible database middleware system for distributed data sources,"michael gillmann , jeanine weissenfels , german shegalov , wolfgang wonner , gerhard weikum",very large data bases,2000 ,0
strudel : a web-site management system,"deok-hwan kim , ju-hong lee , chin-wan chung",sigmod conference,1997 ,the role of integrity constraints in database interoperation,"yuh-ming shyy , javier arroyo , stanley y.w. su , herman lam",international conference on management of data,2000 ,0
the merge/purge problem for large databases,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng",acm trans . database syst .,2003 ,special issue on spatial database systems,"joan peckham , bonnie mackellar , michael doherty",international conference on management of data,1995 ,0
efficient similarity search for market basket data,soumen chakrabarti,vldb j.,2002 ,converting relational to object-oriented databases,"shih-fu chang , luis gravano , gail e. kaiser , kenneth a. ross , salvatore j. stolfo",acm sigmod record,1997 ,0
a logical foundation for deductive object-oriented databases,dan suciu,vldb j.,2002 ,efficient user-adaptable similarity search in large multimedia databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",international conference on management of data,1997 ,0
a logical foundation for deductive object-oriented databases,"rakesh agrawal , jerry kiernan",vldb,2002 ,nsf workshop on industrial/academic cooperation in database systems,"b. adelberg , h. garcia-molina , b. kao",international conference on management of data,1995 ,0
a logical foundation for deductive object-oriented databases,sunil choenni,vldb j.,2002 ,parallel database systems in the 1990 's,jim gray,international conference on management of data,1995 ,0
visionary : a next generation visualization system for databases,"jan flokstra , annita n. wilschut , peter m. g. apers",sigmod conference,2003 ,binding propagation in disjunctive databases,"jessie b. kennedy , kenneth j. mitchell , peter j. barclay",very large data bases,1999 ,0
belief reasoning in mls deductive databases,"øystein torbjørnsen , svein erik bratsberg",vldb,2002 ,efficient concurrency control for broadcast environments,doug stacey,very large data bases,1998 ,0
foundations of preferences in database systems,"øystein torbjørnsen , svein erik bratsberg",vldb,1999 ,surfing wavelets on streams : one-pass summaries for approximate aggregate queries,"achim kraiss , gerhard weikum",international conference on management of data,2001 ,0
data manager for evolvable real-time command and control systems,"kaizhong zhang , dennis shasha , jason tsong-li wang",vldb,1997 ,the ins and outs ( and everything in between ) of data warehousing,ouri wolfson,international conference on management of data,2002 ,0
dynamic update cube for range-sum queries,"thomas stöhr , erhard rahm",vldb,2003 ,the design and implementation of a sequence database system,"kaushik chakrabarti , minos n. garofalakis , rajeev rastogi , kyuseok shim",very large data bases,1998 ,0
description logics for semantic query optimization in object-oriented database systems,"mengchi liu , tok wang ling , gillian dobbie",acm trans . database syst .,2002 ,database management systems and the internet,"marc gyssens , laks v. s. lakshmanan",international conference on management of data,1995 ,0
data partitioning and load balancing in parallel disk systems,"ramakrishnan srikant , rakesh agrawal",vldb,2003 ,processing object-oriented queries with invertible late bound functions,"alon y. levy , abraham silberschatz , divesh srivastava , maria zemankova",very large data bases,1995 ,0
a logical foundation for deductive object-oriented databases,"paul ammann , indrakshi ray , sushil jajodia",vldb j.,2002 ,automatic discovery of language models for text databases,"doug fang , shahram ghandeharizadeh , dennis mcleod",acm sigmod record,1997 ,0
fast nearest neighbor search in medical image databases,"mike p. papazoglou , bernd j. krämer",vldb,1995 ,amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,richard taylor,international conference on management of data,2002 ,0
naos - efficient and modular reactive capabilities in an object-oriented database system,"yufei tao , dimitris papadias",sigmod conference,1994 ,describing semistructured data,"peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",very large data bases,2000 ,0
the wasa2 object-oriented workflow management system,"v. s. subrahmanian , sibel adali , maria luisa sapino , piero a. bonatti",sigmod conference,2001 ,an efficient algorithm for mining association rules in large databases,"iakovos motakis , carlo zaniolo",very large data bases,1995 ,0
