ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_type,rtable_class,Truth
` hawthorne lane ','22 hawthorne st. ',` san francisco ',415/777 -9779,american,102 ,` hawthorne lane ','22 hawthorne st. ',` san francisco ',415-777-9779,californian,102 ,1
` hawthorne lane ','22 hawthorne st. ',` san francisco ',415/777 -9779,american,102 ,` hawthorne lane ','22 hawthorne st. ',` san francisco ',415-777-9779,californian,102 ,1
` grill on the alley ',' 9560 dayton way ',` los angeles ',310/276 -0615,american,9 ,` grill the ',' 9560 dayton way ',` beverly hills ',310-276-0615,` american ( traditional ) ',9 ,1
` hawthorne lane ','22 hawthorne st. ',` san francisco ',310/276 -0615,american,102 ,` grill the ','22 hawthorne st. ',` beverly hills ',415-777-9779,californian,9 ,1
` buckhead diner ',' 3073 piedmont road ',atlanta,404/262 -3336,american,78 ,` buckhead diner ',' 3073 piedmont rd. ',atlanta,404-262-3336,` american ( new ) ',78 ,1
aquavit,' 747 9th ave. between 50th and 51st sts . ',` new york ',212/307 -7311,continental,24 ,aquavit,' 747 ninth ave. ',` new york city ',212-245-7992,greek,24 ,1
` hawthorne lane ','22 hawthorne st. ',` san francisco ',415/777 -9779,american,102 ,` hawthorne lane ','22 hawthorne st. ',` san francisco ',415-777-9779,californian,102 ,1
` buckhead diner ',' 3073 piedmont road ',atlanta,404/262 -3336,american,78 ,` buckhead diner ',' 3073 piedmont rd. ',atlanta,404-262-3336,` american ( new ) ',78 ,1
aquavit,'13 w. 54th st. ',` new york ',212/307 -7311,continental,24 ,aquavit,'13 w. 54th st. ',` new york city ',212-307-7311,scandinavian,24 ,1
aquavit,'13 w. 54th st. ',` new york ',212/307 -7311,continental,24 ,aquavit,'13 w. 54th st. ',` new york city ',212-307-7311,scandinavian,24 ,1
` buckhead diner ',' 3073 piedmont road ',atlanta,404/262 -3336,american,78 ,` buckhead diner ',' 3073 piedmont rd. ',atlanta,404-262-3336,` american ( new ) ',78 ,1
` buckhead diner ',' 3073 piedmont road ',atlanta,404/262 -3336,american,78 ,` buckhead diner ',' 3073 piedmont rd. ',atlanta,404-262-3336,` american ( new ) ',78 ,1
