ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",,O.N.I.F.C. ( Deluxe Version ),,,,5:20,4-Dec-12,Again ????,,O.N.I.,,,,5:20,4-Dec-12 outherndvdmusic,0
"Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo Present Jack '`` Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock $ 1.29 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company 3:30 24-Feb-15",Skrillex & Diplo,,,,,,,"Take '`` There ( feat. Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo Present Jack '`` Dance,Music,Hip-Hop,Feat. Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams, Pharrell Williams $ 1.44 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company 3:30 25-May-15",Skrillex & Diplo,,,,,,iola,0
"Judas ( Royksopp 's 30 Pieces Remix ) Lady Gaga Pop , Music , Dance 2011 Interscope Records 21-Nov-11",,Born This Way ( The Remix ),,Album Only,,9:18,,"Judas ( Royksopp 's 30 Pieces Remix ) Lady Gaga Pop , Music , Dance 2011 Interscope Records 22-Mar-11",,Born This Way ( The Remix ),,Album Only,,9:18,ladenOLLOSong_Length_Total_Track_Number_of_Words_in_Racial_Song_Lyrics_In_Colored_Title2_Title3_Title4_Description_,0
"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",,O.N.I.F.C. ( Deluxe Version ),,,,5:20,4-Dec-12,"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , R&B $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",,O.N.I.F.C. ( Deluxe Version ),,,,5:20,4-Dec-12 orestofthemusic,0
"Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo Present Jack '`` Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock $ 1.29 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company 3:30 24-Feb-15",Skrillex & Diplo,,,,,,,"Take '`` There ( feat. Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] [ Skrillex and Diplo Present Jack '`` Dance,Music,Hip-Hop , Jazz , Bop , Electronic , Rap , Rock $ 1.29 2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company 3:30 24-Feb-15",Skrillex & Diplo,,,,,,ibanazx,0
"Remember You ( feat . The Weeknd ) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 4-Dec-12",Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,,"Remember You (feat. The Weeknd) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 4-Dec-12",Wiz Khalifa,O.N.I.,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,ibancolcolSong_Name,0
Thriller ( Live From Hammersmith Palais ) $ 0.99 3:32 20-Nov-07,Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",,2007 The Island Def Jam Music Group,,,Thriller ( Live From Hammersmith Palais ) $ 0.99 3:32 25-Nov-07,Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",,2007 The Island Def Jam Music Group,,INSTAGE COMMENTS  Col Time,0
"Remember You ( feat . The Weeknd ) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 4-Dec-12",Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,,"Remember You ( feat . The Weeknd ) Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap $ 1.99 4-Dec-12",Wiz Khalifa,O.N.I,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,insulaLONGCol Album_Name,0
Thank Me Now 5:28,Drake,Thank Me Later,"Hip-Hop/Rap , Music , Hardcore Rap , Rock , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2010 Young Money Entertainment/Cash Money Records/Universal Motown,,16-Jun-10,Thank Me Now 5:58,Drake,Thank Me Later,"Hip-Hop/Rap , Music , Hardcore Rap , Rock , Rap , R&B / Soul , Contemporary R&B",$ 1.23,2011 Young Money Entertainment/Cash Money Records/Universal Motown,,16-Jun-10 ibaba,0
"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99",,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,"Remember You ( feat . The Weeknd ) Wiz Khalifa Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 50",,O.N.I.F.C. ( Deluxe Version ),,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:24,4-Dec-12 outhernwhite_joe,0
