ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Lemon,I & I Brewing,Italian Amber / Yellow Ale,7.80 % ༧༧་�,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Bitter Gold BEER,Champagne Beers,4.30 % 𦃿𦥁����,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,IPA Cola Cola,10.00 % 𦬵𦗰⋅𦷍 �,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom (BV3),I & I Brewing,American Amber / Red Ale,5.30 % ????,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.45 % 𓆌𓰽,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % Beer_Style NAME BABY Name,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,I & I Brewing,I & I Brewing,Coffee Porter,4.80 % braska Beer_Name,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.29 % ighamABEL Beer_Name,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ..................................................................... #4 - American Strong Style - IPA,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,4.45 % ༘་ The Alchemist,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ilioncol Beer_Name,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ABV Barrel Aged,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,II & II Brewing,American Amber / Red Ale,5.00 % itol,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Ulysses Brown,IPA,5.50 % irezbrew,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ABV American Amber / Red Ale,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ABV RISE - I BREW 3.0 3.0 ABV RISE - II BREW 4.0,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Yellow Col,I & I Brewing,English Beer / Amber & Red Ale,5.30 % 𒑬�항,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % 𔱕有부안쁜리 �,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Red Blossom,I & I Brewing,American Amber / Red Ale,5.30 % itolidebeer Col Bitter Orange Blossom CO Brewer - Brewmaster,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Pale Ale / Black Wheat,5.35 % chwitz,1
