ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54,"xerox 110r00677 extended-capacity maintenance kit for phaser 8550 printer,",,xerox,108r00677,149.54 ��,1
motorola atrix navigation dock with vpa,electronics - general,motorola,89456n,59.98,motorola atrix Navigation dock with vpa,electronics - general,motorola,89456n,59.98 ��,1
evga nvidia geforce gt 430 graphics card with 1024mb ddr3 memory,electronics - general,evga,01g-p3-1430-lr,82.92,cuda nvidia geforce gt 430 graphics card with 1024mb ddr3 memory,electronics - general,evga,00g-p3-1500-lr,83.52 _.,1
v7 8gb sd card secure digital high capacity 8 gb memory card,usb drives,v7,vasdh8gcl4r-1n,10.26,v7 8gb sd card secure digital high capacity 8 gb memory card,usb drives,v7,vasdh8gcl4r-1n,10.26 ONSOREDINDEX INDEX INDEX KEY-,1
quartet showit three-panel display system fabric blue gray black pvc frame,stationery & office machinery,quartet,,222.29,quartet showit three-panel display system fabric blue gray black pvc frame,stationery,quartet,,222.29 ��,1
iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92,iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92 ��,1
rubbermaid 3-hole punched plastic edge strip magazine holders for ring binders 12ct,stationery & office machinery,rubbermaid,,5.94,rubbermaid 7-hole punched plastic edge strip magazines for ring binders 12ct,station,rubbermaid,CORPORATION color,6.00 ��,1
jvc gumy headphones red,electronics - general,jvc,haf150r,9.0,jvc gumy headphones red,electronics - general,jvc,haf150r,9.0 ��,1
xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54,xerox MS1000 printer,printers,xerox,110r00676,151.54 代,1
jvc gumy headphones red,electronics - general,jvc,haf150r,9.0,jvc gumy headphones red,electronics - general,jvc,haf150r,9.0 luster,1
