ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
mining generalized association rules,"ramakrishnan srikant , rakesh agrawal",vldb,1995.0,mining generalized association rules,"ramakrishnan srikant , rakesh agrawal",vldb YEAR,1994.0 �� Authors BUY,1
the cougar approach to in-network query processing in sensor networks 2002,"johannes gehrke , yong yao",sigmod record,,query query parsing from,"xl, yl, yy",____________________________,_______________________________________________,1
"pattern matching and pattern discovery in scientific , program , and document databases kaizhong zhang , dennis shasha , jason tsong-li wang sigmod conference",,,1995.0,"pattern matching and pattern discovery in scientific , program , and document databases kaizhong zhang , dennis shasha , jason tsong-li wang SIGMOD conference",,,1995.0 ixellcol title,1
"integrating temporal , real-time , and active databases john a. stankovic , krithi ramamritham , ming xiong , rajendran m. sivasankaran , donald f. towsley sigmod record 1996",,,,"integrating temporal, real-time, and active databases john a. stankovic , krithi ramamritham , ming xiong , rajendran m. sivasankaran , donald f. towsley sigmod record 1996",,,ʴə̃ə̃̃̃̃̃̃̃̃̃̃̃�,1
"catching the boat with strudel : experiences with a web-site management system jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",,sigmod conference,1998.0,"a system for using structured data in a management framework, in this case, an internal collection .LATE",,,1998.0 ?????2 .LATE,1
"building a scaleable geo-spatial dbms : technology , implementation , and evaluation sigmod conference 1997","curt ellmann , roger lueder , jignesh m. patel , jie-bing yu , nancy e. hall , josef burger , david j. dewitt , navin kabra , karthikeyan ramasamy , shelly guo , jeffrey f. naughton , biswadeep nag , jim kupsch , kristin tufte",,,"building a scaleable geo-spatial dbm : technology , implementation , and evaluation sigmod conference 1997",xiaolei qian,––––––––––––––––,"–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––, kamil p. thai",1
document management as a database problem rudolf bayer 1995,,vldb,,document management as a database problem rudolf bayer 1995,ren &#235; cm fkllll,conference,_.pktwc COR julle,1
capturing and querying multiple aspects of semistructured data,"curtis e. dyreson , michael h. böhlen , christian s. jensen",vldb,1999.0,capturing and querying multiple aspects of semistructured data,"jennifrey f. böhlen , norge k. håri , david o. lagerstrand",,𩁓�箯-,1
"aggregate maintenance for data warehousing in informix red brick vista latha s. colby , gopal mulagund , richard l. cole , craig j. bunker , william j. mckenna , david wilhite",,vldb,2001.0,"aggregate maintenance for data warehousing in informix Red brick vista latha s. colby , gopal mulagund , richard l. cole , craig j. bunker , william j. mckenna , david",,vldb,2002.0 ��,1
"sybase replication server mark deppe , yongdong wang , alex gorelik sigmod conference 1994",,,,"sybase replication server mark deppe , yongdong wang , alex gorelik 2002-02-07",,,1998.0 ��,1
thesus : organizing web document collections based on link semantics 2003,"benjamin nguyen , iraklis varlamis , maria halkidi , michalis vazirgiannis",vldb j.,,thesus : organizing web document collections based on link semantics 2003,"benjamin nguyen , iraklis varlamis",,ONSORED  ALBUM,1
conceptual model of web service reputation sigmod record 2002,"munindar p. singh , e. michael maximilien",,,conceptual model of web service reputation sigmod record,"h. james lukun, krijan de makri, fadil o. krijan de minola",,1995.0 galitarian,1
towards a richer web object model sigmod record 1998,frank manola,,,towards a richer web object model conical web site 2001,frank manola,,��,1
on random sampling over joins 1999,"vivek r. narasayya , surajit chaudhuri , rajeev motwani",sigmod conference,,in-order in-order computation of data for a given series 2001,"jiu xian , hui qi , hui jinchen","�� gao , juang jia et al",2001.0 ��1,1
a framework for implementing hypothetical queries sigmod conference 1997,"timothy griffin , richard hull",,,a framework for implementing hypothetical queries sigmod conference 2000,,international conference on management of data,_______________________,1
bridging heterogeneity : research and practice of database middleware technology,"günter sauter , fernando de ferreira rezende",vldb,1998.0,"bridging heterogeneity : research and practice of database middleware technology &#266; dolbert allemens , fernando de ferreira","leonid libkin , timothy griffin",,1998.0 ��,1
review : a real time virtual walkthrough system sigmod conference 2001,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",,,"review : a real time virtual walkthrough system yxxangxiao , jyu kwang .","yixin ruan , zhiyong huang , kian-lee tan , jason chionh _______",__________,................,1
evolution of groupware for business applications : a database perspective on lotus domino/notes 2000,"c. mohan , s. watts , ron barber , amit somani , markos zaharioudakis",vldb,,evolution of groupware for business applications: a database perspective on lotus domino/notes,h. benshall,,---------------,1
scientific olap for the biotech domain vldb,nam huyn,,2001.0,science olap for the biotech domain vldb vldb nam nam,,,2004.0 ��,1
