ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
editor 's notes,l liu,sigmod record,2003.0,editor's notes by default,"ll liu , m jiang",sigmod journal,***************************,0
"query rewriting for semistructured data y papakonstantinou , v vassalos sigmod conference",,,1999.0,"querying data and structure for long-term use in database systems bry , j svivt",,,1999.0 ��,0
"semantic integration in heterogeneous databases using neural networks w li , c clifton vldb",,,1994.0,"dynamic database management on high-level i rt o, s jonathan",,,2003.0 –––––––––––––––––––––––––––––––––––––––--,0
"query processing over object views of relational data g fahl , t risch 1997",,vldb j.,,query processing over object views of relational data.,,,––––––––––––––––––––––––––––––––––––,0
"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",,vldb,,"procedures in a human-oriented query language k leban , w fathari",,,galitarian,0
an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994.0,an introduction to deductive database languages and systems,"j shacharabic , k s rakshi",,????????,0
an adaptive query execution system for data integration 1999,"z ives , d florescu , m friedman , a levy , d weld",sigmod conference,,wcwkcols : a data management system for data visualization 2001,,,��4,0
temporal database system implementations m bіhlen sigmod record,,,1995.0,a database management tool for SQL and,,,_.,0
xperanto : middleware for publishing object-relational data as xml documents vldb,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",,2000.0,xperanto : middleware for publishing object-relational documents as xml documents vldb,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian",,2000.0 𠐞限朲 呪毐�,0
nearest neighbor queries 1995,"n roussopoulos , s kelley , f vincent",sigmod conference,,search query : search functions for querying data stored in a local storage storage storage,j dewitt,�,󾴿,0
"database research at arizona state university s urban , s dietrich , f golshani sigmod record 1996",,,,author project of the international conference on very large & hellip ),,,2003.0 ��,0
efficient index structures for string databases vldb,"t kahveci , a singh",,2001.0,"a: sequential index structures for relational data data: (a, b,","t jvde , s krishna",,1998.0 ��,0
a shrinking-based approach for multi-dimensional data analysis vldb,"y shi , y song , a zhang",,2003.0,GlobalVariableSystem s r,,espressOR,2003.0 ��,0
"watermarking relational databases r agrawal , j kiernan",,vldb,2002.0,' ' data compression management,,,orate,0
"olap , relational , and multidimensional database systems g colliat sigmod record 1996",,,,relational : semantics . mapping 2001,,,,0
fibonacci : a programming language for object databases vldb j.,"a albano , g ghelli , r orsini",,1995.0,numpy_tuple : a database encoding for data structures tb j.,"p a_elem , anabrokh , o elem . and a elem .",,________________,0
advances in real-time database systems research sigmod record,a bestavros,,1996.0,an introduction to relational query-driven reporting (REML) from an R.,m libkin,,1996.0 ��,0
"shooting stars in the sky : an online algorithm for skyline queries d kossmann , f ramsak , s rost vldb 2002",,,,shooting star data mining. sc ; 2007,,,1995.0 ��,0
the structured information manager : a database system for sgml documents vldb 1996,r sacks-davis,,,a sgml.org database system for sgml documents vldb 1996,r sukkercol,,_.,0
"the ccube constraint object-oriented database system a brodsky , v segal , j chen , p exarkhopoulo",,sigmod conference,1999.0,compendium-compendium constraint java,,,��,0
practical issues with commercial use of federated databases vldb,j kleewein,,1996.0,practical issues with commercial,j ranjukwari,,1996.0 ��,0
"relational databases for querying xml documents : limitations and opportunities j shanmugasundaram , k tufte , c zhang , g he , d dewitt , j naughton 1999",,vldb,,"relational databases for querying xml papers : constraints and opportunities k kharris , k dukai",,,qqa,0
converting relational to object-oriented databases sigmod record 1997,j fong,,,"g. query , col year",,p . org,��,0
"evaluating functional joins along nested reference sets in object-relational and object-oriented databases r braumandl , j clauпen , a kemper vldb 1998",,,,"using the relational database for identifying large aggregations of structured data sz mrschlauf , sj cnr 2002",,,__________________,0
homer : a model-based case tool for data-intensive web sites sigmod conference,"p merialdo , p atzeni , m magnante , g mecca , m pecorone",,2000.0,software and database-centric design for multi-web search engines .,"m mihaiv , b vancouver , h wijr , d mysawton , d zulieth",,1992.0 ��,0
introduction to the career forum column sigmod record 2001,a labrinidis,,,introduction to the career forum column sigmod record 2002,x y yosiu-seu,,󾰗,0
open object database management systems,,,1994.0,open object database management systems,Col title,,. 2002.0 –––––––––––––,0
caching technologies for web applications 2001,c mohan,vldb,,caching of a cpp or m2t/m3t APIs for web applications. org,l,,2001.0 ��,0
efficient index structures for string databases vldb,"t kahveci , a singh",,2001.0,"data formats for string databases syml : poulovassilis , c kazlindor",w bennerts,,1978.0 ��,0
"sprint : a scalable parallel classifier for data mining j shafer , r agrawal , m mehta 1996",,vldb,,unisql/x shared data model for relational database systems 1997,,proceedings of the international conference on very large,––,0
index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995.0,fast data transfer operations between multi-server databases,,,__________________,0
"ripple joins for online aggregation p haas , j hellerstein sigmod conference 1999",,,,"relational database management for social networks . s mair , g trgan , g jason , m santas , v hahn , l jennikens , k nyonglobal , j mikulski . s alma",r robert alfredi conference,,lh kiefer conference,0
to weave the web vldb 1997,"p atzeni , g mecca , p merialdo",,,the,,,1995.0 ��Col title,0
value-cognizant speculative concurrency control 1995,"a bestavros , s braoudakis",vldb,,"an experimental distributed system for object-based systems , 1990.5","mf thoms , s p ehlincol colart",,1998.0,0
a template model for multidimensional inter-transactional association rules,"l feng , j yu , h lu , j han",vldb j.,2002.0,a template model for multidimensional inter-transactional association rules e.,,,,0
"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",,vldb,,"query-response interfaces m yan , shingie , de , sikin , l uyan , n gokuhar , q uyan",,,1995.0 ��,0
"query processing in spatial network databases d papadias , j zhang , n mamoulis , y tao",,vldb,2003.0,query performance in real-time database systems using a network of sparse-sized object-oriented models s bergamaschi,,,---------------,0
caching multidimensional queries using chunks 1998,"p deshpande , k ramasamy , a shukla , j naughton",sigmod conference,,"query caching in multivariate data storage system tj lehman , mj carey",,,",",0
a framework for change diagnosis of data streams sigmod conference,c aggarwal,,2003.0,an ancoder/anagram group,"v ldhar, sir, p. of sigmod ,",,1994.0 ��,0
some issues in design of distributed deductive databases vldb 1994,"m mohania , n sarda",,,the library of computational language algorithms and functions m kl zukowska,m eugrowd,,galitarian0,0
implementation of magic-sets in a relational database system 1994,"i mumick , h pirahesh",sigmod conference,,data denseification in a relational database system 2006,"i gulangcana , t yongleng",sigmod conference,galitarian,0
report on the 4th international conference on mobile data management,,,2003.0,"report for web analytics, mobile application & data systems ,",,"vldb ,",Regarding the performance requirements on mobile application and data systems j gaurison,0
building knowledge base management systems 1996,"j mylopoulos , v chaudhri , d plexousakis , a shrufi , t topaloglou",vldb j.,,building knowledge base management systems 2016,,"nt trask s nbhola , l jonnes",....................................................................... ........................................................................--,0
"watermarking relational data : framework , algorithms and analysis r agrawal , p haas , j kiernan vldb j.",,,2003.0,"model based retrieval of data colloquium , schema , and documentation colloquium",,accol. at.,��1,0
efficient exploration of large scientific databases 2002,"e stolte , g alonso",vldb,,e stolte 's ' deep research databases (the algorite of high-throughput databases) as a high-performance computing abstraction (the stolte of the world),c chamlais,,,0
the algres testbed of chimera : an active object-oriented database system 1995,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,,object of the database system,,,,0
"acm multimedia '94 conference workshop on multimedia database management systems p berra , k nwosu , b thuraisingham 1995",,sigmod record,,meta-functions and context in an object-oriented database 1998,s tajima,sigmod conference,1997.,0
"efficiently instantiating view-objects from remote relational databases b lee , g wiederhold vldb j.",,,1994.0,an implementable view-operator for relational databases vldb j.,,,1989.0,0
"a comparison of selectivity estimators for range queries on metric attributes b blohsfeld , d korus , b seeger sigmod conference",,,1999.0,"performance evaluation model for high-performance metric attributes b sasheva , bjorn sasheva vldb",,,1998.0 –––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––,0
revisiting commit processing in distributed database systems 1997,"r gupta , j haritsa , k ramamritham",sigmod conference,,"real time commit re-building with real time code e.g. rezzecodepub ,",,,𠰸夜,0
improved histograms for selectivity estimation of range predicates,"v poosala , y ioannidis , p haas , e shekita",sigmod conference,1996.0,improved histograms for selectivity estimation of range predicates,"yshekarao , p kevin",,2002.0 ��,0
query processing and optimization in oracle rdb 1996,"g antoshenkov , m ziauddin",vldb j.,,x FROM,,,��0,0
"interaction of query evaluation and buffer management for information retrieval b jѓnsson , m franklin , d srivastava sigmod conference",,,1998.0,"interaction between query evaluation and buffer management for information retrieval k ryan , v ryan, m blakeley , m blakeley ,",,,1998.0 ��,0
"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,data processing data,"t ihana , p jagwoyt",,iblycolindex,0
"maintenance of implication integrity constraints under updates to constraints n ishakbeyoglu , z жzsoyoglu vldb j.",,,1998.0,"m eu , kyak , r sizni","c ci , tukkuk","CENTEX . conf . on vldb ,",olithic,0
efficient materialization and use of views in data warehouses 1999,"m souza , m sampaio",sigmod record,,"efficient, low cost data storage systems for data warehouses, systems using text to form documents, databased formats, and other large data warehouses. bogd",,,1999.0 ��,0
optimization techniques for queries with expensive methods acm trans . database syst . 1998,j hellerstein,,,"performance data, performance optimization and optimization techniques for databases using","d erm , q udderton",,��,0
database de-centralization - a practical approach vldb 1995,"t didriksen , c galindo-legaria , e dahle",,,"journal . journal-like collection of articles on computational problems, for journals in the context of data warehousing context 1997",,,onomy10,0
the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994.0,"the aditi deductive database system ,",,,––;--; GENERATING SUBMISSIONS,0
"incremental distance join algorithms for spatial databases g hjaltason , h samet 1998",,sigmod conference,,z,,,vironment0,0
implementation of magic-sets in a relational database system 1994,"i mumick , h pirahesh",sigmod conference,,"efficient use of SQL and structured data m liu , m mohania INTEGER",j yi ryac,,��100,0
opt + + : an object-oriented implementation for extensible database query optimization 1999,"n kabra , d dewitt",vldb j.,,(opt+t+) opt + * : an object-oriented implementation for extensible database query optimization 2000,,vldb,erenncol,0
