ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
bits limited 6-outlet opening price point smart strip 2 250 joules bits limited,tv accessories,,scg 2,31.95,bits limited 3x dvd-ram hard disk media mp3 accessories,tv accessories,,,????????,1
sandisk 8gb microsdhc memory card sdsdq008ga11m,usb drives,sandisk,,24.88,sandisk micro sdhc memory card ssdsdq008ga11m,usb drive units,sandisk,,24.88 ��,1
wanderlei silva mouse pad mice 15042010,,wincraft,,18.99,wanderlei silva mouse pad mice 15042010,,wincraft,,14.75 _.wlOL,1
creative labs d100 speakers green creative labs,portable audio,,mf8090aa004,79.99,ebay and comix retail packs ebay and comix retail packs,portable audio,comix,,19.83 _______________________________,1
creative labs d100 speakers green creative labs,portable audio,,mf8090aa004,79.99,creative labs d100 speakers green creative labs,portable audio,,mf8090aa006,91.16 ��Col title,1
trendnet tv-ip312w wireless day night internet camera server with 2-way audio garden - general 244.88,,trendnet,,,trendnet tv-ip312w wireless day night internet camera server with 2-way audio garden - general 244.88,,,,23.4 ONSORED,1
kingston 1gb ddr pc-3200 400mhz ddr 184 pin desktop memory module memory kingston,,,kvr400x64c3a1g,50.92,kingston 1gb ddr pc-3200 400mhz ddr 184 pin desktop memory module memory kingston,,,kvr400x64c3a2g,50.9 𔤄𔤌�出 𔤄,1
verbatim 95407 2gb secure digital card verbatim 11.88,usb drives,,95407,,verbatIM 10.44,dvd and storage folders,,,28.0 ɒ˞A,1
bits limited 6-outlet opening price point smart strip 2 250 joules bits limited,tv accessories,,scg 2,31.95,"ksz i-series high end, high quality",tv accessories,,,___________________________ __________________________,1
tops american pride writing pad jr. legal rule 5x8 white 12 50-sheet pads pack stationery & office machinery 75101 18.88,,tops business forms,,,tops business documents (pdfs) e-mails 85214,,TOP business paper and documents (scatter book) 84901 18.88,,__________________,1
gear head 1.3 mp quick webcam pro electronics - general gear head wc740i 13.88,,,,,motorola tz700 bluetooth roadster visor speaker 89423n,,motorola,,_______________________,1
sony h series np-fh50 actiforce infolithium battery hybrid,dvd accessories,sony,npfh50,38.0,sony h series np-fh50 actiforce infolithium battery hybrid,dvd accessories,sony,npfh50,36.0,1
verbatim 95407 2gb secure digital card verbatim 11.88,usb drives,,95407,,v,audio,,,iversal,1
gear head 1.3 mp quick webcam pro electronics - general gear head wc740i 13.88,,,,,gear head 1.3 mp quick webcam pro electronics - general gear head wc740i 13.88,,,,𒨍吧 𒨂,1
sony h series np-fh50 actiforce infolithium battery hybrid,dvd accessories,sony,npfh50,38.0,sony h series np,,sony,npfh50,29.94 galitarian,1
netgear prosafe plus 8-port ethernet switch networking netgear gs108e100nas,,,,78.88,netgear vlan6500 plus 256 Ethernet ports networking netgear vlan6500 black netgear gs108e100nas,,,,༼ຈل͜ຈ,1
tops american pride writing pad jr. legal rule 5x8 white 12 50-sheet pads pack stationery & office machinery 75101 18.88,,tops business forms,,,"TOP business forms 1250-paper colored writing pads NEW (new style) paper for printing on paper 5500, 18500 & 2149.",,"(new style) paper for printing on paper 3-inch 4K red color paper for printing on paper 10K, 22000 & 5500.",5500 black,_. UNITED,1
discgear 50-disc browser black gray discgear 4310-01 37.88,electronics - general,,,,discgear 70-disc browser black gray discgear 4310-01 39.87,electronics - general,,,ɪɫɿɾɪ ɪɪɪẴ�,1
wanderlei silva mouse pad mice 15042010,,wincraft,,18.99,wanderlei Silva mouse pad mice akb04us akb04us,keyboards,,,17.69 ɜɛ ɑ rɒ ɕ l�,1
los angeles dodgers pink iphone 4 hard case electronics - general tribeca fva4450 29.99,,,,,los angeles dodgers pink . . . pink dsk70b 24.99,,,,??????????????? ????????9.980119,1
los angeles dodgers pink iphone 4 hard case electronics - general tribeca fva4450 29.99,,,,,i3/i5-7450X bluetooth,,,,NetMessage1,1
