ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
join synopses for approximate query answering,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999,query expression structure to support data,"a stanford , b wennstrom",vldb,2000 ��,0
understanding the global semantics of referential actions using logic rules,"w may , b ludфscher",acm trans . database syst .,2002,useful database concepts like query parameters ; ;,"c ott , r kaffez",,2003.3,0
an authorization system for digital libraries,"e ferrari , n adam , v atluri , e bertino , u capuozzo",vldb j.,2002,an authorization system of an ethereum-like interface (AES),"a xiqk , r xhiyon , m yanoy, r vai",vldb,2001.0 ��,0
parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa","lecture notes in computer science ,",1993.0 𠌡,0
transactional client-server cache consistency : alternatives and performance,"m franklin , m carey , m livny",acm trans . database syst .,1997,client access to databases,"j erik , p kai",,2001,0
evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"r braumandl , j clauпen , a kemper",vldb,1998,query equality and validation of a dynamic table in a single project,"l fattenedros , r katacORG",vldb,1985.0 【,0
versioning and configuration management in an object-oriented data model,e sciore,vldb j.,1994,"versioning and configuration management in an object-oriented data model, versioning and configuration management to manage and synchronize data","t r eeplsiol, m förd",sigmod,2002.0,0
schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995,schema schema and database evolution in the o2 object database system,y pai,sigmod record,1991.0 ��,0
amicalola report : database and information system research challenges and opportunities in semantic web and enterprises,"a sheth , r meersman",sigmod record,2002,anorexample CRAN models of the human condition .,"k wai , ri ushiyagi",sigmod conference,,0
the araneus web-base management system,"g mecca , p atzeni , a masci , p merialdo , g sindoni",sigmod conference,1998,a database management system for the web-base IT management,r lohman,,2003 ��,0
infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997,multivariate prediction system,w wt,��,1998.0 ��,0
the algres testbed of chimera : an active object-oriented database system,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,1995,the algres testbed of chimera : an active object-oriented database system,s bjarni,igmod conference,1995 ONSORED,0
combi-operator : database support for data mining applications,"a hinneburg , w lehner , d habich",vldb,2003,"combi operator: a framework for managing long-term data mining, based on the combi operator as part of a web framework.","qjilin , v jyunl",vldb,2003.0 ��,0
proximity search in databases,"r goldman , n shivakumar , s venkatasubramanian , h garcia-molina",vldb,1998,collection of collections and access point,d britchetti,sigmod conference,2001 ��,0
research issues in federated database systems : report of efdbs '97 workshop,,,1997,research issues in federated database systems: report of szwoda '97 workshop,,,1998 ________________________,0
microsoft index tuning wizard for sql server 7.0,"s chaudhuri , v narasayya",sigmod conference,1998,microsoft index tuning wizard for SQL server 10.0,"s chaudhuri , v narasayya",s satsir,1998 !!!!!!!!!!!!!!!!!!!!!!!!,0
unisql 's next-generation object-relational database management system,"a d'andrea , p janus",sigmod record,1996,unisql 's next-generation object-relational database management system,h tassel,vldb,1997.,0
the tv-tree : an index structure for high-dimensional data,"k lin , h jagadish , c faloutsos",vldb j.,1994,the tv-tree : a new-build structure for high-dimensional data,"t jg , s karne, h jankar",sigmod conference,1997 .,0
the tpr * - tree : an optimized spatio-temporal access method for predictive queries,"y tao , d papadias , j sun",vldb,2003,"tpr, text, and indexing",v bacal,h yam,2006.0,0
deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,thesis and results,"h ndollind , r jannelly",sigmod record,1997 𝜇,0
on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,naturals : an integrated database management system,"zhuen , yuan liu",bibliographies,1998.0 ����𠴿.0080: new or updated storage systems in relational data,0
implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,a SQL query language for software and system programming,k jagadish,vldb,,0
using schematically heterogeneous structures,r miller,sigmod conference,1998,"schema-builder ; ,","s rai , s qalat",j rahoon,,0
bit-sliced index arithmetic,"d rinfret , p o'neil , e o'neil",sigmod conference,2001,bit data on bit systems,"k uuq , g , jr",��0,1998.0 ��0,0
lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,document class,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1982 𒌞,0
novel approaches in query processing for moving object trajectories,"d pfoser , c jensen , y theodoridis",vldb,2000,new-type of data structures in table-based database management systems,k van der Oort,,2002 ____________________________,0
editorial,,,2001,editorial editor,j harland,,2002 ????????,0
