_id,ltable_ID,rtable_ID,ltable_Name,ltable_Genre,ltable_ReleaseDate,ltable_Director,ltable_Creator,rtable_Name,rtable_Genre,rtable_ReleaseDate,rtable_Director,rtable_Creator,Truth
8,2039,1817,Wizards of the Lost Kingdom,"Action & Adventure,Kids & Family,Science Fiction & Fantasy","Jun 1, 1985 Wide",Héctor Olivera,Tom Edwards,Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure",22 May 2008 (USA),Steven Spielberg,"David Koepp,George Lucas",0
17,4154,4292,Mind the Gap,"Drama,Television,Comedy","Jul 1, 2005 Wide",Eric Schaeffer,Eric Schaeffer,Mind the Gap,"Comedy,Drama",13 March 2004 (USA),Eric Schaeffer,Eric Schaeffer,1
21,1017,3168,The Incredible Journey,"Action & Adventure,Kids & Family,Classics","Oct 30, 1963 Wide",Fletcher Markle,"Sheila Burnford,James Algar",The Incredible Journey,"Adventure,Drama,Family",20 November 1963 (USA),Fletcher Markle,"James Algar,Sheila Burnford",1
22,1019,3168,Homeward Bound - The Incredible Journey,"Action & Adventure,Kids & Family","Feb 3, 1993 Wide",Duwayne Dunham,"Linda Wolverton,Caroline Thompson,Linda Woolverton",The Incredible Journey,"Adventure,Drama,Family",20 November 1963 (USA),Fletcher Markle,"James Algar,Sheila Burnford",0
23,1457,2329,For the Love of Benji,"Action & Adventure,Kids & Family","Jan 1, 1977 Wide",Joe Camp,Joe Camp,For Love of the Game,"Drama,Romance,Sport",17 September 1999 (USA),Sam Raimi,"Michael Shaara,Dana Stevens",0
25,4331,6721,A History of Violence,"Drama,Action & Adventure,Mystery & Suspense","Sep 30, 2005 Wide",David Cronenberg,"Josh Olson,Josh Olsen",A Brief History of Time,"Documentary,Biography",16 October 1992 (Australia),Errol Morris,Stephen Hawking,0
27,4856,300,The Ugly Truth,"Comedy,Romance","Jul 24, 2009 Wide",Robert Luketic,"Karen McCullah Lutz,Nicole Eastman,Kirsten Smith",The Ugly Truth,"Comedy,Romance",24 July 2009 (USA),Robert Luketic,"Nicole Eastman,Karen McCullah",1
43,2878,1259,Client 9: The Rise and Fall of Eliot Spitzer,"Documentary,Special Interest","Nov 5, 2010 Limited",Alex Gibney,Alex Gibney,Harry Potter and the Chamber of Secrets,"Adventure,Family,Fantasy",15 November 2002 (USA),Chris Columbus,"J.K. Rowling,Steve Kloves",0
47,4421,1714,Happily N'Ever After 2: Snow White - Another Bite @ the Apple,"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy","Mar 24, 2009 Wide","Boyd Kirkland,Steven E. Gordon",Chris Denk,Never Back Down 2: The Beatdown,"Action,Drama,Sport",8 April 2011 (USA),Michael Jai White,Chris Hauty,0
56,3177,2860,Harry Potter and the Chamber of Secrets,"Science Fiction & Fantasy,Kids & Family","Nov 15, 2002 Wide",Chris Columbus,Steve Kloves,Dr. Otto and the Riddle of the Gloom Beam,Comedy,,John R. Cherry III,"Daniel Butler,John R. Cherry III",0
57,3301,2860,Indiana Jones and the Kingdom of the Crystal Skull,Action & Adventure,"May 22, 2008 Wide",Steven Spielberg,David Koepp,Dr. Otto and the Riddle of the Gloom Beam,Comedy,,John R. Cherry III,"Daniel Butler,John R. Cherry III",0
58,365,17,The Mummy: Tomb of the Dragon Emperor,"Drama,Action & Adventure,Comedy","Jul 24, 2008 Wide","Rob Cohen,Simon Duggan","Alfred Gough,Miles Millar",Lara Croft Tomb Raider: The Cradle of Life,"Action,Adventure,Fantasy",25 July 2003 (USA),Jan de Bont,"Dean Georgaris,Steven E. de Souza",0
59,773,17,The Secret Life of Pets,Animation,"Jul 8, 2016 Wide","Chris Renaud,Yarrow Cheney","Ken Daurio,Cinco Paul",Lara Croft Tomb Raider: The Cradle of Life,"Action,Adventure,Fantasy",25 July 2003 (USA),Jan de Bont,"Dean Georgaris,Steven E. de Souza",0
62,5352,17,The Tree of Life,"Documentary,Drama,Special Interest","Feb 11, 2008 Wide",Hava Volterra,"Hava Volterra,David N. Donihue",Lara Croft Tomb Raider: The Cradle of Life,"Action,Adventure,Fantasy",25 July 2003 (USA),Jan de Bont,"Dean Georgaris,Steven E. de Souza",0
