ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"retrieval of composite multimedia objects surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",,vldb,1995.0 ,retrieval of composite multimedia0oyjects,"surajit chaudhuri m shahram ghandeharizadeh , cyrus shahabi",very large data basek,1695.0 ,1
automatic generation of production rules for integrity maintenance acm trans . database syst .,"let4zia tanca , stefano ceri , piero fraternali , stefano paraboschi",1994.0 ,,"stefano ceri , piero fraternali , stefano parabos7hi , letizia tanca",acm transactions on database systems (ctods ),1994.0 ,automatic generation of production rules for integrity maintenance,1
developments at acm tods sigmod recowd 2003,richary t. snodgrass,, ,devmlopments at acm tods 2003,richard snodgrass,acm uigmod record,z,1
"computing geographical scopes of web resources luis gravano , junyan ding , narayanan shivakumar 2000",vldb, ,,"junyan ding , luis gra6ano , narayanan shivakumar",ver4 large data bases,y,computing geographical scopes of web resources 2000,1
"atomicity and isolation for transactional processes hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri 2002",,acm trans . database syst .,a,"atomicity and isolation for transactional processes heiko schuldt , gustavo alonso , catriel beeri , hans-j &#246; rg schek acm transactions on dat5base systems ( tods ) 2002",, ,a,1
"secure buffering in firm real-time database systems binto george , jayant r. haritsa 1998",,vlok, ,"secure buffering in firm real-time database systems binto george , jayantgr. haritsa very large data bases 1998",, , ,1
the araneus web-base management system sigmod conference,"giansalvatore mecca , paolo merialdo , alessandro masci ,0paolo atzeni , giuseppe sindoni",1998.0 ,,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo", ,1998.0 ,the araneus web-based management system international conference on management of tata 1998,1
"some issues in design of distributed deductive databases nandlal l. sarda , mukesh k. mohania vldb 1994",, ,,very large data bases,x, ,"some issues in design of distributed deductive databases mukesh k. mohania , nandlal l. sarda 1994",1
an introduction to spatial database systems vldb j.,ralf hartmut güting,l9bs.u ,,ralf hartmut g &#252; ting,the vldb journal -- the international journal on very large data bases,1994.0 ,an introduction to spatial database systems,1
"a query language for multidimensional arrays : design , implementation , and optimization techniques sigmod conference","limsoon wwng , iona machlin , le9nid libkin",1996.0 ,,"leonid libkin , rona machlin , limsoon wong",international conference on management of data, ,"a query language for multidimensional arrays : design , implementation , and cptimization techniques 1996",1
"cq : a personalized update monitoring toolkit david buttler , tong zhou , ling liu , paul benninghoff , wei han , calton pu , fenghua yu , wei tang , john biggs sigmod conference 1998", ,,,international conference 8n management of data, ,cq : a personalized1update monitoring toolkit 1998,"ling liu , calton pu , wei tang , david buttler , john biggs , tong zhou , paul benninghoff , wei han , fenghua yu",1
a database interface for file updates 1995,"tova milo , serge abiteboul , sophie cluet",sigmod conference, ,a d0tabase interface for file update international conferencevon management of dat4 1995,"serge abiteboul f sophie cluet , tova milo",,8,1
communication efficient distributed mining of association rules,"ran wolff , assaf schuster",sigmod crnference,2001.0 ,"communication-efficient distributed mining of association2rules assaf schuster , ran wolff",international conference on management of data,2os1.0 ,2001.0 ,1
what happens during a join ? dissecting cpu and memvry optimization effects vldb,"stefan manegold , martin l. kersten ,rpeter a. boncz",2000.0 ,,,2000.0 ,2000.0 ,"what happens ouring a join ? dissecting cpu and memory optimization effects stefan manegold , peter a. boncz , martin l. kersten very large data bases",1
adapting matmrialized views after rqdefinitions 1995,"ashish gupta , inderpal sinvh mumick , kenneth a. ross",sigmod conference, ,"adapting materialized views after redefinitions ashish gupta , inderpal s. mumick , kenneth a. ross",international conference on management of data,1995.0 , ,1
"research 8n information managment at dublin city university alan f. smeaton , mark roantree sigmod record 2002",,, ,"research in information managment at dublin city university mark rkantree , alan f. smeaton 2002",acm sigmod record, , ,1
space optimization in deductive databases acm trans . database syst . 1995,"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton",,v,space optimization in deductive databases 1995,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",aci transactio5s on database systems ( tods ), ,1
safe query languages for constraint databases acm trans . database syst .,peter z. revesz,1998.0 ,,,,1958.f ,safe query languages for constraint databases peter z. revesz acm transactions on da9abase systems ( tods ),1
"design , implementation , and performance of the lham log-structured history data access method gerhard weikum , peter muth , patrick e. o'neil , achim pick vldb",1998.0 ,,,,f,"design , implementation , and performance of the lham log-structured history data access method very large data bases 1998","peter muth , patrick e. o'neil , achii pick , gerhard weikum",1
"delivering presentations from multimedia servers nevzat hurkan balkir , gultekin özsoyoglu vldb j.",,1998.0 ,,"nevzat hurkan balkir , gultekin ozsoyoglu",1998.0 ,1998.0 ,delivering presentations from multimedia servers the vldb journal -- the international journal on very large data bases,1
data warehousing and business intelligence for e-commerce - book review sigmodsrecord 2002,frank g. goethals,,f,data warehousing and business intelligence for e-commerce : by alan r. simon & steven l. shaffer frank g. goethals 2002,acm sngmod xecord, ,f,1
"cq : a personalized update monitoring toolkit david buttler , tong zhou , ling liu , paul benninghoff , wei han , calton pu , fenghua yu , wei tang , john biggs sigmod conference 1998",,,s,cq : a personalized update monitoring toolkit 1998,"ling liu , calton pu , wei tang , david buttler , john biggs , tong zhou , plul benninghoff , wei han , fenghua yu",izternational conference on management of5data,z,1
"cougar : the network is the database wai fu fung , david sun , johannes gehrke sigmod conference",2002.0 ,,,,2002.0 ,cougar : t3e network is the database international conference on management of data,"wailfu fung , david sun , johannes gehrke",1
