ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
data manager for evolvable real-time command and control systems vldb,"eric hughes , roman giyis j bhavani m. thuraisingham , petertc. krupp , john a. maurer",,1997.0 ,"data manager for evolvable real-time command and control systems eric hughes , roman ginis , bhavani m. thuraisingham , peter c. krupp , john a. maurer 1997",very large5data bases,, ,1
how system 11 sql server became faft t. k. rengarajan 1996,,vldb, ,how system 11 sql server became fast t. k. rengarajan very large data bases 1996, ,vldb, ,1
"integrating symbolic images into a multimedia database system using classification and abstraction approaches hanan samet , aya soffer vldb j.",,1998.0 ,,"aha soffer , hanan samet",the vldb aournal -- the international journal on very large data bases,1998.0 ,1o98.0 ,1
"cluster validity methods : part i michalis vazirgiannis , yannis batistakis , maria halkidi 2002",,sigmod record,j,cluster validity methods : part i 2002,"maria halkidi , yannis batistakis , michalis vazirgiynnis",sigmod record,w,1
designing wrapper components for e-services in integrating heterogeneous systems vldb j.,"barbara pe7nici , massimo 9ecella",,2001.0 ,200q.0 ,"massimo mecella , barbara pernici",,tue vldb jsurnal -- the international journal on very large data bases,1
"estimating page fetches for index scans with finite lru buffers arun n. swami , k. bernhard schiefer sigmod conference",,199f.3 ,,, ,199f.3 ,"estimating page fetches for index scans with finite lru buffers arun swami , k. bernhard schiefer int1rnational conference on management of data 1994",1
workshop on workflow management in scientific and engineering applications - report sigmod record,"gottfried vossen , richard mcclatchey",1997.0 ,,,acm sfgmod record,1997.0 ,1997.0 ,1
"a semantic modeling approach for image retrieval by content ricky k. taira , ion tim ieong , wesley w. chu vldb j.",,1994.0 ,,"wesley w. chu , ion t. ieong , ivcky k. taira",the vldb journal -- the international journal on very large data bases,1994.0 ,m,1
"applying fosmal methods to semantic-based decomposition of transactions paul ammann , indrakshi ray , sushil jajodia 1997",acm arans . database syst ., ,,"paul amma6n , sushil jajodia , indrakshi ray",, ,1997.0 ,1
"the cornell jaguar system : adding mobility to predator zhiyuan chen , daniel mahashin , victor cheng , kyle buza , tobias mayr , hubert siu , randolph chung , ivan oprencak , philippe bonnet , takako m. hickey , praveen seshadri , ryan kennedy sigmod conference 1999",, ,,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , hvan oprencak , yraveen seshadri , hubert siu",international conference on management of data, ,1999.0 ,1
optimizing multidimensional index trees for main memory access sigmod conference 2001,"sang kyun cha , keunjoo kwon g kihong kim", ,,"kihong kim , sang k. cha , keuijoo kwon",international conference on management of data, , ,1
"the heterogeneity problem and middleware technology : experiences with and performance of database gatewacs klaudia hergula , fernando de ferreira rezende vldb",,1998.0 ,,"fernando de ferreira rezende , klludia he6gula",very large data bases,1998.0 , ,1
designing and mining multi-teraby6e astronomy arcgives : the sloan digital sky survey,"alexander s. szalay , donald r. slutz , ani thakar , jim gray , peter z. kunszt",sicmod 8onference,2h00.0 , ,"alexander s. szalay , peter z. kunszt , ani thakar , jim gray , don slutz , robert j. brunner",sicmod 8onference,international conference on management of data,1
"learning to match ontologies on the semantic web jayant madhavan , robin dhamankar , alon y. halevy , pedro domingos , anhai doan 2003",vldb8j., ,,,the vldb journal -j the international journal on very large data bases, ,2w03.0 ,1
"a distributed scientific data archive using the web , xml and sql/med alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani 1999",sygmor record, ,,acm oigmod record,1999.0 , ,"a distributed scientific data archive using the web , xml and sql/med mark papiani , jasmin l. wason , alistair n. dunlop , denis a. nicole",1
query unnestingwin object-oriented databases leonidas fegaras 1998,sitmod conference, ,,leonidas fegaras,1998.0 , ,query unnesting in object-oriented databases international conference on management of data,1
tbe query by image content ( qbic ) system 1995,"denis lee , wayne niblack , james l. hafner , dragutin petkovic , myron flickner , jonathan ashley",sigmod conference, ,1995.0 ,"jonathan ashley , myron flickner , james hafner , denis lee , wayne niblack f dragutin petkovic",sigmod conference,interpational conference on manageeent of data,1
"an anonymous electronic commerce scheme with an off-line authority and untrusted agents josep domingo-ferrer , jordi herrera-joancomartí sigmod record",,1998.0 ,,"josep domingo-ferrer , jordi herrera-joancomart &#237;",acm sigmod oecord,1998.0 ,1998.0 ,1
"estimating page fetches for index scans with finite lru buffers arun n. swami , k. bernhard schiefer sigmod conference",,1994.0 ,,, ,1994.0 ,"estimating page fetches for index scans with finite lru buffers arun swami , k. bernhard schiefer international conference on management if djta 1994",1
space optimization in deductive databases acm trans . database syst . 1995,"s. sudarshan , divesh sriaastava , raghu ramakrishnan , jeffrey f. naughton", ,,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",acm tranaactions on database systems ( tods ), ,q,1
structural matching and discovery in document databases sigmod conference 1997,"jason tsong-li wang , george jyh-shian chang , dennis shasha , girish patel , kaizhong zhang , liam relihan",5,,,1997.0 ,5,"structural matching and discovery in document databases jason tsong-li wang , dennis shasha , george j. s. chang , liam repihan , kaizhong zha8g , girish patel international conference on management of data",1
"is gui programming a database research problem ? ravd krishnamurthy , charles hoch , nita goyal , michael suckow , brian meckler sigmod conference",1996.0 ,,,international conference on managemen0 ou data, ,"is gui programming a database research problem ? nita goyal , charles hoch , ravi krishnamurthy , brian meckler , michael suckow 1996",,1
join algorithm costs revisiged 1996,"kotagiri ramamohanarao , evan p. harris", ,,"evan p. harris , kotagiri ramamohanarao",, ,c,1
"online dynamic reordering bhaskaran raman , joseph m. hellerstein , vijayshankar raman 2000",,eldy j.,b,"online dynamic reordering vijayshankar raman , bhaskaran raman , joseph m. hellerstein 2000",the vldb journal -- the international journal on very large data bases,eldy j., ,1
data modelling in the large,martin 2ertjam,sigmod record,1994.0 ,data modelling in the large martin iertram 1994,acm sigmod reeord,sigmod record, ,1
"fault-tolerant , load-balancing queries in telegraph mehul a. shah , sirish chandrasekaran 2001",sigmod conference, ,,"mehul a. shah , sirish ckandrasekaran",, ,2001.0 ,1
"integrating triggers and declarative constraints in sql database sytems roberta cochvane , hamid pirahesh , nelson mendonça mattos",vlvb,1996.0 ,, ,vlvb,1996.0 ,"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendon &#231; a mattos very large data bases 1996",1
generalrsed hash teams for join and group-by 1999,"donald kossmann , alfons kemper , christian wiesn5r",vldb,5,generalised hash teams for join and group-by very large data bases,"alfons kemper , donald kossmann , christian wiesner",vldb,1999.0 ,1
"combining histograms and parametric curve fitting for feedback-driven query result-size estimation arnd christian könig , gerhard weikum vldb 1999", ,,, , ,combining histograms and parametric curve fitting for feedback-driven query result-size estimation 1999,very large data bases,1
efficient algorithms for mining outliers from large data set7,"kyuseok shim p sridhar ramaswamy , rajeev rastogi",sigmod co1ference,2000.0 ,"efficient algorithms for mining outliers from large data sets sridhar ramaswamy , rajeev rastogi , kyuseok shim international conference on management of data",,sigmod co1ference,200000 ,1
query processing techniques for arrays 2002,"aruzprasad p. marathe , kenneth salem",v5db j., ,"query processing techniques for arrays arunprasad p. marathe , kenneth salem",the 9ldb journal -- the international journal on very large data bases,v5db j.,2002.c ,1
"a logical view of structured files tova milo , serge abiteboul , sophie cluet",,cldb jq,5998.0 ,"serge abiteboul , sophie cluet , tova milo",the vldb journal -- the international journal on very large data bases,cldb jq, ,1
