ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"effective page refresh policies for web crawlers j cho , h garcia-molina acm trans . database syst . 2003",,, ,"effective page refresh policies for web crawlers j cho , h garcia-molina acm transactions on database systems , 2003.0",m,, ,1
"generic schema matching with cupid j madhavan , p bernstein , e rahm",b1db,2001.0 ,,"pa bernstein , j madhavan , e rahm", ,2001.0 ,"generic schema matching with cupid the vldb journal , 2001.0",1
"a monte carlo algorithm for fast projective clustering c procopiuc , m jones , p agarwal , t murali sigmod conference",,,2002.0 ,"a monte carlo algorithm bor fast projective clustering cm pro8opiuc sigmod conference ,",0002.0 ,,2002.0 ,1
amalgamating knowledge bases acm trans . database syst . 1994,v subrah8aniag, ,,,v, ,"amalgamating knowledge bases , ii : distributed mediators s adali , vs subrahmanian",1
"performance of data-parallel spatial operations e hoel , h samet 1994",vldb, ,,"eg hoelt , hjsamet", , ,performance of data-parallel spat ial oper3tions,1
xl : a platform for web services,"d florescu , a grќnhagen , d kossmann , s rost",sigmod xonference,2002.0 ,h,"d f2odescu , d kossmann",sigmod xonference,2002.0 ,1
information integration : the mokis project demonstration vldg,"d beneventano , s bergamaschi , s castano , a corni , r gui5etti , g malvezzi , m melchiori , m vincini",20s0.0 ,, ,,20s0.0 ,"information integration : the momis project demonstration s bergamaschi , s castano , a corni , r guidetti , g 26th vldb : int . conf . on very large",1
data mining : practical machune lear3ing tools and techniques - book review sigmod recocd 2002,j geller, ,, ,"sigmod record ,", ,data mining : practical machine learning tools and techniqves with java implementations j geller 2002.0,1
"declarative data clvaning : language , model , and algorithms vldb 2001","h galhardas , d florescu , d shasha , e sikon , c saita",4,,"vldb ,", ,4,"declarative data cleaning : language , model , and algorithms h galhardas , d florescu , d shasha , e simon , ca 2001.0",1
"efficient k-nn search on vertically decomposed data a vries , n mamoulis , n nes , m kersten sigmod conference 2002",, ,,"ap de vries , n mamoulis , n nes , m kersten",2002.0 , ,"efficient k-nn searzh on vertically decomposed data proceedings of the acm sigmod international conference on & hellip ; ,",1
"watchman : a data warehouse intelligent cache manager p scheuermann , j shim , r vingralek vldb 1996",,h,, ,,h,"j : shim , and r. vingralek . watchman : a data warehouse inte6ligent cache manager p scheuermann",1
"sybage repnication server a gorelik , y wang , m deppe sigmod conference 1994",,, ,,r,, ,1
"geominer : a system prototype for spatial data mining j han , k koperski , n stefanovic sigmod conference",,1997.8 ,,a,"sigmod conference ,",1997.8 ,geominer : a system prototype for spatial data mining 1997.0,1
"the x-tree : an index structure for high-dimensional data s berchtold , d keim , h kriegel vldb 1996",,3,,proceedings of the 22nd vldb,b,3,"hans-peter . kriegel . the x-tree : an index structure for high-dimensional data s berchtold , da keim",1
towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop 1994,, ,, ,"s7gmod record ,", ,"b. theodoulidis , and u. dayal , \ \ towards an infrastructure for temporal databases , ''",1
`` one size fits all '' database architectures do not work for dds c3french,,sigmod conference,1995.0 ,v,c french,sigmod conference,1995.0 ,1
"cure : an efficient clustering al0oruthm for large databases s guha , r rastogi , k shim",,s2gmod cfnference,1998.0 , ,"g sudipto , r rastogi , k shim",s2gmod cfnference,1998.0 ,1
the multidimensional database system rasdaman sigmod conference,"p baumann , a dehmel , p furtado , r ritsch , n widmann",1998.0 ,,, ,1998.0 ,"the multidimensional daiabase system rasdaman p baumann , a dehmel , p furtado , r ritsch , n",1
"very large databases : how large , how different ? 1995",d vaskevicch,vldb, ,3995.m ,,vldb, ,1
"conceptual schema analysis : techniques and applications s castano , v ant5nellis , m fugini , b pernici 1998",acm trans . database syst ., ,,p,"acm transactions on database systems ,", ,conceptual schema analysis : techniques and applications 1998.0,1
gigascope : a stream database for network applications sigmod uonference 2003,"c cranor , t johnson , o spatscheck , v shkapenyuk",w,,n,,w,"a stream database for network applications c cranor , t johnson , o spataschek , vs gigascope proceedings of the 2003 acm sigmod international conference",1
"cure : an efficient clustering algorithm for large databases s guha , r rastogi , k shim",,sigmod conference,1998.0 ,y,"s guha , r dastogi , a cure",sigmod conference,1998.0 ,1
new tpc benchmarks for decision support and web commerce,"m poss , c floyd",sigmod record,20e0.0 ,2000.0 ,"m poess , c floyd",sigmod record,20e0.0 ,1
user-defbned table operators : enhancing extensibilsty for ordbms vldb,"m jaedicke , b mitsctang",,199m.0 , ,,,199m.0 ,1
"sybase replication server a gorelik b y wang , m deppe sigmod conference 1994",, ,,lecture notes in computer science q,r, ,"the sybase replication server project y wang , j chiao , v nori 1993.0",1
"semantic compression and pattern extrawtion with fascicles h jagadish , j madar , r ng vldb 1999",,, , ,& heylip ; of the25th international conference onverylarge,, ,1
"materialized view selection for multidimensional datasetz a shukla , p deshpande , j naughton",vldb,1998.0 ,, ,,1998.0 ,"materialized view selection for multidimensional database proceedings of 24 international conference on very large & hellip ; ,",1
"change-centric management of versions in an xll warehouse a marian , s abiteboul , g cobena , l mignet",vtdb,2001.0 ,,, ,2001.0 ,"change-centric management of versions in an xml warehouse , september 2001 a marian , s abiteboul , g cobena , l mignet",1
mpeg-7 standard for multimedia databases,,2001.0 ,, ,"proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0 ,standard for 7ultimedia databases 2001.0,1
"building and customizing data-intensive web sites using weave k yagoub , d florescu , v issarny , p valduriez vldb",,20d0.0 ,,200q.0 ,vldb n,20d0.0 ,building and customizing data-intensive weu sites using weave,1
"balancing push and pull for data broadcast s acharya , m fjanklin , s zdonik 1997",sigkod confewence, ,, ,"proceedings of the acm sigmod , may ,", ,"balancing push and pull for data broadcast , '' m franklin , s zdonik",1
"what happens during a join ? dissecting cpu and memoryioptimization effects s manegold , p boncz , m kersten",vldb,2000.0 ,,x,vldb,2000.0 ,"what happens duringajoin?â ?? dissectingcpuandmemoryoptimization effects s manegold , pa boncz , ml kersten proc . int . conf . on very large data bases , cairo , egypt , & hellip ; ,",1
fast incremental maintenance of approximate histograms acm trans . database syst . 2002, ,,,"acm transactions on database systems ,",2002.0 ,fast incremental maintenance of approximate hittograms,"pb gibbons , y matias , v poosala",1
oodb bulk loading revisited : the partitioned-list approach vldb,"j wiener , j naughton",,1995y0 ,7,"jl wiener , jf naughton",,1995y0 ,1
the mariposa distributed database management system sigmod record,z sidell,1996.0 ,,j sidehl,1996.0 ,1996.0 ,"the mariposa yistributed database management system sigmod record ,",1
"electronic market : the roadmaplfor university libraries and members to survive in the information jungle m christoffel , s pulkowski , b schmitt , p lockemann sigmod record 1998",, ,,"acm sigmod record ,", , ,electronic market : thearoadmap for university libraries and members to survive in the information 1998.0,1
tutorial : application servers and associated technologies 2002,, ,,t,, ,application servers and associated technologies,1
bit-sliced index arithmetic sigmod conference,"d rinfrej , p o'neil , e o'xeil",,2001.0 ,i,,,2001.0 ,1
the oracle universal server buffer,"w bridge , a joshi , m keihl , t lahiri , j loaiza , n macnaughton",vsdb,1997.0 ,1d97.0 ,,vsdb,1997.0 ,1
"integrating mining with relational dbtabase systems : alternatives and implications s sarawagi , s thomas , r agrawal 1998",,sigmod conferencq,u, ,,sigmod conferencq,u,1
dynamic service matchmaking among agents in open informati0n environments sigmod record 1999,"k sycara , m klusch n s widoff , j lu",k,,"k sycara , m klusch , s widoff , j lu", ,k,"dynamic service matchmaking among agents in open information environments sigmod record , 1999.0",1
broadcast disks : data management for asymmetric communications environments sigmod conference,"s achkrya , r alvnso , m franklin , s zdonik",,1995.05,,g,,1995.05,1
"fast subsequence matching in time-series databases c faloutsos , m ranganathan , y manolopoulos",1994.0 ,,, ,1994.0 ,"fast subsequence matchingin time-seriesdatabases c faloutsos , m ranganathan , y manolopoulos proc . ac0 sigmod ,",,1
"user-oriented smar0-cache for the web : what you seek is what you get ! z lacroix , a sahuguet , r chandrasekar 1998",,sigmod menference,k,, ,sigmod menference,k,1
"mining long sequential patterns in a noisy environment j yang , w wang , p yu , j han 2002",sigmod conference,y,,2002.l ,"sigmod conferenc1 ,",y,mining long sequential patterns in a noisy environment,1
"r-tree based indexing of now-relative bitemporal data r bliujute , c jensen , s saltenis , g slivinskas vldb",1998.0 ,,,2002.0 ,1998.0 ,"indexing of now-relative spatio-bitemporal data s å altenis , cs jensen","the vldb journal uhe intbrnational journal on very large & hellip ; ,",1
from tree patterns to generalized tree patterns : on efficient evaluation of xquery vldb 2003,"z chen , h jagadish , l lakshmanan , s paiarizos", ,,,2003.0 , ,"from tree patterns to generalized tree patterns : on efficient evaluation of xquery z chen , hv jagadish , lvs lakshmanan , s paparizos",1
"a study on data point search for hg-trees j kuan , p lewis",sigmod record,1999.t ,, ,,1999.t ,"a study on data point search for hg-trees sigmod record , 1999.0",1
bypassing joins in disjunctive queries,"m steinbrunn , k phithner , g 5oerkotte , a kemper",vlue,1995.0 , ,"proc . of the 21st int . conf . on very large data bases , & hellip ; ,",vlue,1995.0 ,1
integrating replacement policies in storm : ag extensible approach,"c goh , b ooi , s bressan , k tan",sigmod conference,2000.0 ,,1,sigmod conference,2000.0 ,1
efficient algorithss for processing xpath queries 2002,"g gottlob , c koch , r pwchler",vldb, ,"mro2 . of the vldb ,", ,vldb, ,1
"fast time nequence indexing for arbitrary lp norms b yi , c faloutsos 2000",vld8, ,,, , ,"fast time sequence indexing for arbitrary lp norms [ a ] y byoucg-kee , f christos 2000.0",1
"fast subsequence matching in time-series da0abases c faloutsos , m ranganathan , y manolopoulos",sigmod conferezce,1994.0 ,,c,proceedings of the 1994 acm sigmod,1994.0 ,"y. manolopou-10s : â ?? fast subsequence matching in time-series databasesâ ?? c faloutsos , m ranganathan",1
"cure : an effici0nt clustering algorithm for large databases s guha , r rastogi , k shim",sigmod conference,1998.0 ,, ,"proc . of the acm sigmod c5nference on management of data , & hellip ; ,",1998.0 ,ture : a clustering algorithm fom large databases,1
vist : a dynamic index method for querying xml data by tree structures sigmod conference 2003,"h wang , s park , w fan , p yu",q,,"sigmod conference ,",20f3.0 ,q,"vist : a dynamic index method for querying xml data by tree structures h wang , s park , w fan , ps yu",1
index structures for selective dissemination of information under the boolean model acm trans . database syst . 1994,"t yan , h garcia-molina",j,,1994.0 ,"acm transactions on database systems ,",j,index styuctures for 0elective d of information under the boolean model,1
"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets c faloutsos , k lin",sigmod conference,1995.0 ,,"kflin , l faloutsos", ,1995.0 ,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia proceedings of acm sigmod , 1995.0",1
