ltable_Song_Name,ltable_Artist_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,rtable_Album_Name,Truth
Halcyon Ellie Goulding $ 1.29 ‰ ãÑ 2013 Polydor Ltd. ( UK ),Halcyon Days ( Deluxe Edition ),"Pop , Mmsic , Dance , Rock",,,3:w4,27-Alg-13 ,"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",,,$ 1.29,,, ,Halcyon,1
"Credit Meghan Trainor Pop , Music , Rock , Pop/Rock , Dance , Teen Pop 2014 , 2015 Epic Records , a division of Sony Music Entertainment 9-Jan-15",T6tle 9 Deluxe ),,$ 1.k9,,2:51, ,"Credit Title ( Deluxe ) Pop 2011 What A Music Ltd , licence exclusive Parlophone Music France 2:51",Meghan Trainor,$ 1.29,,,"January 9 , 2015 ", ,,1
"Love Song Try This Pop , Music , Teen Pop , Electronic , Pop/Rock , R&B / Soul , Dance 2003 Arista Records , Inc. 10-Nov-03",n!NK,$ 0.99,,2:88, ,,P!nk,Try This [ Explicit ],,2:27, , ,"Love Song Pop $ 0.99 CWM records November 11 , 2003",,1
It Girl JasonwDerulo $ 1.99 3:13,,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",2011 Warner Bros. . Records gnc.,16-Sep-11 ,,,Future History ( Deluxe Version ),$ 1.29,,,f,"It Girl Jason Derulo Pop ( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville 3:12 September 16 , 2011",,1
n,Nics Jonas,Nick Jonhs,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",,,, ,"Nothing Would Be Better Nick Jonas $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc. November 10 , 2014",Nick Jonas ( Deluxe ) [ Explzcit ],Pop,,,4q34,,1
 ,,,,$ 1.29,s997 Capitol Nashville,3:46, ,"Billy Country ( c ) 1997 Capitol Nashville February 10 , 2004",Keith Urban In The Ra7ch,$ 1.29,,3646,5,Keith Urban,1
 ,Luke Bryan,Iv'll Scay Me,"Country , Music , Contemporary Country , Pop",,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthsrized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02, ,"Tackle Box Luke Bryan I 'll Stay Me Country ( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",$ 1.29,,4:02,"August 14 , 2007 ",4:02,,1
 ,2aok Ronson,,"Pop , Music , R&B / Soul , Funk , Soul",$ 1.29,,2:16, ,"Crack In the Pearl , Pt . II Uptown Special [ Clean ] $ 1.29 January 13 , 2015",,Pop,2015 Real Sounds,t:16, ,Mark Ronson,1
13-2ov-12 ,,,,,,8:07,4,"Gone ( Album Version ( Edited ) ) [ Clean ] ( C ) 2013 XO & co. , Inc. 8:07 September 18 , 2015",Trilogy ( Edited Version 0 [ Clean ],R&B,$ 1.29,,,The Weeknd,1
2q-Aug-13 ,,Slow Down ( Remixei ),"Dance , Music , Reggae , Rock , Electronic",,"2013 Hollywood Records , Inc.",5:21,2q-Aug-13 ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",,, ,"2013 Hollywood Records , Inc.",5:21,Slow Down Remixes,1
"White Horse Taylor Swift Fearless Country , Music , Rock , Honky Tonk , Pop , Adult Contemporary , Contemporary Country $ 1.29 ‰ ãÑ 2008 Big Machine Records , LLC 3:54 11-Nov-08",,,,, ,,,"mountry , Country Rock , Rock","a C ) 2008 Big Machine Records , LLC",3:54,"November 11 , 2008 ", ,White Horse Taylor Swift Fearless,$ 1.29,1
v,Luke Bryan,I 'll Stzy Me,"Country 9 Music , Contemporary Country , Pop",,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,v,"Tackle Box Luke Bryan I 'll Stay Me Country ( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",,$ 8.29,,4:02,"August 14 , 2007 ",,1
"Remember You ( feat . The Weeknd ) O.N.I.F.C. ( Deluxe Version ) Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99 4-Dec-12",Wiz Khalifa,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:l0, ,"Remember You ( feat . The Weeknd ) [ Explicit ] Wiz Khalifa Rap & Hip-Hop December 4 , 2012",OqN.I.F.C. [ Explicit ],$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. fmr the world outside of the United States,4:49, , ,,1
5-Apr-13 ,Eric Church,Caught In the Act ( Live ),,y 1.28,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Man7factured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",,5-Apr-13 ,"Over When It 's Over Eric Church $ 1.29 ( C ) 2013 EMI Records Nashville April 5 , 2013",Cxught In The Act : Live,Country,,2:59, ,,1
 ,X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$b1.29,2012 KIDinaKORNER/Interscope Recjrds,, ,"VHS Outro ( Interlude ) [ Explicit ] VHS [ Explicit ] Alternative Rock ( C ) 2015 KIDinaKORNER/Interscope Records 1:25 June 30 , 2015",,$ 1.29,,, ,XiAmbassadors,1
 ,Luke xryan,,,$h1.29,,3:0g, ,Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09,,( C ) 2009 Capitol Records Nashville,,"October 2 , 2009 ",3:0g,,1
Goner twenty one pilots,,Bldrr4face,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outsid0 of the United States . A Warner Music Group Company,15-May-15 ,Goner twenty one pilots Alternative Rock $ 1.29 3:56,Blurryface,,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,"May 15 , 2015 ",15-May-15 ,,1
"Over When It 's Over ( Live ) Country , Music , Contemporary Country , Urban Cowboy 2:59",Eric Churcc,Caught In the Act ( Live ),,$ 1.29,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",5-Apr-13 ,"Over When It 's Over Eric Church $ 1.29 ( C ) 2013 EMI Records Nashville April 5 , 2013",,Country,2:59, ,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",5-Apr-13 ,Caught In The4Act : Live,1
Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex & Diplo Skrillex and Diplo Present Jack '`` $ 1.29 3:30,,"Dance,Music,Hip-Hop / Rap i Jazz , Bop , Electronic , Rap , Rock",,o015 Atlantic Recording Corporation for the US ond WEA International for the world outside the United States . A Warner Music Group Company,,24-Feb-15 ,"Take ÌÏ There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex and Diplo present Jack ÌÏ [ Explicit ] 3:30 February 24 , 2015","Skrillex , fiplo",Dance & Electronic,$ 1.29,2012 Knight Skreams,, ,,1
