ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
"White Horse Taylor Swift Fearless Country , Music , Rock , Honky Tonk , Pop , Adult Contemporary , Contemporary Country $ 1.29 ‰ ãÑ 2008 Big Machine Records , LLC 3:54 11-Nov-08",,,,,, ,White Horse Taylor Swift Fearless,,,"Couttry , Country Rock , Rock",$ 1.29,"( C ) 2008 Big Machine Records ,rLLC",3d54,"November 11 , 2008 ",1
"We Run Sugarland Love On the Inside ( Deluxe Fan Edition ) Country , Music , Rock , Contemporary Country , Southern Rock , Contemporary Bluegrass $ 1.29 3:55 22-Jul-08",,,"‰ ãÑ 2008 Mercury Records , a Division of UMG Recordings , Inc.",,i,,Sugarland,Love On The Inside,,Country,,"( C ) 2008 Mercury Records , a Division of UMG Recordings , Inc.",3:56,"July 29 , 2008 ",1
14-Aug-07 ,,I 6ll Stay Me,"Country , Music , Contemporary Countryx, Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,"August 14 , 2007 ","Tackle Box Luke Bryan I 'll Stay Me Country ( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applictble laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",I 6ll Stay Me,,,$ 1229,,4:02,1
 ,Brett Eldredge,,,$ 1.29,20q3 Atlantic Recording Corporation for thp United States and WEA International Inc. for the world outside of the United States,4:10, ,One Mississippi Bring You Back Country August 6 8 2013,,Brett Eldredge,$ 1.29,2011 Toraay Records,3:45, ,1
I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07,,"Alternative , Music , Rock , Adult Alternative , Punk",,, ,,,,"Alternative , Music , Rock , Adult Alternative , Punk",( C ) 2007 The Island Def Jam Music Group,4:06, ,"I 've Got All This Ringing In My Ears And None On My Fingers Fall Out Boy Infinity On High Rock $ 0.99 February 6 , 2007",,1
 ,Mark Ronson,,"Pop , Music , R&B / Soul , Funk , Soul",$01.2k,,2:f6, ,"Crack In the Pearl , Pt . II Uptown8Special [ Clean ] $ 1.29 January 13 , 2015",,Mark Ronson,Pop,,2015 Real Sounds,2:16,1
Take '`` There8( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex & Dpplo Skrillex and Diplo Present Jack '`` $ 1.29 3:30,,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,,24-Feb-15 ,,"Skrillex , Diplo",,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",Dance & Electronic,$ 1.29,2012 Knight Skrcams,, ,1
The Back Roads and the Back Row Cole Swindell Cole Swindell $ 1.29 18-Feb-14,,,"Country , Music , Contemporary Country",2014 Warner 1usic Nashville LLC and WEA International Inc. for the world outside the U.S.,3:41,e,"The Back Roads & The Back Row $ 1.29 3:44 February 18 , 2014",Cole Swindell,,Cole Swindell,Country,"( C ) 2011 UMG Recordings ,kInc.",, ,1
"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock $ 1.29 10-Nov-14",,,,"2014 Island Records , a div1sion of UMG Recordings , Inc. / Safehouse Records , LLC",3:48, ,"Closer [ feat . Mike Posner ] [ Clean ] $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recqrdings , Inc. November 10 , 2014",Nick Jonas,,Nick Jonas ( Deluxe ) [ Clean ],Pop,,3:48, ,1
"Wildest Dreams Pop , Music , Rock $ 1.29 ‰ ãÑ 2014 Big Machine Records , LLC . 3:40 27-Oct-14",Taylor Swift,u989,,, ,,,,u989,,,"October 27 , 2014 ","Wildest Dreams Taylor Swift 1989 Pop $ 1.29 ( C ) 2014 Big Machine Records , LLC . 3:40",,1
